"","Cluster","group","othergroup","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1687","Exc-neuron.chronic","Exc-neuron","chronic","GO:0035265","organ growth","16/915","218/28943",0.00163812598703367,0.0177480842681081,0.0140475291874548,"238161/12288/68861/67603/13982/14042/14164/16847/218772/234214/56274/23966/21814/22215/211652/52357",16
"1706","Exc-neuron.chronic","Exc-neuron","chronic","GO:0032922","circadian regulation of gene expression","8/915","72/28943",0.00194036119586197,0.0202042662625964,0.015991586232489,"11865/229599/13653/51810/18143/18628/19046/19377",8
"1727","Exc-neuron.chronic","Exc-neuron","chronic","GO:1990845","adaptive thermogenesis","13/915","165/28943",0.00233415611982154,0.0232756777593494,0.0184225946723606,"11516/11865/232791/13424/51810/16001/16189/16847/26399/54635/224860/213527/20660",13
"1766","Exc-neuron.chronic","Exc-neuron","chronic","GO:0051651","maintenance of location in cell","16/915","232/28943",0.00306192244084282,0.0283070437241282,0.0224048982931519,"238161/109676/11816/12314/20312/13405/15114/51810/15560/18754/18760/20191/72961/20660/77053/271564",16
"1781","Exc-neuron.chronic","Exc-neuron","chronic","GO:0051775","response to redox state","3/915","10/28943",0.00319942710615196,0.0285386378322196,0.0225882039921733,"11865/18143/20191",3
"1805","Exc-neuron.chronic","Exc-neuron","chronic","GO:0060306","regulation of membrane repolarization","5/915","34/28943",0.00405951862611407,0.0349583643898725,0.0276693888024211,"238161/109676/12289/83814/433809",5
"1814","Exc-neuron.chronic","Exc-neuron","chronic","GO:1900454","positive regulation of long-term synaptic depression","3/915","11/28943",0.00429641022784057,0.036387063333732,0.0288001976159681,"11514/14804/243725",3
"1831","Exc-neuron.chronic","Exc-neuron","chronic","GO:0001503","ossification","24/915","426/28943",0.00493766406084751,0.0407028107415863,0.032216092354898,"11732/12667/50766/14042/14758/208727/70315/16477/21847/26399/17389/17937/338352/18514/67399/18760/212712/17131/75788/21814/80707/233781/235320/69504",24
"1848","Exc-neuron.chronic","Exc-neuron","chronic","GO:0070085","glycosylation","15/915","225/28943",0.00553552879733143,0.0441528878886169,0.0349468129605564,"26878/93961/14042/14348/233733/108073/232313/16795/67075/67569/18145/20440/20447/20452/387314",15
"1866","Exc-neuron.chronic","Exc-neuron","chronic","GO:0022406","membrane docking","8/915","86/28943",0.00585612918399561,0.0456132518803816,0.0361026845176622,"11938/75914/116837/20907/20910/382018/208898/75909",8
"1897","Glial cell(Egfr+).acute","Glial cell(Egfr+)","acute","GO:0007585","respiratory gaseous exchange by respiratory system","1/3","72/28943",0.00744465120596982,0.024599717028422,0.000340716302332715,"18227",1
"1902","Glial cell(Egfr+).acute","Glial cell(Egfr+)","acute","GO:0033555","multicellular organismal response to stress","1/3","109/28943",0.01125596068949,0.0311103258607236,0.000430890939899219,"18227",1
"1908","Glial cell(Egfr+).acute","Glial cell(Egfr+)","acute","GO:0009791","post-embryonic development","1/3","135/28943",0.0139283330287736,0.0320773730359635,0.000444284945096447,"18227",1
"1938","Glial cell(Egfr+).acute","Glial cell(Egfr+)","acute","GO:0021700","developmental maturation","1/3","355/28943",0.0363482211367666,0.0422060684409524,0.000584571585054742,"18227",1
"1982","Glial cell(Egfr+).chronic","Glial cell(Egfr+)","chronic","GO:0060306","regulation of membrane repolarization","1/4","34/28943",0.00469086025208043,0.0193497985398318,0.00200595997621861,"109676",1
"1996","Glial cell(Egfr+).chronic","Glial cell(Egfr+)","chronic","GO:0098900","regulation of action potential","1/4","68/28943",0.00936519799106161,0.0257163749094771,0.00266597188056781,"109676",1
"2009","Glial cell(Egfr+).chronic","Glial cell(Egfr+)","chronic","GO:0140029","exocytic process","1/4","99/28943",0.0136127269960572,0.0299479993913258,0.00310465703418848,"238988",1
"2028","Glial cell(Egfr+).chronic","Glial cell(Egfr+)","chronic","GO:0035637","multicellular organismal signaling","1/4","163/28943",0.0223385970849941,0.0378037796822977,0.0039190521201744,"109676",1
"2046","Glial cell(Egfr+).chronic","Glial cell(Egfr+)","chronic","GO:0051651","maintenance of location in cell","1/4","232/28943",0.031681184623729,0.0435616288576274,0.00451595833452278,"109676",1
"2139","Inh-neuron.acute","Inh-neuron","acute","GO:0140029","exocytic process","4/79","99/28943",0.000158943902316189,0.0039176386762285,0.00261267882571026,"192167/237625/19339/20979",4
"2146","Inh-neuron.acute","Inh-neuron","acute","GO:0033555","multicellular organismal response to stress","4/79","109/28943",0.000230101763576129,0.00525985560739315,0.00350780521315436,"11816/12286/12424/14806",4
"2149","Inh-neuron.acute","Inh-neuron","acute","GO:0045927","positive regulation of growth","6/79","324/28943",0.000262951906041218,0.00580585856179645,0.00387193536287966,"11816/15081/11426/17938/11739/20979",6
"2157","Inh-neuron.acute","Inh-neuron","acute","GO:0051235","maintenance of location","6/79","341/28943",0.000345353064943674,0.00698980213734956,0.004661509023527,"11816/12313/103172/14319/19241/54401",6
"2170","Inh-neuron.acute","Inh-neuron","acute","GO:0051651","maintenance of location in cell","5/79","232/28943",0.000440999341097223,0.0078611166949716,0.00524258994582986,"11816/12313/103172/14319/19241",5
"2194","Inh-neuron.acute","Inh-neuron","acute","GO:0044794","positive regulation by host of viral process","2/79","15/28943",0.00075479273740568,0.0108125505111784,0.00721090537110847,"11816/15481",2
"2223","Inh-neuron.acute","Inh-neuron","acute","GO:0006457","protein folding","4/79","169/28943",0.0011988483337123,0.0143787797061914,0.00958922871214975,"12017/15516/15481/268373",4
"2291","Inh-neuron.acute","Inh-neuron","acute","GO:0009566","fertilization","4/79","217/28943",0.00297683463320634,0.0250389164169694,0.0166984891021964,"11674/15081/19339/22215",4
"2292","Inh-neuron.acute","Inh-neuron","acute","GO:0031503","protein-containing complex localization","4/79","217/28943",0.00297683463320634,0.0250389164169694,0.0166984891021964,"103967/192167/171567/18148",4
"2315","Inh-neuron.acute","Inh-neuron","acute","GO:0097242","amyloid-beta clearance","2/79","36/28943",0.00436376655130366,0.0333012898410049,0.0222086777334437,"11816/237625",2
"2331","Inh-neuron.acute","Inh-neuron","acute","GO:0006734","NADH metabolic process","2/79","39/28943",0.00510554611789709,0.0365587087502378,0.0243810550540633,"11674/14433",2
"2336","Inh-neuron.acute","Inh-neuron","acute","GO:0042752","regulation of circadian rhythm","3/79","129/28943",0.00534461946413577,0.0376310454220009,0.0250961979112513,"192167/19215/22215",3
"2344","Inh-neuron.acute","Inh-neuron","acute","GO:0071827","plasma lipoprotein particle organization","2/79","41/28943",0.00562998593550201,0.038517826312255,0.025687593352865,"11816/237625",2
"2346","Inh-neuron.acute","Inh-neuron","acute","GO:0019058","viral life cycle","4/79","261/28943",0.00572078991959222,0.0390017361886585,0.0260103135402328,"11816/15516/15481/268373",4
"2349","Inh-neuron.acute","Inh-neuron","acute","GO:0002021","response to dietary excess","2/79","43/28943",0.00617804813619684,0.0413010642639892,0.0275437387160228,"11816/30052",2
"2357","Inh-neuron.acute","Inh-neuron","acute","GO:0044403","biological process involved in symbiotic interaction","4/79","272/28943",0.00660434268492008,0.0433521548540531,0.0289116139585228,"11816/14433/15516/15481",4
"2392","Inh-neuron.chronic","Inh-neuron","chronic","GO:0035637","multicellular organismal signaling","24/580","163/28943",2.76358080878174e-14,4.85428976846879e-12,3.48072054268528e-12,"12286/12288/12289/12290/12293/12300/140723/66797/13483/15165/16508/56543/72413/319504/18212/238871/20191/20265/110876/20269/20273/20274/20541/74868",24
"2430","Inh-neuron.chronic","Inh-neuron","chronic","GO:0031503","protein-containing complex localization","23/580","217/28943",9.71174501256443e-11,6.43204095914103e-09,4.61203145376658e-09,"71770/216831/12300/140723/13383/23859/23888/74053/15114/232227/545156/16574/242274/50791/26395/26414/171567/19699/380702/20614/29819/665113/69727",23
"2500","Inh-neuron.chronic","Inh-neuron","chronic","GO:0033555","multicellular organismal response to stress","13/580","109/28943",2.96850345872085e-07,9.15477402536813e-06,6.56434031209304e-06,"382543/11816/12286/12287/12290/66797/12921/14805/218461/19699/20274/21336/69727",13
"2528","Inh-neuron.chronic","Inh-neuron","chronic","GO:0007163","establishment or maintenance of cell polarity","18/580","235/28943",1.43755407587721e-06,3.65265312361252e-05,2.61909885257469e-05,"382543/11789/19159/13383/23859/94176/67299/13518/209630/232288/269152/242274/17755/17756/68617/18508/19229/71653",18
"2594","Inh-neuron.chronic","Inh-neuron","chronic","GO:0090130","tissue migration","20/580","332/28943",1.46298519212374e-05,0.00026268711894133,0.000188357204618692,"11789/11816/12554/63953/14164/79221/232227/16410/16590/328949/18750/19229/19279/19876/19878/68585/70097/20563/21336/24136",20
"2631","Inh-neuron.chronic","Inh-neuron","chronic","GO:0035176","social behavior","8/580","62/28943",3.23602840989223e-05,0.000497093337489148,0.000356435868882266,"20238/66797/14402/14415/14803/545156/18191/243961",8
"2654","Inh-neuron.chronic","Inh-neuron","chronic","GO:0007623","circadian rhythm","15/580","222/28943",4.64583335159161e-05,0.000658567254050179,0.000472219146207945,"432530/382543/66797/13207/99586/14402/381413/387285/195646/16508/26414/105689/18212/19215/19878",15
"2664","Inh-neuron.chronic","Inh-neuron","chronic","GO:0019098","reproductive behavior","8/580","68/28943",6.36913767173407e-05,0.000869301222763704,0.000623323857489764,"70503/14402/545156/17977/27386/21336/21834/381677",8
"2665","Inh-neuron.chronic","Inh-neuron","chronic","GO:0098900","regulation of action potential","8/580","68/28943",6.36913767173407e-05,0.000869301222763704,0.000623323857489764,"12288/12293/66797/13383/15165/20191/20274/21336",8
"2689","Inh-neuron.chronic","Inh-neuron","chronic","GO:0045927","positive regulation of growth","18/580","324/28943",0.000109121910875701,0.00137766412480573,0.000987840456348454,"52906/11816/50769/56808/22402/12891/13193/13383/13508/13649/13869/17755/26413/50873/19229/116837/20393/71653",18
"2723","Inh-neuron.chronic","Inh-neuron","chronic","GO:0007389","pattern specification process","23/580","493/28943",0.000181053583782924,0.00206626123865258,0.00148159221698069,"52906/11789/12153/13411/13869/14164/17268/17536/171567/18183/18508/18514/100503311/18845/19699/19876/320145/110796/68151/235320/21417/24136/22771",23
"2824","Inh-neuron.chronic","Inh-neuron","chronic","GO:0140029","exocytic process","8/580","99/28943",0.000859247778580007,0.00753756493987701,0.00540473650717601,"13017/111173/238988/26875/69908/67295/116837/20614",8
"2828","Inh-neuron.chronic","Inh-neuron","chronic","GO:0045759","negative regulation of action potential","3/580","10/28943",0.000864897657294206,0.00753756493987701,0.00540473650717601,"66797/15165/20274",3
"2851","Inh-neuron.chronic","Inh-neuron","chronic","GO:0040013","negative regulation of locomotion","17/580","360/28943",0.00106313079837488,0.00891088884944924,0.00638946485505063,"269275/11816/63953/228564/77569/50791/328949/260315/18183/19091/19271/19272/19279/19876/214968/20563/14270",17
"2897","Inh-neuron.chronic","Inh-neuron","chronic","GO:0009791","post-embryonic development","9/580","135/28943",0.0016425131361378,0.0125677141477211,0.00901155532426483,"58250/13508/16438/17263/101476/20274/94229/20541/20679",9
"2951","Inh-neuron.chronic","Inh-neuron","chronic","GO:0045926","negative regulation of growth","13/580","261/28943",0.00250951903730243,0.0174200290561887,0.0124908598130879,"11789/20239/63953/13841/320027/14706/16526/17756/17268/19271/68585/214968/20563",13
"2960","Inh-neuron.chronic","Inh-neuron","chronic","GO:0001503","ossification","18/580","426/28943",0.00261753494900894,0.0178931323079461,0.0128300938278967,"11789/12153/22402/234356/13207/14119/26413/210719/18514/19229/94249/20541/64075/21336/21834/80707/233781/235320",18
"3007","Inh-neuron.chronic","Inh-neuron","chronic","GO:0031987","locomotion involved in locomotory behavior","3/580","16/28943",0.00369052424524196,0.0232238597364136,0.0166524392898932,"319387/17918/53901",3
"3019","Inh-neuron.chronic","Inh-neuron","chronic","GO:0051235","maintenance of location","15/580","341/28943",0.00397796735555121,0.0246899398664923,0.0177036775697204,"269275/11816/80982/14119/15114/16410/16438/268977/17918/238871/19229/20191/20541/69863/72828",15
"3038","Inh-neuron.chronic","Inh-neuron","chronic","GO:0060306","regulation of membrane repolarization","4/580","34/28943",0.00459550213703059,0.0276688951320471,0.0198397080258972,"432442/12289/12293/70729",4
"3073","Inh-neuron.chronic","Inh-neuron","chronic","GO:0035264","multicellular organism growth","11/580","224/28943",0.00579073737516169,0.033230936073371,0.0238279145580816,"319924/11784/50769/20239/56808/66797/13383/17263/238871/101476/94229",11
"3100","Inh-neuron.chronic","Inh-neuron","chronic","GO:0050879","multicellular organismal movement","5/580","59/28943",0.00653211704970057,0.0360515749737572,0.0258504258279781,"50769/12286/16438/217154/243931",5
"3129","Inh-neuron.chronic","Inh-neuron","chronic","GO:0051651","maintenance of location in cell","11/580","232/28943",0.00746284377334374,0.0395353369344242,0.0283484229399519,"11816/80982/15114/16410/16438/17918/238871/19229/20191/20541/72828",11
"3134","Inh-neuron.chronic","Inh-neuron","chronic","GO:0030431","sleep","4/580","39/28943",0.00753520035631353,0.0395353369344242,0.0283484229399519,"14402/14811/19215/20614",4
"3270","Micro.acute","Micro","acute","GO:0033555","multicellular organismal response to stress","3/36","109/28943",0.00033886113604625,0.00478892098696124,0.00281387448690844,"11816/56710/14812",3
"3291","Micro.acute","Micro","acute","GO:0021700","developmental maturation","4/36","355/28943",0.000961457197783422,0.0107949748741228,0.00634291199788333,"12259/23859/192167/18189",4
"3317","Micro.acute","Micro","acute","GO:0031503","protein-containing complex localization","3/36","217/28943",0.00247290325844347,0.0220808842131881,0.0129742872987544,"23859/192167/18189",3
"3323","Micro.acute","Micro","acute","GO:0035176","social behavior","2/36","62/28943",0.00271404652556315,0.0229681250745418,0.0134956123384248,"56710/18189",2
"3342","Micro.acute","Micro","acute","GO:0007568","aging","2/36","81/28943",0.00458182110774143,0.0341827969485446,0.02008512992521,"11816/12259",2
"3413","Micro.chronic","Micro","chronic","GO:0048771","tissue remodeling","3/35","203/28943",0.00188587021187275,0.045017449022666,0.0275428930549372,"13040/16331/17260",3
"3416","Micro.chronic","Micro","chronic","GO:0002253","activation of immune response","4/35","448/28943",0.00202856286689269,0.045017449022666,0.0275428930549372,"12259/12262/15519/17260",4
"3453","Oligo.acute","Oligo","acute","GO:0040013","negative regulation of locomotion","4/35","360/28943",0.000908873509795778,0.0409783404199227,0.0287844608136695,"11816/260315/18183/56363",4
"3484","Oligo.chronic","Oligo","chronic","GO:0030431","sleep","3/84","39/28943",0.000199845999166791,0.0153408743209066,0.0113143991909553,"16173/18628/19215",3
"3526","Oligo.chronic","Oligo","chronic","GO:0044794","positive regulation by host of viral process","2/84","15/28943",0.000852734108474665,0.0248421510130634,0.0183219031356476,"11816/15481",2
"3539","Oligo.chronic","Oligo","chronic","GO:0051606","detection of stimulus","5/84","283/28943",0.00141910704678461,0.0346249837923965,0.0255370639516705,"12313/12314/16173/16485/20979",5
"3542","Oligo.chronic","Oligo","chronic","GO:0006457","protein folding","4/84","169/28943",0.00150521184557439,0.0346249837923965,0.0255370639516705,"67072/14229/15516/15481",4
