"","inchikey","subclass"
"131","InChIKey=MUPFEKGTMRGPLJ-ZQSKZDJDSA-N","Organic oxygen compounds"
"132","InChIKey=FYGDTMLNYKFZSV-DZOUCCHMSA-N","Organic oxygen compounds"
"133","InChIKey=XKMLYUALXHKNFT-UUOKFMHZSA-N","Nucleosides, nucleotides, and analogues"
"134","InChIKey=HAAZLUGHYHWQIW-KVQBGUIXSA-N","Nucleosides, nucleotides, and analogues"
"135","InChIKey=WBWWGRHZICKQGZ-HZAMXZRMSA-N","Lipids and lipid-like molecules"
"136","InChIKey=BQOHYSXSASDCEA-KEOHHSTQSA-N","Organic oxygen compounds"
"137","InChIKey=PWJFNRJRHXWEPT-AOOZFPJJSA-N","Nucleosides, nucleotides, and analogues"
"138","InChIKey=OBFSLMQLPNKVRW-RHPAUOISSA-N","Lipids and lipid-like molecules"
"139","InChIKey=HSCJRCZFDFQWRP-JZMIEXBBSA-N","Nucleosides, nucleotides, and analogues"
"140","InChIKey=HSCJRCZFDFQWRP-ABVWGUQPSA-N","Nucleosides, nucleotides, and analogues"
"141","InChIKey=HDYANYHVCAPMJV-LXQIFKJMSA-N","Nucleosides, nucleotides, and analogues"
"142","InChIKey=LQEBEXMHBLQMDB-QIXZNPMTSA-N","Nucleosides, nucleotides, and analogues"
"143","InChIKey=LFTYTUAZOPRMMI-CFRASDGPSA-N","Nucleosides, nucleotides, and analogues"
"144","InChIKey=YPZRWBKMTBYPTK-BJDJZHNGSA-N","Organic acids and derivatives"
"145","InChIKey=TXCIAUNLDRJGJZ-BILDWYJOSA-N","Nucleosides, nucleotides, and analogues"
"146","InChIKey=KDTSHFARGAKYJN-DRCCLKDXSA-N","Nucleosides, nucleotides, and analogues"
"147","InChIKey=YMQZQHIESOAPQH-JXGHDCMNSA-N","Lipids and lipid-like molecules"
"148","InChIKey=XVYPOHCSLJZFED-QZEVRULJSA-N","Lipids and lipid-like molecules"
"149","InChIKey=XLSMFKSTNGKWQX-UHFFFAOYSA-N","Organic oxygen compounds"
"150","InChIKey=DHMQDGOQFOQNFH-UHFFFAOYSA-N","Organic acids and derivatives"
"151","InChIKey=AEMRFAOFKBGASW-UHFFFAOYSA-N","Organic acids and derivatives"
"152","InChIKey=VWWQXMAJTJZDQX-UYBVJOGSSA-N","Nucleosides, nucleotides, and analogues"
"153","InChIKey=LALGUHSIWLNTNW-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"154","InChIKey=LCTONWCANYUPML-UHFFFAOYSA-N","Organic acids and derivatives"
"155","InChIKey=UCMIRNVEIXFBKS-UHFFFAOYSA-N","Organic acids and derivatives"
"156","InChIKey=QNAYBMKLOCPYGJ-REOHCLBHSA-N","Organic acids and derivatives"
"157","InChIKey=JVTAAEKCZFNVCJ-UHFFFAOYSA-N","Organic acids and derivatives"
"158","InChIKey=XUWHAWMETYGRKB-UHFFFAOYSA-N","Organoheterocyclic compounds"
"159","InChIKey=OEYIOHPDSNJKLS-UHFFFAOYSA-N","Organic nitrogen compounds"
"160","InChIKey=DDRJAANPRJIHGJ-UHFFFAOYSA-N","Organic acids and derivatives"
"161","InChIKey=ONIBWKKTOPOVIA-BYPYZUCNSA-N","Organic acids and derivatives"
"162","InChIKey=KWIUHFFTVRNATP-UHFFFAOYSA-N","Organic acids and derivatives"
"163","InChIKey=SIKJAQJRHWYJAI-UHFFFAOYSA-N","Organoheterocyclic compounds"
"164","InChIKey=AYFVYJQAPQTCCC-GBXIJSLDSA-N","Organic acids and derivatives"
"165","InChIKey=LENZDBCJOHFCAS-UHFFFAOYSA-N","Organic nitrogen compounds"
"166","InChIKey=FHQDWPCFSJMNCT-UHFFFAOYSA-N","Organic nitrogen compounds"
"167","InChIKey=PRJKNHOMHKJCEJ-UHFFFAOYSA-N","Organoheterocyclic compounds"
"168","InChIKey=CVSVTCORWBXHQV-UHFFFAOYSA-N","Organic acids and derivatives"
"169","InChIKey=KMXXSJLYVJEBHI-UHFFFAOYSA-N","Organic nitrogen compounds"
"170","InChIKey=GFFGJBXGBJISGV-UHFFFAOYSA-N","Organoheterocyclic compounds"
"171","InChIKey=FDGQSTZJBFJUBT-UHFFFAOYSA-N","Organoheterocyclic compounds"
"172","InChIKey=LDHMAVIPBRSVRG-UHFFFAOYSA-O","Organoheterocyclic compounds"
"173","InChIKey=JRYYVMDEUJQWRO-UHFFFAOYSA-N","Organoheterocyclic compounds"
"174","InChIKey=WWNNZCOKKKDOPX-UHFFFAOYSA-N","Alkaloids and derivatives"
"175","InChIKey=WGNUNYPERJMVRM-UHFFFAOYSA-N","Organoheterocyclic compounds"
"176","InChIKey=ZHCKPJGJQOPTLB-UHFFFAOYSA-N","Organoheterocyclic compounds"
"177","InChIKey=SUHOOTKUPISOBE-UHFFFAOYSA-N","Organic acids and derivatives"
"178","InChIKey=CMUNUTVVOOHQPW-LURJTMIESA-N","Organic acids and derivatives"
"179","InChIKey=OIPILFWXSMYKGL-UHFFFAOYSA-N","Organic nitrogen compounds"
"180","InChIKey=TUHVEAJXIMEOSA-UHFFFAOYSA-N","Organic acids and derivatives"
"181","InChIKey=ATHGHQPFGPMSJY-UHFFFAOYSA-N","Organic nitrogen compounds"
"182","InChIKey=ZDXPYRJPNDTMRX-VKHMYHEASA-N","Organic acids and derivatives"
"183","InChIKey=KDXKERNSBIXSRK-YFKPBYRVSA-N","Organic acids and derivatives"
"184","InChIKey=WHUUTDBJXJRKMK-VKHMYHEASA-N","Organic acids and derivatives"
"185","InChIKey=GSEJCLTVZPLZKY-UHFFFAOYSA-N","Organic nitrogen compounds"
