"","inchikey","subclass"
"554","InChIKey=PDIGSOAOQOXRDU-WJPZTBRDSA-N","Lipids and lipid-like molecules"
"555","InChIKey=LAXQYRRMGGEGOH-ZWIVXADESA-N","Lipids and lipid-like molecules"
"556","InChIKey=YHGXYYIGHBPDMX-BUTFDPNWSA-N","Lipids and lipid-like molecules"
"557","InChIKey=FXUOEWGMRIDVHF-ZPIZUECNSA-N","Lipids and lipid-like molecules"
"558","InChIKey=MLKLDGSYMHFAOC-AREMUKBSSA-N","Lipids and lipid-like molecules"
"559","InChIKey=ARPUJSHXTOERPK-WWEGMTSXSA-N","Lipids and lipid-like molecules"
"560","InChIKey=FRDLAEOZFHZSSP-WJRLSAAESA-N","Lipids and lipid-like molecules"
"561","InChIKey=CITHEXJVPOWHKC-UUWRZZSWSA-N","Lipids and lipid-like molecules"
"562","InChIKey=UQZIYBXSHAGNOE-XNSRJBNMSA-N","Organic oxygen compounds"
"563","InChIKey=XXUXWSPSLREVKI-DIPNUNPCSA-N","Lipids and lipid-like molecules"
"564","InChIKey=NDGYJYRRMBQYAU-BQZPLEDQSA-N","Lipids and lipid-like molecules"
"565","InChIKey=PEWXKAOBUSBJLD-MCBGMKGZSA-N","Lipids and lipid-like molecules"
"566",NA,NA
"567",NA,NA
"568","InChIKey=SHPISFZHCUNAIC-VSWYSSNSSA-N","Organic nitrogen compounds"
"569","InChIKey=DAHUWMOXEKQXEB-WUGXCKJUSA-N","Lipids and lipid-like molecules"
"570","InChIKey=RRCMFZZLICZISN-ZNIIMWJUSA-N","Lipids and lipid-like molecules"
"571","InChIKey=MZWGYEJOZNRLQE-KXQOOQHDSA-N","Lipids and lipid-like molecules"
"572",NA,NA
"573",NA,NA
"574","InChIKey=ZGOGLUJRGBOVEK-IIKIFWEUSA-N","Lipids and lipid-like molecules"
"575","InChIKey=NZSQQKVHFHMINK-RRHRGVEJSA-N","Lipids and lipid-like molecules"
"576","InChIKey=LDYXUOMTSTUYTN-RJPAOWPDSA-N","Lipids and lipid-like molecules"
"577","InChIKey=KHJSJYFSBVDACH-LNCIMUPZSA-N","Lipids and lipid-like molecules"
"578","InChIKey=PUEZCLOAQGFTCJ-YHTOTGLMSA-N","Lipids and lipid-like molecules"
"579","InChIKey=XWHIBISICRMDDW-ZLBNXBDKSA-N","Lipids and lipid-like molecules"
"580","InChIKey=CKALBGXOWPPZRV-NSXUIHOUSA-N","Lipids and lipid-like molecules"
"581","InChIKey=PZNPLUBHRSSFHT-RRHRGVEJSA-N","Lipids and lipid-like molecules"
"582","InChIKey=CLZILUAYFAKZPA-BONSMSLRSA-N","Lipids and lipid-like molecules"
"583","InChIKey=AUHQXWUFPPQZOD-APUCRWBFSA-N","Lipids and lipid-like molecules"
"584","InChIKey=DSWOVBIRJNAJAF-NVJOKYTBSA-N","Lipids and lipid-like molecules"
"585","InChIKey=HGGMAPXNHACWRM-PHHYKNGOSA-N","Lipids and lipid-like molecules"
"586","InChIKey=IAIIVFJWUNHCRN-RHUBPQRNSA-N","Lipids and lipid-like molecules"
"587","InChIKey=RQHSPQUXYJDFSF-BGLGUGRYSA-N","Lipids and lipid-like molecules"
"588","InChIKey=OGQUENOVENTNRY-OCDRDTPKSA-N","Lipids and lipid-like molecules"
"589","InChIKey=IIZPXYDJLKNOIY-JXPKJXOSSA-N","Lipids and lipid-like molecules"
"590","InChIKey=LMYYUVAVNWPEPG-GXAHKNHCSA-N","Lipids and lipid-like molecules"
"591","InChIKey=SNKAWJBJQDLSFF-DQPVQCHKSA-N","Lipids and lipid-like molecules"
"592","InChIKey=SNKAWJBJQDLSFF-AOMFJDGTSA-N","Lipids and lipid-like molecules"
"593","InChIKey=OGPJJLLSVRJWDH-MQULWMCLSA-N","Lipids and lipid-like molecules"
"594","InChIKey=HRTXZWFRPLOXSH-UJOYSCBBSA-N","Lipids and lipid-like molecules"
"595","InChIKey=CBVSTGCTYPGQKV-SJHDXFTHSA-N","Lipids and lipid-like molecules"
"596","InChIKey=IEFQKHWAFKLKLO-KSXPKIBJSA-N","Lipids and lipid-like molecules"
"597","InChIKey=KVZGNJNSFSUTHN-WJPDOSEWSA-N","Lipids and lipid-like molecules"
"598","InChIKey=SQYNRGDZNLTJSW-SDGBSDMESA-N","Lipids and lipid-like molecules"
"599",NA,NA
"600","InChIKey=RMOIQWNPUHLBDC-ZJSWKPLXSA-N","Lipids and lipid-like molecules"
"601","InChIKey=ADBKQVBFJGQYGM-HOQFLICISA-N","Lipids and lipid-like molecules"
"602",NA,NA
"603","InChIKey=PTIPMXWQZWSDTJ-ALNNFZMXSA-N","Lipids and lipid-like molecules"
"604","InChIKey=ANSBSRQQQLGROE-ZEBHBPEESA-N","Lipids and lipid-like molecules"
"605","InChIKey=OCOSKIWVYWPOML-BYVWXSKESA-N","Lipids and lipid-like molecules"
"606",NA,NA
"607","InChIKey=SOKBMQXQMOKROU-VHLYIUHQSA-N","Lipids and lipid-like molecules"
"608","InChIKey=LOOKZZZTFVYXKM-SXDDUYMLSA-N","Lipids and lipid-like molecules"
"609","InChIKey=OKVMMSHMUNQJJW-YNQDRSMJSA-N","Lipids and lipid-like molecules"
"610","InChIKey=ICAPJNQZVMWDCH-PJLDRQBCSA-N","Lipids and lipid-like molecules"
"611",NA,NA
"612","InChIKey=IZIHXNCQJFBSRO-UUOKKZDXSA-N","Lipids and lipid-like molecules"
"613","InChIKey=QXYTWNKFXPOXQU-LPJYUKPGSA-N","Lipids and lipid-like molecules"
"614",NA,NA
"615",NA,NA
"616",NA,NA
"617","InChIKey=GEPSKMNTZNFBEY-FCBOVCCLSA-N","Lipids and lipid-like molecules"
"618","InChIKey=RFSIMHGWMMUQIO-ASOGXFFVSA-N","Lipids and lipid-like molecules"
"619",NA,NA
"620",NA,NA
"621","InChIKey=NJLVPALPZGCPPE-GOVUEYSSSA-N","Lipids and lipid-like molecules"
"622","InChIKey=ITFWNTFYLTWDNT-ZSARYHDSSA-N","Lipids and lipid-like molecules"
"623","InChIKey=ANFDUMGBUYRUGT-PZPDSNGWSA-N","Lipids and lipid-like molecules"
"624",NA,NA
"625",NA,NA
"626",NA,NA
"627","InChIKey=POFXXMMFLNVHNN-VURCPXDFSA-N","Lipids and lipid-like molecules"
