,,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment
Cebpd,tfdimers__MD00205,0.07889615284459246,3.664146431425408,3.75352e-06,0.86194,gene is orthologous to ENSG00000221869 in H. sapiens (identity = 86%) which is annotated for similar motif tfdimers__MD00071 ('M01131_forward_5_M00912_forward dimer: SOX10 / C/EBP'; q-value = 3.75e-06),"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating', 'weight>90.0%'})","[('1700028E10Rik', 0.91853378262327), ('Zc3h15', 0.9932722346822797), ('Dzip3', 0.9364726997024754), ('5530601H04Rik', 1.8519325248742504), ('Fndc3a', 1.1420864370041164), ('Taf7', 1.2636944979601414), ('Cdk17', 2.7491921616201105), ('Arhgap44', 2.103521540113391), ('Epb41l5', 0.9406963259856944), ('Lekr1', 2.197986679606604), ('Fbxo31', 3.70656800249928), ('Ikbkg', 2.013812460512713), ('Cdkl2', 1.0923722253717507), ('Cox5b', 2.4322290328017107), ('Dlst', 0.9213084596992894)]",922
Cebpd,tfdimers__MD00192,0.07545605306799337,3.4000992439258986,2.16027e-06,0.858736,motif similar to tfdimers__MD00159 ('M00087_forward_7_M00912_forward dimer: Ik-2 / C/EBP'; q-value = 2.16e-06) which is annotated for orthologous gene ENSG00000221869 in H. sapiens (identity = 85%),"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating', 'weight>90.0%'})","[('Dcp2', 3.200525084975512), ('Fam72a', 2.098557346605377), ('Wwox', 1.275288665491081), ('Ptchd1', 2.0121592033833227), ('Kcnip2', 7.780428006343158), ('1700028E10Rik', 0.91853378262327), ('Fam124a', 3.654367459741606), ('Mtmr4', 1.8807694468261096), ('F11r', 2.144965184547274), ('Fndc3a', 1.1420864370041164), ('Abcd3', 2.1057548613108024)]",414
E2f2,metacluster_197.1,0.06408337715217949,3.114849583279398,0.0,0.832952,motif is annotated for orthologous gene ENSG00000007968 in H. sapiens (identity = 83%),"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating', 'weight>90.0%'})","[('Knl1', 1.4570077958804326), ('Enpp4', 1.1531084350966954), ('Cbfb', 0.9472687676070516), ('Mms22l', 2.61551328999289), ('Prkar2a', 1.6633462452369232), ('Cenpf', 1.0500052516671623), ('Gm12610', 2.556943105539635), ('Clspn', 8.827663317426623)]",239
E2f7,metacluster_15.3,0.06150423477848851,3.3023332682322266,1.97219e-06,0.797566,gene is orthologous to ENSG00000165891 in H. sapiens (identity = 79%) which is annotated for similar motif swissregulon__hs__E2F7 ('hs__E2F7'; q-value = 1.97e-06),"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating', 'weight>90.0%'})","[('Sox6', 0.9788933810791564), ('Ccnd2', 1.497294610830791), ('Pantr1', 1.122050441898825), ('Sp9', 2.553803644887209), ('Efna5', 1.9791787424538891), ('Rai2', 1.537443868934216), ('Pou3f3', 3.261799966473151), ('Angpt2', 2.0816528645344547), ('Zfp800', 1.7406918617658045), ('Mki67', 13.161171012419578), ('Tox3', 6.237878780161084), ('Lockd', 8.914560502544118), ('Mis18bp1', 5.49830049575543), ('Arx', 9.216377081431691), ('Cd24a', 3.074057522604714)]",429
E2f7,metacluster_197.3,0.060538083392561004,3.203771498727413,0.0,1.0,gene is directly annotated,"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating', 'weight>90.0%'})","[('Ezh2', 11.108094326052004), ('Ctcf', 1.344178553488149), ('Efna5', 1.9791787424538891), ('Supt3', 1.1562265448991371), ('4932441J04Rik', 5.695366590763384), ('Lockd', 8.914560502544118), ('Slf1', 1.4477523414117317), ('Rcbtb2', 2.1065752887654177), ('Utp14b', 3.0787347837978336), ('Mybl1', 1.298357676161105), ('Cbx5', 6.871413542994019), ('Ccnd2', 1.497294610830791), ('Tmpo', 7.446450620019767), ('Ska2', 0.9187911877126786), ('Atp11c', 0.935820244550261), ('Cep83os', 1.1688851292607094), ('Tex10', 1.3550585795602308), ('Hnrnpr', 1.7457940310206324), ('Ddias', 3.2728884620169976), ('E2f7', 1.0), ('Eaf2', 1.3123745454287417), ('Gm12610', 5.102787177215054), ('Cep192', 2.213479258031845), ('G2e3', 0.9530233436679816), ('Zfp800', 1.7406918617658045), ('Sox6', 0.9788933810791564), ('Srsf1', 1.6665923285198825), ('Dhx9', 1.982351777357976), ('Cdc7', 3.6272943482130806), ('Ppm1d', 1.5119023022069136), ('L3mbtl4', 4.3380362365534975), ('Xpo1', 9.368609210802706), ('Pola1', 10.69942686247165), ('Cntln', 1.2749389623021952), ('Rcor1', 2.4194882774607738), ('Naa35', 2.464585246406065), ('Kif18a', 6.234162257379999), ('Knl1', 4.579641421804201), ('Ranbp17', 2.9910291424000013), ('Adamts20', 1.2306498079881336), ('Syt9', 8.0631885281622), ('Epb41l4aos', 8.820399563331256), ('Ect2', 2.199020655487897), ('Smc2', 17.584000392489322), ('Ep400', 1.2909286934456408), ('Rnf144a', 1.0622522457881547), ('Rai2', 1.537443868934216), ('Lmnb1', 5.130195573034352), ('Zc3h12c', 1.2595574046391755), ('Stil', 8.913840324935082), ('2700099C18Rik', 3.7782927644839983), ('Tox3', 6.237878780161084), ('AW554918', 4.123490390431543), ('Terb1', 1.4431846641227115), ('Cenpf', 4.940909616648729), ('Hfm1', 1.3020439788270115), ('Nasp', 9.95695339576597), ('Cenpc1', 1.9332912899098509), ('9030624G23Rik', 1.2131048342581348), ('Bard1', 2.813330372011707), ('Arl4c', 1.1845952181092256), ('Stk3', 1.237742213089356), ('Ttk', 6.245889082772373), ('Rad51b', 5.390991048950228), ('Lrrc51', 1.0543216974698004), ('Bzw2', 1.3979972184683944), ('Kif11', 25.48935845023564), ('Srebf2', 1.7153001934534922), ('Rb1', 0.9766066744414652), ('Esco2', 5.225152952202303), ('Zfp507', 2.385402664236955), ('Cep128', 10.558838910405283), ('Pou3f3', 3.261799966473151), ('Smarca4', 1.161006967445912), ('Adgrv1', 1.22514547255043), ('Mis18bp1', 5.49830049575543), ('Cdk5rap2', 1.9850465652698213), ('Mcph1', 5.915564900263786), ('Diaph3', 10.446914332134888), ('Cd24a', 3.074057522604714), ('St3gal2', 2.082902227674394), ('Mns1', 2.52331865806998), ('Pclaf', 5.288896238881682), ('Ncapd2', 4.551389457138709), ('Zfp786', 2.675146398823873), ('Uba2', 1.6428146143256157), ('Brca2', 1.798046784569021), ('Ube3b', 1.0033001919930482), ('Nuf2', 7.642564944107085), ('Atad5', 1.649336368127433), ('Adcy6', 1.007601991587148), ('Kntc1', 0.9247900289692792)]",4977
E2f7,swissregulon__mm__E2f7,0.0828039860222696,5.475223772947548,0.0,1.0,gene is directly annotated,"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating', 'weight>90.0%'})","[('Slf1', 1.4477523414117317), ('Kif11', 25.48935845023564), ('Atp11c', 0.935820244550261), ('Knl1', 4.579641421804201), ('2700099C18Rik', 3.7782927644839983), ('Utp14b', 3.0787347837978336), ('Kif18a', 6.234162257379999), ('Ppm1d', 1.5119023022069136), ('Ezh2', 11.108094326052004), ('Srsf1', 1.6665923285198825), ('Rad51ap1', 2.132698883624905), ('Cenpc1', 1.9332912899098509), ('Aurkb', 3.824470839814889), ('Eaf2', 1.3123745454287417), ('Cep83os', 1.1688851292607094), ('Stk3', 1.237742213089356), ('Pclaf', 5.288896238881682), ('Tex10', 1.3550585795602308), ('Cbx5', 6.871413542994019), ('Kif15', 23.76025459742724), ('Klhdc2', 1.0633480627715572), ('Ska2', 0.9187911877126786), ('Stil', 8.913840324935082), ('G2e3', 0.9530233436679816), ('Adamts20', 1.2306498079881336), ('9530077C05Rik', 0.9721081313679296), ('Cenpk', 4.786641908477049), ('Traip', 1.1427872900529117), ('Mthfd1l', 1.661414391242163), ('Ddias', 3.2728884620169976), ('Cdc7', 3.6272943482130806), ('Gtf3c5', 4.148253920886207), ('Tox3', 6.237878780161084), ('Iqgap1', 1.7797834782092867), ('Cenpf', 4.940909616648729), ('Mllt1', 0.9301726625785028), ('Scrg1', 1.2423853724137657), ('Gm12610', 5.102787177215054), ('Ska1', 1.043918543547072), ('Atad5', 1.649336368127433), ('Brca2', 1.798046784569021), ('Kntc1', 0.9247900289692792), ('Nuf2', 7.642564944107085), ('Asf1b', 3.748847804536401), ('Fip1l1', 3.501237890403732)]",2459
Ebf3,tfdimers__MD00481,0.06665115668659102,3.1370119625591073,6.59269e-07,0.624161,gene is orthologous to FBgn0001319 in D. melanogaster (identity = 62%) which is annotated for similar motif jaspar__MA1841.1 ('kn'; q-value = 6.59e-07),"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating', 'weight>90.0%'})","[('Usp24', 1.8975125948558995), ('Ebf3', 1.0), ('Rptor', 2.790507118815526), ('Cflar', 2.267758361849497), ('Dleu2', 0.983964690592646), ('5031425E22Rik', 1.0821826639204564), ('Mpeg1', 2.723574961833428), ('Cd247', 1.0101775386332543), ('Bin2', 3.079967383377594), ('Tbc1d16', 2.205873765685692), ('Ikzf1', 3.460452146921425), ('Tpst2', 1.4717798839644456), ('Nrp2', 3.3365082347397768), ('Lgals3bp', 0.9951244248361166), ('Trim36', 1.641762936938229), ('Plcl2', 1.5351692332874167), ('AU022754', 1.459362498189638), ('Gprin1', 2.235760551175205), ('P2rx7', 3.16507092144751), ('P3h2', 2.167226508341661), ('1810034E14Rik', 1.5015024191858015), ('Cds1', 1.0054266494916717), ('Rheb', 0.976647625560796), ('Ptpre', 1.1515970488987173), ('Gcgr', 1.378578754736229), ('Ubash3b', 1.0951742093687646)]",2023
Egr1,metacluster_24.4,0.0886377260574874,4.144159962830972,8.09417e-06,0.913444,motif similar to transfac_pro__M09603 ('V$EGR1_19: Egr-1'; q-value = 8.09e-06) which is annotated for orthologous gene ENSG00000120738 in H. sapiens (identity = 91%),"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating', 'weight>90.0%'})","[('Pafah1b1', 1.2492585756349206), ('Atp2b1', 0.9246781496007612), ('Adamts3', 1.2437389091465052), ('Tiparp', 1.2897687654257006), ('Nap1l1', 5.931236285395608), ('Fbxw7', 3.735647178034527), ('Foxp1', 3.0831780164708493), ('Arf3', 2.176701884732924), ('Bdnf', 1.0354106556803822), ('Nr4a2', 4.760181910998737), ('Vgf', 2.711998620232975), ('Cltc', 1.5888973410004317), ('Ywhaz', 2.6954310438715487), ('Lmo4', 1.1835945413947675), ('Pcdh7', 1.3160879479233745), ('Lrrc8b', 1.213159573585738), ('Egr3', 21.99706585552977), ('Rabgap1', 1.0812082212388867), ('Ccdc88a', 1.189111700815444), ('Gabbr1', 1.862373013066275), ('Stag1', 2.128588926447687), ('Rab6a', 5.414729774986504), ('Homer1', 24.056917724268235), ('Ube2e2', 0.988267211779638), ('Hspa8', 3.181849795033352), ('Snca', 2.38826643975786), ('P4ha1', 4.41824203774649), ('Numb', 1.4244311309694435), ('Pcdh9', 2.1749928746012714), ('Zbtb7a', 2.6622270328498066), ('Nrn1', 9.240218515264344), ('Prkacb', 5.423855804776853), ('Ppp3ca', 1.7296420340618426), ('Egr2', 2.3659324306729914), ('Irs2', 1.2048508981470891), ('Cdh10', 2.199031730367933), ('Ppig', 1.1453244990593183), ('Adgrl1', 2.550252511629441), ('Spred2', 1.0647186624733114), ('Basp1', 4.745330779459369), ('Prmt8', 1.0798846723982305), ('Nr4a3', 7.792569130076218), ('Hivep1', 1.0145376752749178), ('Tcf4', 1.5776980123965094), ('Man2a1', 1.060886901863041), ('Patj', 1.293736649260671), ('Per1', 0.9529634332315372), ('Dnajb5', 3.9622236563669424), ('Fxr2', 1.2309284594017578), ('Unc13a', 2.7747534285072213), ('Necab1', 0.9449944203003598), ('AI593442', 2.002194879131608), ('Calm2', 1.7097774159810242), ('Arhgef17', 2.0769859486204814), ('Sox21', 5.803016021522622), ('Syndig1', 1.8254587849887312), ('Osbpl1a', 3.804052794415037), ('Syn1', 0.9297267588920778), ('Rnf24', 2.916044865486566), ('Kdm7a', 2.669959376343069), ('Rims4', 1.0946711717677269), ('Npas4', 13.73460684508472), ('Syp', 1.1642112321111409), ('Tnrc6b', 1.4524683923884307), ('Pcmt1', 1.8861338313676608), ('Zfp365', 2.0212277016603712), ('Enc1', 1.1451879719112237), ('Nucks1', 1.725590578301657), ('Ube2w', 1.6184768654989257), ('Fosl2', 3.002452625582368), ('Asap1', 4.453745511207483), ('Rtf1', 1.376436739525163), ('Rab28', 1.138107480549009), ('Ambra1', 1.6242098216844063), ('Aff2', 1.6351948000147192), ('Klf10', 7.614795636295183), ('Nrsn1', 2.0948830552905475), ('Fam117b', 1.0436039054820585), ('Foxj2', 3.0160329026892017), ('Fos', 6.039546682120881), ('Dmtn', 4.5662722512427045), ('Pcdh19', 1.0378975245235245), ('Rtn4', 1.0583925224588382), ('Chrm1', 2.120285931036268), ('Camk2n1', 1.8892049502309496), ('Zbtb11', 2.685697524337832), ('Map4k4', 0.9324964233612608), ('Cnih3', 2.173544092813698), ('Atp2b2', 3.216464418851666), ('Igsf9b', 1.7492056333394526), ('Frmd6', 1.0391715580445755), ('Pacsin1', 2.3520699407396357), ('Adgrb2', 1.012085747269221), ('Ndfip2', 4.728369944563992), ('Cacnb1', 2.940813165686411), ('Arhgef25', 2.168127845191913), ('Gpatch8', 1.150628381380491), ('Pdgfc', 0.965272272928102), ('Arhgef3', 1.1808913428649976), ('Btg2', 2.468873558702146), ('Speg', 1.8146206611927729), ('Dab2ip', 2.668317113311043), ('Skil', 1.0011633590685296), ('Zfp868', 1.036671545809697), ('Ovol2', 2.073645135927366), ('Tacc1', 1.8174503771713484), ('Osbpl3', 1.3257643274638398), ('Kif26b', 0.958019016492413), ('Alcam', 1.286242555358403), ('Fosb', 2.9374721848166003), ('Stx1b', 2.039376849858062), ('Rundc3a', 1.2430335813407103), ('Pak1', 4.138480272331004), ('Bmpr2', 1.9949180928465844), ('Trim9', 1.348826861255841), ('Wasl', 2.566133736525541), ('Zfhx4', 1.3712789653372413), ('Arpc2', 4.588158310335706), ('Nefm', 3.124882060596569), ('Prkar1a', 2.040762510364144), ('Zdbf2', 1.3923283795288437), ('R3hdm2', 5.2822260329267285), ('Dusp14', 6.349421711375316), ('Mal2', 1.4437525012231984), ('Serinc1', 1.045526609811885), ('Dusp1', 1.462148652013589), ('Atl1', 5.280254635755791), ('Lingo1', 3.2588808697360774), ('Pfn1', 1.0026861557301852), ('Gnb5', 1.224318722543829), ('Atp1a1', 13.24541515671745), ('Mcc', 0.988836704157012), ('Hdac9', 1.0543379365322691), ('Myo1d', 2.0238518368619767), ('Map9', 4.6967500152449775), ('Il1rap', 2.039518080720639), ('Dnajc21', 4.5386921671974925), ('Ubtd2', 2.719642721924705), ('Fam110b', 2.0263670678247254), ('Cdh4', 1.100706093965293), ('Cacna1i', 3.67311619796872), ('Asap2', 1.549407768420155), ('Tmcc1', 4.612263845164144), ('Rasgrp1', 7.663152486601075), ('Kcnb1', 5.718498500887365), ('Clstn3', 2.4862574185262765), ('St6gal2', 1.2569256933609294), ('Memo1', 1.3065616214059488), ('Egr1', 1.0), ('Sorcs1', 2.295961605035287), ('Dynll1', 1.8468990310518956), ('Stxbp1', 6.330574256030032), ('AW554918', 1.2545229628439567), ('Kif7', 1.1717726772157648), ('Mycbp2', 1.411003097367132), ('Clstn1', 1.6021454171843654), ('Macf1', 2.4826507555098534), ('Plppr4', 2.776400227122295), ('Dock6', 1.3449024180059048), ('Kbtbd11', 2.1939948296329472)]",4590
Egr1,tfdimers__MD00569,0.07935695314106687,3.3425527929645615,2.28217e-07,0.930582,gene is orthologous to ENSG00000120738 in H. sapiens (identity = 93%) which is annotated for similar motif transfac_pro__M09603 ('V$EGR1_19: Egr-1'; q-value = 2.28e-07),"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating', 'weight>90.0%'})","[('Arf3', 2.176701884732924), ('P4ha1', 4.41824203774649), ('Vipr1', 1.623246536891269), ('Pcdh7', 1.3160879479233745), ('Cltc', 1.5888973410004317), ('Pafah1b1', 1.2492585756349206), ('Fbxw7', 3.735647178034527), ('Tiparp', 1.2897687654257006), ('Nr4a2', 4.760181910998737), ('Atp2b1', 0.9246781496007612), ('Nap1l1', 5.931236285395608), ('Hspa8', 3.181849795033352), ('Adamts3', 1.2437389091465052), ('Ppig', 1.1453244990593183), ('Ccdc88a', 1.189111700815444), ('Rabgap1', 1.0812082212388867), ('Homer1', 24.056917724268235), ('Snca', 2.38826643975786), ('Gabbr1', 1.862373013066275), ('Cdh10', 2.199031730367933), ('Adgrb2', 1.012085747269221), ('Zbtb7a', 2.6622270328498066), ('AI593442', 2.002194879131608), ('Ppp3ca', 1.7296420340618426), ('Foxp1', 3.0831780164708493), ('Rab6a', 5.414729774986504), ('Lrrc8b', 1.213159573585738), ('Bdnf', 1.0354106556803822), ('Prmt8', 1.0798846723982305), ('Ywhaz', 2.6954310438715487), ('Sox21', 5.803016021522622), ('Egr2', 2.3659324306729914), ('Nr4a1', 13.932384168201075), ('Speg', 1.8146206611927729), ('Per1', 0.9529634332315372), ('Lmo4', 1.1835945413947675), ('Syp', 1.1642112321111409), ('Dmtn', 4.5662722512427045), ('Rab28', 1.138107480549009), ('Igsf9b', 1.7492056333394526), ('Pcdh19', 1.0378975245235245), ('Vgf', 2.711998620232975), ('Unc13a', 2.7747534285072213), ('Fos', 6.039546682120881), ('Irs2', 1.2048508981470891), ('Rundc3a', 1.2430335813407103), ('Egr3', 21.99706585552977), ('Zdbf2', 1.3923283795288437), ('Cnih3', 2.173544092813698), ('Zcchc7', 2.75331143584263), ('Asap1', 4.453745511207483), ('Chrm1', 2.120285931036268), ('Kif26b', 0.958019016492413), ('Mepce', 1.0245514411980332), ('Dusp14', 6.349421711375316), ('Syndig1', 1.8254587849887312), ('Man2a1', 1.060886901863041), ('Stxbp1', 6.330574256030032), ('Enc1', 1.1451879719112237), ('Gnb5', 1.224318722543829), ('Cacnb1', 2.940813165686411), ('Nefm', 3.124882060596569), ('Calm2', 1.7097774159810242), ('Arhgef17', 2.0769859486204814), ('Gpatch8', 1.150628381380491), ('Tcf4', 1.5776980123965094), ('Zfhx4', 1.3712789653372413), ('Plppr4', 2.776400227122295), ('Atp1a1', 13.24541515671745), ('Pdgfc', 0.965272272928102), ('Nrn1', 9.240218515264344), ('Skil', 1.0011633590685296), ('Dnajb5', 3.9622236563669424), ('Trim37', 1.8437554122902464), ('Basp1', 4.745330779459369), ('Stx1b', 2.039376849858062), ('Thoc2', 1.5986281811198662), ('Pacsin1', 2.3520699407396357), ('Pgm2l1', 13.219810001869403), ('Ube2w', 1.6184768654989257), ('Srsf10', 1.6211530233714428), ('Nucks1', 1.725590578301657), ('Osbpl1a', 3.804052794415037), ('Nr4a3', 7.792569130076218), ('Clstn1', 1.6021454171843654), ('Ier5', 11.760328342361206), ('Dab2ip', 2.668317113311043), ('Scube1', 3.825788680105792), ('Numb', 1.4244311309694435), ('Prkar1a', 2.040762510364144), ('Arhgef3', 1.1808913428649976), ('Hdac9', 1.0543379365322691), ('Ube2ql1', 1.285630799785351), ('Camk2n1', 1.8892049502309496), ('Patj', 1.293736649260671), ('Myo1d', 2.0238518368619767), ('Galnt9', 1.2854813355710792), ('Foxq1', 1.069071224733755), ('Cntnap5c', 2.213359342491162), ('Syndig1l', 1.1846378004523344), ('Sorcs1', 2.295961605035287), ('Frmd6', 1.0391715580445755), ('Nrgn', 7.906563724156594), ('Btg2', 2.468873558702146), ('Alcam', 1.286242555358403), ('Spred2', 1.0647186624733114), ('Dgkz', 4.758636886625766), ('Aldoa', 1.0339477260685757), ('Cacna1i', 3.67311619796872), ('Rnf24', 2.916044865486566), ('Fam117b', 1.0436039054820585), ('Zfp407', 1.4260988988194234), ('Adgrd1', 3.4512572424966605), ('Foxj2', 3.0160329026892017), ('Tnrc6b', 1.4524683923884307), ('Clstn3', 2.4862574185262765), ('Arc', 24.680001481036413), ('Macf1', 2.4826507555098534)]",3057
Egr1,metacluster_3.14,0.08097157134293353,3.482012031852212,4.14026e-08,1.0,gene is annotated for similar motif hocomoco__EGR1_MOUSE.H11MO.0.A ('EGR1_MOUSE'; q-value = 4.14e-08),"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating', 'weight>90.0%'})","[('Atp2b1', 0.9246781496007612), ('Bdnf', 1.0354106556803822), ('Pafah1b1', 1.2492585756349206), ('Nr4a2', 4.760181910998737), ('Tiparp', 1.2897687654257006), ('Foxp1', 3.0831780164708493), ('Pcdh7', 1.3160879479233745), ('Fbxw7', 3.735647178034527), ('Snca', 2.38826643975786), ('Cltc', 1.5888973410004317), ('Sox21', 5.803016021522622), ('Homer1', 24.056917724268235), ('Nr4a3', 7.792569130076218), ('Rabgap1', 1.0812082212388867), ('Adamts3', 1.2437389091465052), ('P4ha1', 4.41824203774649), ('Dnajb5', 3.9622236563669424), ('Nap1l1', 5.931236285395608), ('Adgrl1', 2.550252511629441), ('Ccdc88a', 1.189111700815444), ('Stag1', 2.128588926447687), ('Vipr1', 1.623246536891269), ('Arf3', 2.176701884732924), ('Egr2', 2.3659324306729914), ('Adgrb2', 1.012085747269221), ('Chrm1', 2.120285931036268), ('Gabbr1', 1.862373013066275), ('Vgf', 2.711998620232975), ('Egr3', 21.99706585552977), ('Alcam', 1.286242555358403), ('Osbpl1a', 3.804052794415037), ('Basp1', 4.745330779459369), ('Dmtn', 4.5662722512427045), ('Lmo4', 1.1835945413947675), ('Numb', 1.4244311309694435), ('Hspa8', 3.181849795033352), ('Enc1', 1.1451879719112237), ('Ywhaz', 2.6954310438715487), ('Prmt8', 1.0798846723982305), ('Hivep1', 1.0145376752749178), ('Zbtb7a', 2.6622270328498066), ('Bmpr2', 1.9949180928465844), ('Thoc2', 1.5986281811198662), ('Atp2b2', 3.216464418851666), ('Foxj2', 3.0160329026892017), ('Ppp3ca', 1.7296420340618426), ('Igsf9b', 1.7492056333394526), ('Syndig1', 1.8254587849887312), ('Pcdh9', 2.1749928746012714), ('Ppig', 1.1453244990593183), ('Man2a1', 1.060886901863041), ('Rab6a', 5.414729774986504), ('Lrrc8b', 1.213159573585738), ('Patj', 1.293736649260671), ('Wasl', 2.566133736525541), ('AI593442', 2.002194879131608), ('Asap1', 4.453745511207483), ('Pcdh19', 1.0378975245235245), ('Rab28', 1.138107480549009), ('Nrn1', 9.240218515264344), ('Mei4', 4.331011811184753), ('Frmd4a', 2.393675840554117), ('Ube2w', 1.6184768654989257), ('Olfm2', 2.5691759317853786), ('Prkar1a', 2.040762510364144), ('Aff2', 1.6351948000147192), ('Npas4', 13.73460684508472), ('Lemd1', 2.125538570988149), ('Cdh10', 2.199031730367933), ('Cdh13', 1.189944333711617), ('Tmcc1', 4.612263845164144), ('Pacsin1', 2.3520699407396357), ('Foxq1', 1.069071224733755), ('Syn1', 0.9297267588920778), ('Tnrc6b', 1.4524683923884307), ('Osbpl3', 1.3257643274638398), ('Aldoa', 1.0339477260685757), ('Calm2', 1.7097774159810242), ('Frmd6', 1.0391715580445755), ('Arap2', 7.54015159979907), ('Ndfip2', 4.728369944563992), ('Tcf4', 1.5776980123965094), ('Zfhx4', 1.3712789653372413), ('Baiap2', 2.004194816069146), ('Speg', 1.8146206611927729), ('Zfp365', 2.0212277016603712), ('Macf1', 2.4826507555098534), ('Pdgfc', 0.965272272928102), ('Extl3', 1.1737774504298024), ('Nefm', 3.124882060596569), ('Kdm7a', 2.669959376343069), ('Arc', 24.680001481036413), ('Dusp14', 6.349421711375316), ('Fam110b', 2.0263670678247254), ('Syp', 1.1642112321111409), ('Spred2', 1.0647186624733114), ('Camk2n1', 1.8892049502309496), ('Fam117b', 1.0436039054820585), ('Rtn4', 1.0583925224588382), ('Rnf24', 2.916044865486566), ('Syndig1l', 1.1846378004523344), ('Klf9', 4.203678288041284), ('Plppr4', 2.776400227122295), ('Ube2e2', 0.988267211779638), ('Frrs1l', 11.147120877247712), ('Zcchc7', 2.75331143584263), ('Dab2ip', 2.668317113311043), ('Irs2', 1.2048508981470891), ('Pgm2l1', 13.219810001869403), ('Kcnv1', 3.4303846748009064), ('Ccbe1', 2.340726301707872), ('St6gal2', 1.2569256933609294), ('Clstn3', 2.4862574185262765), ('Fosb', 2.9374721848166003), ('Hs3st2', 1.0394202850466747), ('Trim9', 1.348826861255841), ('Ubtd2', 2.719642721924705), ('Prkacb', 5.423855804776853), ('Necab1', 0.9449944203003598), ('Pcmt1', 1.8861338313676608), ('Map3k5', 1.557625309723519), ('Ovol2', 2.073645135927366), ('Stx1b', 2.039376849858062), ('Cnih3', 2.173544092813698), ('Unc13a', 2.7747534285072213), ('Arhgef17', 2.0769859486204814), ('Skil', 1.0011633590685296), ('Arf1', 3.684793316116435), ('Ankrd33b', 1.2984670048822926), ('Fos', 6.039546682120881), ('Kcnb1', 5.718498500887365), ('Klf10', 7.614795636295183), ('Lingo1', 3.2588808697360774), ('Ntrk2', 1.5102716150091844), ('Kif26b', 0.958019016492413), ('Nr4a1', 13.932384168201075), ('Nucks1', 1.725590578301657), ('Zfp407', 1.4260988988194234), ('Per1', 0.9529634332315372), ('Zfp868', 1.036671545809697), ('Map9', 4.6967500152449775), ('Slc12a5', 1.3550440107421478), ('Gpatch8', 1.150628381380491), ('Trpc6', 0.921710623651142), ('Gm31763', 0.9436514289983576)]",3856
Egr1,metacluster_3.3,0.0767775021112555,3.119758155229413,2.35802e-08,0.913444,motif similar to cisbp__M07929 ('EGR1[gene ID: ENSG00000120738 species: Homo sapiens TF status: direct TF family: C2H2 ZF DBDs: zf-C2H2]; Egr4[gene ID: ENSMUSG00000071341 species: Mus musculus TF status: inferred TF family: C2H2 ZF DBDs: zf-C2H2]'; q-value = 2.36e-08) which is annotated for orthologous gene ENSG00000120738 in H. sapiens (identity = 91%),"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating', 'weight>90.0%'})","[('Nr4a2', 4.760181910998737), ('Klf10', 7.614795636295183), ('Zfhx4', 1.3712789653372413), ('Homer1', 24.056917724268235), ('Pcdh7', 1.3160879479233745), ('Pcdh19', 1.0378975245235245), ('Purb', 2.711714703609779), ('Kif26b', 0.958019016492413), ('Nr4a3', 7.792569130076218), ('Foxp1', 3.0831780164708493), ('Vgf', 2.711998620232975), ('Nrn1', 9.240218515264344), ('Kcnf1', 2.500404115929125), ('Adck1', 1.0695826642322843), ('Neurod6', 3.3609870555241583), ('Pcsk1', 7.715631220042142), ('Adamts3', 1.2437389091465052), ('Lemd1', 2.125538570988149), ('Calm1', 4.609663022451555), ('Pdgfc', 0.965272272928102), ('Alcam', 1.286242555358403), ('Rab28', 1.138107480549009), ('Brsk2', 0.993461797050945)]",355
