"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Scn2a2",1.10430742822233e-12,0.287838525327055,0.871,0.721,3.85038870998279e-08,"6","Scn2a"
"Trpc41",1.64099435692866e-12,0.297431554255792,0.559,0.371,5.72165502430316e-08,"6","Trpc4"
"Rasgrf22",1.73186714025658e-12,0.441227935293807,0.706,0.557,6.03850115793261e-08,"6","Rasgrf2"
"Tlcd41",1.78142680939896e-12,0.288801605220121,0.271,0.145,6.21130085633134e-08,"6","Tlcd4"
"Cdkl52",2.26876806836707e-12,0.315248831517015,0.629,0.451,7.91051362397547e-08,"6","Cdkl5"
"Garnl33",2.36822742158206e-12,0.315368055371189,0.701,0.524,8.25729855083016e-08,"6","Garnl3"
"Pnrc1",2.82439032007392e-12,0.274908488897743,0.276,0.148,9.84780172900174e-08,"6","Pnrc1"
"Cdh42",2.90426951442673e-12,0.394565067753266,0.48,0.317,1.01263165159517e-07,"6","Cdh4"
"Lgi12",3.618001503514e-12,0.282706982675907,0.525,0.349,1.26148858423023e-07,"6","Lgi1"
"Iqsec3",5.61753832008911e-12,0.262214830692337,0.473,0.306,1.95866708606547e-07,"6","Iqsec3"
"Maf3",5.95114212386613e-12,0.299506372466507,0.758,0.569,2.0749847243284e-07,"6","Maf"
"mt-Cytb",6.85597681483942e-12,0.40792330586155,0.839,0.714,2.39047343603006e-07,"6","mt-Cytb"
"Hecw21",7.30540895267164e-12,0.272029284958117,0.837,0.68,2.54717693952802e-07,"6","Hecw2"
"5530401A14Rik1",1.13245476948251e-11,0.256910943151156,0.301,0.171,3.94853004475468e-07,"6","5530401A14Rik"
"mt-Nd1",1.13538037749867e-11,0.445597762870191,0.76,0.623,3.95873076222461e-07,"6","mt-Nd1"
"Sel1l3",1.17798895673156e-11,0.274949937831688,0.462,0.303,4.10729409543593e-07,"6","Sel1l3"
"Olfm1",1.22481879129151e-11,0.309509614200466,0.765,0.609,4.2705756795961e-07,"6","Olfm1"
"mt-Nd4",1.33565504095709e-11,0.481137682843848,0.686,0.54,4.6570284313051e-07,"6","mt-Nd4"
"Frmpd32",1.71616969550956e-11,0.25122426185915,0.507,0.329,5.98376887733319e-07,"6","Frmpd3"
"Chrm33",1.74819670148082e-11,0.279016452489085,0.819,0.633,6.09543743905318e-07,"6","Chrm3"
"Gm319071",1.75401017741832e-11,0.277432523044805,0.271,0.149,6.11570728560444e-07,"6","Gm31907"
