"","Cluster","group","othergroup","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"502","Inh-SST(Calb1+).circadian","Inh-SST(Calb1+)","circadian","GO:0090287","regulation of cellular response to growth factor stimulus","2/13","318/28943",0.00866491109875402,0.0344951207665587,0.0144318972331013,"15516/14828",2
"504","Inh-SST(Calb1+).circadian","Inh-SST(Calb1+)","circadian","GO:0051222","positive regulation of protein transport","2/13","321/28943",0.00882273498810363,0.0346532572506527,0.0144980575895961,"15516/268373",2
"515","Inh-SST(Calb1+).circadian","Inh-SST(Calb1+)","circadian","GO:0048532","anatomical structure arrangement","1/13","22/28943",0.00983858062022047,0.0357371338133948,0.0149515244805434,"14828",1
"516","Inh-SST(Calb1+).circadian","Inh-SST(Calb1+)","circadian","GO:0051602","response to electrical stimulus","1/13","22/28943",0.00983858062022047,0.0357371338133948,0.0149515244805434,"11461",1
"518","Inh-SST(Calb1+).circadian","Inh-SST(Calb1+)","circadian","GO:0043270","positive regulation of ion transport","2/13","343/28943",0.0100196440286719,0.0357371338133948,0.0149515244805434,"12313/12314",2
"528","Inh-SST(Calb1+).circadian","Inh-SST(Calb1+)","circadian","GO:0040019","positive regulation of embryonic development","1/13","24/28943",0.0107285517755813,0.0364770760369764,0.0152610978315523,"14828",1
"529","Inh-SST(Calb1+).circadian","Inh-SST(Calb1+)","circadian","GO:0042026","protein refolding","1/13","24/28943",0.0107285517755813,0.0364770760369764,0.0152610978315523,"14828",1
"536","Inh-SST(Calb1+).circadian","Inh-SST(Calb1+)","circadian","GO:0002831","regulation of response to biotic stimulus","2/13","371/28943",0.0116421488073302,0.0381401645823472,0.0159568925539065,"12313/12314",2
"547","Inh-SST(Calb1+).circadian","Inh-SST(Calb1+)","circadian","GO:0045070","positive regulation of viral genome replication","1/13","31/28943",0.0138376393085747,0.0425600653586599,0.0178060686798845,"268373",1
"555","Inh-SST(Calb1+).circadian","Inh-SST(Calb1+)","circadian","GO:1903846","positive regulation of cellular response to transforming growth factor beta stimulus","1/13","32/28943",0.0142810576362238,0.0425600653586599,0.0178060686798845,"15516",1
"559","Inh-SST(Calb1+).circadian","Inh-SST(Calb1+)","circadian","GO:1903901","negative regulation of viral life cycle","1/13","34/28943",0.0151673422166997,0.0443732942060656,0.0185646783558136,"268373",1
"561","Inh-SST(Calb1+).circadian","Inh-SST(Calb1+)","circadian","GO:0003012","muscle system process","2/13","432/28943",0.0155497207547949,0.0450726928791059,0.0188572892975926,"12313/12314",2
"564","Inh-SST(Calb1+).circadian","Inh-SST(Calb1+)","circadian","GO:0031342","negative regulation of cell killing","1/13","36/28943",0.0160528911641489,0.0456140377431944,0.0190837744720921,"15516",1
"567","Inh-SST(Calb1+).circadian","Inh-SST(Calb1+)","circadian","GO:0045023","G0 to G1 transition","1/13","37/28943",0.0164953899504245,0.0463161481748478,0.019377519945966,"11461",1
"570","Inh-SST(Calb1+).circadian","Inh-SST(Calb1+)","circadian","GO:0070997","neuron death","2/13","450/28943",0.0167975201523894,0.0463161481748478,0.019377519945966,"14433/15516",2
"571","Inh-SST(Calb1+).circadian","Inh-SST(Calb1+)","circadian","GO:0006458","'de novo' protein folding","1/13","38/28943",0.0169377050383179,0.0463161481748478,0.019377519945966,"14828",1
"581","Inh-SST(Calb1+).circadian","Inh-SST(Calb1+)","circadian","GO:0021680","cerebellar Purkinje cell layer development","1/13","40/28943",0.0178217843985644,0.0469033572665147,0.0196231935681176,"14828",1
"582","Inh-SST(Calb1+).circadian","Inh-SST(Calb1+)","circadian","GO:0071604","transforming growth factor beta production","1/13","40/28943",0.0178217843985644,0.0469033572665147,0.0196231935681176,"15516",1
"587","Inh-SST(Calb1+).circadian","Inh-SST(Calb1+)","circadian","GO:0006984","ER-nucleus signaling pathway","1/13","43/28943",0.0191465274479752,0.0493572367408868,0.0206498354702062,"14828",1
"607","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0001759","organ induction","1/2","29/28943",0.00200296941878098,0.0139865446102188,NA,"14164",1
"620","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0110110","positive regulation of animal organ morphogenesis","1/2","42/28943",0.00290020045237338,0.0141895305276119,NA,"14164",1
"632","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0048645","animal organ formation","1/2","75/28943",0.0051759747491269,0.0164259680131669,NA,"14164",1
"640","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0072028","nephron morphogenesis","1/2","90/28943",0.0062095580825281,0.0164259680131669,NA,"14164",1
"644","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0071774","response to fibroblast growth factor","1/2","98/28943",0.00676058286965919,0.0164259680131669,NA,"14164",1
"645","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0051781","positive regulation of cell division","1/2","100/28943",0.00689831519064288,0.0164259680131669,NA,"14164",1
"647","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0009408","response to heat","1/2","102/28943",0.00703603796130725,0.0164259680131669,NA,"14164",1
"657","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0055017","cardiac muscle tissue growth","1/2","113/28943",0.0077933424879989,0.0164259680131669,NA,"14164",1
"660","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0060419","heart growth","1/2","123/28943",0.00848155045273968,0.0170878295886079,NA,"14164",1
"674","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0072006","nephron development","1/2","161/28943",0.0110945632458965,0.018536038593754,NA,"14164",1
"676","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0062013","positive regulation of small molecule metabolic process","1/2","172/28943",0.0118503182332411,0.0193155130740723,NA,"14164",1
"677","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0009266","response to temperature stimulus","1/2","174/28943",0.0119876971924018,0.0193155130740723,NA,"14164",1
"680","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:1904018","positive regulation of vasculature development","1/2","182/28943",0.0125371175258481,0.0195180125118317,NA,"14164",1
"681","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0045834","positive regulation of lipid metabolic process","1/2","188/28943",0.0129490824975778,0.0199328573277321,NA,"14164",1
"684","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0051302","regulation of cell division","1/2","198/28943",0.0136354997774023,0.0203050377120013,NA,"14164",1
"687","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0035265","organ growth","1/2","218/28943",0.0150076180630856,0.0216425649962392,NA,"14164",1
"689","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0061138","morphogenesis of a branching epithelium","1/2","229/28943",0.0157618760378405,0.0218148430548965,NA,"14164",1
"690","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0050920","regulation of chemotaxis","1/2","231/28943",0.015898982812894,0.0218148430548965,NA,"14164",1
"696","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0010632","regulation of epithelial cell migration","1/2","248/28943",0.0170640048066949,0.0223538516313058,NA,"14164",1
"697","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0001763","morphogenesis of a branching structure","1/2","249/28943",0.0171325140239935,0.0223538516313058,NA,"14164",1
"698","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0033002","muscle cell proliferation","1/2","266/28943",0.018296805418349,0.0235144132459037,NA,"14164",1
"701","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0060560","developmental growth involved in morphogenesis","1/2","278/28943",0.0191182427284051,0.0240293509522156,NA,"14164",1
"706","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0090287","regulation of cellular response to growth factor stimulus","1/2","318/28943",0.0218538840121759,0.0262630009620009,NA,"14164",1
"709","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0090132","epithelium migration","1/2","330/28943",0.0226738314723822,0.0264180564026518,NA,"14164",1
"716","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0006066","alcohol metabolic process","1/2","359/28943",0.0246539517516373,0.0272386402417283,NA,"14164",1
"718","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0062012","regulation of small molecule metabolic process","1/2","368/28943",0.0252680635621424,0.0274740056191548,NA,"14164",1
"721","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0003002","regionalization","1/2","389/28943",0.0267002390323215,0.028281628493139,NA,"14164",1
"728","Inh-SST(Calb1+).sleep","Inh-SST(Calb1+)","sleep","GO:0007389","pattern specification process","1/2","493/28943",0.0337773982820355,0.0338453225422616,NA,"14164",1
"743","Inh-Lamp5(Dbp+).circadian","Inh-Lamp5(Dbp+)","circadian","GO:0051284","positive regulation of sequestering of calcium ion","2/7","17/28943",6.80715596447e-06,0.000173096251667951,3.99216665585459e-05,"12313/12314",2
"748","Inh-Lamp5(Dbp+).circadian","Inh-Lamp5(Dbp+)","circadian","GO:0051651","maintenance of location in cell","3/7","232/28943",1.73770346089721e-05,0.000325590753726003,7.50918947091314e-05,"12313/12314/19241",3
"754","Inh-Lamp5(Dbp+).circadian","Inh-Lamp5(Dbp+)","circadian","GO:0002347","response to tumor cell","2/7","48/28943",5.62580438333649e-05,0.000801114544187116,0.000184763259747472,"12313/12314",2
"765","Inh-Lamp5(Dbp+).circadian","Inh-Lamp5(Dbp+)","circadian","GO:0032410","negative regulation of transporter activity","2/7","94/28943",0.000216847010436214,0.00214437599209145,0.000494563357135225,"12313/12314",2
"770","Inh-Lamp5(Dbp+).circadian","Inh-Lamp5(Dbp+)","circadian","GO:0002027","regulation of heart rate","2/7","113/28943",0.000313247456620017,0.002719904745286,0.000627299142910433,"12313/12314",2
"773","Inh-Lamp5(Dbp+).circadian","Inh-Lamp5(Dbp+)","circadian","GO:0051283","negative regulation of sequestering of calcium ion","2/7","121/28943",0.000359051701706668,0.00290505467744486,0.000670000783088999,"12313/12314",2
"774","Inh-Lamp5(Dbp+).circadian","Inh-Lamp5(Dbp+)","circadian","GO:0051282","regulation of sequestering of calcium ion","2/7","123/28943",0.000370983958407266,0.00293489531539971,0.000676883011830802,"12313/12314",2
"775","Inh-Lamp5(Dbp+).circadian","Inh-Lamp5(Dbp+)","circadian","GO:0051208","sequestering of calcium ion","2/7","125/28943",0.000383108422868802,0.00296492605524551,0.000683809084296717,"12313/12314",2
"776","Inh-Lamp5(Dbp+).circadian","Inh-Lamp5(Dbp+)","circadian","GO:0009593","detection of chemical stimulus","2/7","129/28943",0.000407933434705567,0.00307242541472666,0.00070860195845263,"12313/12314",2
"781","Inh-Lamp5(Dbp+).circadian","Inh-Lamp5(Dbp+)","circadian","GO:0032411","positive regulation of transporter activity","2/7","143/28943",0.000500855678345073,0.00342893502867011,0.000790824755281694,"12313/12314",2
"782","Inh-Lamp5(Dbp+).circadian","Inh-Lamp5(Dbp+)","circadian","GO:0034763","negative regulation of transmembrane transport","2/7","149/28943",0.000543545079551843,0.00365098204378219,0.000842036071599678,"12313/12314",2
