"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"57","Lrrk1",1.95321979746214e-07,0.577799742950096,0.111,0.055,0.00681029146781125,0.577799742950096,1.48454072855128e-08,-0.563260609035803,0.055,0.111,0.000517614815823976,-0.563260609035803,"sig","#E7B800"
"58","Lsamp",3.02247700204465e-12,0.16888254653353,0.908,0.938,1.05384705630291e-07,0.16888254653353,0.0599645324557209,0.0721128254945382,0.934,0.908,1,0.0721128254945382,"non-sig","#00AFBB"
"59","Macf1",7.26789040129922e-08,-0.181431728994888,0.888,0.925,0.002534095346221,-0.181431728994888,0.0201883594693676,0.0859653217931928,0.91,0.888,1,0.0859653217931928,"non-sig","#00AFBB"
"60","Magi2",1.61941958299308e-08,0.222094896153403,0.886,0.869,0.000564643026002197,0.222094896153403,0.32597876773448,-0.0381001270973425,0.89,0.886,1,-0.0381001270973425,"non-sig","#00AFBB"
"61","Mat2a",6.17133848069083e-07,0.292417564604914,0.41,0.304,0.0215176058806247,0.292417564604914,8.40315500155039e-06,-0.248213802278886,0.334,0.41,0.292992805439058,-0.248213802278886,"non-sig","#00AFBB"
"62","Mdga2",7.73143272583797e-20,0.475154973273735,0.833,0.829,2.69571864851792e-15,0.475154973273735,0.937637823467046,-0.064429359591581,0.872,0.833,1,-0.064429359591581,"non-sig","#00AFBB"
"63","Mertk",2.96715772702874e-07,0.263629064131968,0.776,0.764,0.0103455888468311,0.263629064131968,0.0202714271339586,0.0863223207107224,0.822,0.776,1,0.0863223207107224,"non-sig","#00AFBB"
"64","Mgat5",9.6732254293458e-07,-0.34570735965,0.367,0.432,0.0337276351045,-0.34570735965,0.0450901019338584,0.0902226227757126,0.401,0.367,1,0.0902226227757126,"non-sig","#00AFBB"
"65","Mir6236",1.55359895664137e-07,-0.385004254117146,0.263,0.339,0.00541693348212147,-0.385004254117146,0.0393969482627269,-0.151853390619926,0.231,0.263,1,-0.151853390619926,"non-sig","#00AFBB"
"66","Msmo1",9.45956006904287e-07,-0.348373740763945,0.284,0.355,0.0329826480927318,-0.348373740763945,0.000346042232879859,0.220673559587424,0.341,0.284,1,0.220673559587424,"non-sig","#00AFBB"
