"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"15","A430010J10Rik",2.7869401007347e-07,-0.194977172098724,0.076,0.125,0.00971722404923169,-0.194977172098724,0.000248436145601981,0.106156087909458,0.111,0.076,1,0.106156087909458,"non-sig","#00AFBB"
"16","A530058N18Rik",6.97909680667403e-08,-0.175959150310222,0.111,0.171,0.00243340168358304,-0.175959150310222,4.293443492634e-06,0.111662634817588,0.164,0.111,0.14969949425767,0.111662634817588,"non-sig","#00AFBB"
"17","A830018L16Rik",2.82272780027463e-11,-0.278805137516999,0.569,0.684,9.84200502121754e-07,-0.278805137516999,9.88878627106495e-08,0.209462726254611,0.669,0.569,0.00344792310913222,0.209462726254611,"sig","#E7B800"
"18","A930009A15Rik",1.14431901290144e-22,0.507611595983804,0.09,0.013,3.98989710228345e-18,0.507611595983804,1.61145876882891e-21,-0.504690366176897,0.015,0.09,5.61867328927577e-17,-0.504690366176897,"sig","#E7B800"
"19","Aak1",3.76442402553743e-08,-0.190421816222582,0.654,0.754,0.00131254172498414,-0.190421816222582,1.14689385165271e-11,0.211777097131616,0.78,0.654,3.99887479255751e-07,0.211777097131616,"sig","#E7B800"
"20","Abca1",2.01931552755711e-10,0.261666698227431,0.121,0.059,7.04074744993337e-06,0.261666698227431,3.77174691305784e-05,-0.187569545174559,0.08,0.121,1,-0.187569545174559,"non-sig","#00AFBB"
"21","Abi3bp",2.16398946243998e-09,0.250127072503084,0.068,0.025,7.54518205868948e-05,0.250127072503084,8.82385912314617e-09,-0.256075927208346,0.027,0.068,0.000307661496046737,-0.256075927208346,"sig","#E7B800"
"22","Ablim1",3.4583642600886e-09,-0.19767015617402,0.562,0.66,0.000120582786656509,-0.19767015617402,4.3459499076815e-07,0.156245866379435,0.66,0.562,0.0151530235431131,0.156245866379435,"sig","#E7B800"
"23","Ablim2",9.66193313949769e-15,-0.318049499810856,0.309,0.417,3.36882622774866e-10,-0.318049499810856,6.55690304810551e-14,0.250736880658904,0.43,0.309,2.28619538578295e-09,0.250736880658904,"sig","#E7B800"
"24","Ablim3",1.01077868041685e-11,0.522762068894502,0.392,0.304,3.52428202500944e-07,0.522762068894502,2.45921480655453e-15,-0.5969918162731,0.294,0.392,8.57454426601368e-11,-0.5969918162731,"sig","#E7B800"
"25","Acsl1",3.53985851235762e-07,-0.228339030973444,0.233,0.298,0.0123424246750373,-0.228339030973444,1.20254406750427e-11,0.225432421072699,0.334,0.233,4.19291040016715e-07,0.225432421072699,"sig","#E7B800"
"26","Acvr1c",1.77616679473842e-09,0.287451632257522,0.066,0.023,6.19296076321443e-05,0.287451632257522,3.15785531862e-07,-0.253118659509852,0.029,0.066,0.0110104941394324,-0.253118659509852,"sig","#E7B800"
"27","Adam23",1.05824649994043e-16,-0.301210731647909,0.415,0.543,3.68978807134228e-12,-0.301210731647909,9.05698575067566e-20,0.30119467182627,0.572,0.415,3.15789922168808e-15,0.30119467182627,"sig","#E7B800"
"28","Adamts17",9.59662207897849e-20,-0.443690923555566,0.292,0.424,3.34605422027743e-15,-0.443690923555566,2.46115717069667e-10,0.250664116285116,0.392,0.292,8.58131670706808e-06,0.250664116285116,"sig","#E7B800"
"29","Adamts19",1.00033774906071e-42,0.998099936213931,0.122,0.002,3.48787762964998e-38,0.998099936213931,7.2507532638379e-40,-0.934749689145676,0.005,0.122,2.52812014050236e-35,-0.934749689145676,"sig","#E7B800"
"30","Adamts3",1.90764471662224e-09,0.328231074007408,0.179,0.109,6.65138483344678e-05,0.328231074007408,4.3856069529293e-05,-0.2715798777589,0.134,0.179,1,-0.2715798777589,"non-sig","#00AFBB"
