,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,Targets of Pbx3,,,
Nalf1,2.65E-19,0.187766249,0.939,0.965,9.24E-15,,Nfe2l2,Nfe2l2,0.022629979,1
Ext1,4.46E-19,-0.126278155,0.838,0.876,1.55E-14,,Cxxc1,Cxxc1,0.007817071,1
Ctnnd2,4.98E-19,0.138224435,0.94,0.969,1.74E-14,,Jarid2,Jarid2,-0.009566873,1
Pde8b,5.39E-19,-0.205428002,0.629,0.664,1.88E-14,,Utp6,Utp6,0.002110792,1
Pcdh7,8.19E-19,-0.146836434,0.806,0.857,2.86E-14,,Kat5,Kat5,-0.005910204,1
Kctd8,1.17E-18,0.296362803,0.169,0.112,4.09E-14,,Zfx,Zfx,-0.009794618,1
Gm13268,1.21E-18,0.089777088,0.09,0.047,4.23E-14,,Crebbp,Crebbp,0.032735001,1
Kansl1l,1.36E-18,0.17341949,0.653,0.564,4.75E-14,,E2f1,E2f1,-0.010679744,1
Syt7,1.42E-18,-0.15251242,0.765,0.795,4.96E-14,,Tbpl1,Tbpl1,-0.011907511,1
Zbtb16,1.50E-18,-0.232813057,0.333,0.393,5.22E-14,,Yy1,Yy1,0.016111796,1
Mast4,1.59E-18,-0.143295652,0.836,0.883,5.56E-14,,Nkx2-1,Nkx2-1,0,1
Snw1,2.23E-18,0.167121449,0.359,0.27,7.78E-14,,Mtf2,Mtf2,-0.003233275,1
Macrod2os1,2.25E-18,0.170117659,0.503,0.411,7.83E-14,,Irf5,Irf5,0.009912733,1
Kctd16,2.48E-18,-0.155043216,0.877,0.912,8.63E-14,,Taf12,Taf12,0.024944526,1
2210408I21Rik,2.60E-18,-0.140033541,0.695,0.734,9.07E-14,,Ep400,Ep400,-0.011169342,1
Caln1,3.22E-18,0.286362015,0.661,0.603,1.12E-13,,Stat5a,Stat5a,0.002225822,1
A530046M15Rik,3.77E-18,0.104458561,0.145,0.089,1.31E-13,,Irf4,Irf4,-0.001736241,1
Rock2,4.31E-18,-0.16228701,0.749,0.776,1.50E-13,,Znf24,#N/A,,
Per3,4.92E-18,0.132297343,0.326,0.24,1.71E-13,,Rest,Rest,0.000775849,1
Olfm1,5.74E-18,-0.116679634,0.804,0.839,2.00E-13,,Smarca5,Smarca5,-0.004034856,1
Miat,8.62E-18,-0.150502674,0.716,0.761,3.01E-13,,Dppa4,#N/A,,
Bbs9,8.64E-18,0.163075925,0.446,0.351,3.01E-13,,Stat6,Stat6,-0.00646702,1
ENSMUSG00000120303,9.81E-18,0.122987144,0.156,0.099,3.42E-13,,Tox,Tox,-0.110330941,0.01115432
Smoc2,1.10E-17,0.141154313,0.245,0.174,3.85E-13,,Tet2,Tet2,-0.018448944,1
Crtac1,1.16E-17,0.186117766,0.199,0.137,4.06E-13,,Batf,Batf,0.000559795,1
R3hdm2,1.28E-17,-0.149273934,0.801,0.819,4.46E-13,,Esr2,Esr2,0.008847521,1
Ahi1,1.61E-17,0.118669089,0.96,0.977,5.62E-13,,Foxo3,Foxo3,-0.078012252,1
Slc16a7,1.70E-17,-0.160565057,0.564,0.608,5.93E-13,,Trim33,Trim33,-0.016876505,1
Nr1d2,1.76E-17,0.147762359,0.409,0.315,6.13E-13,,Isl1,Isl1,0.005323672,1
Gm49678,1.87E-17,-0.230852876,0.452,0.511,6.54E-13,,Egr2,Egr2,-0.007026235,1
Basp1,1.93E-17,-0.134920911,0.818,0.844,6.73E-13,,Kdm1a,Kdm1a,0.004546036,1
Maml2,2.15E-17,0.193421359,0.104,0.059,7.51E-13,,Pcgf1,Pcgf1,0.027813731,1
Vps13a,2.21E-17,0.171693979,0.769,0.715,7.70E-13,,Dppa2,#N/A,,
Sorbs2,2.28E-17,-0.163812652,0.912,0.93,7.97E-13,,Pparg,Pparg,-0.01435833,1
