,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,Targets of Pbx3,,,
Rmst,1.26E-06,0.366537395,0.566,0.496,0.043863394,,Ascl1,Ascl1,0.013038618,1
B3galt1,1.33E-06,-0.197465089,0.85,0.899,0.046484508,,Rad21,Rad21,0.02511242,1
Gm34408,1.75E-06,0.300723581,0.138,0.078,0.061116704,,Smarcad1,Smarcad1,0.041764233,1
Ror1,2.00E-06,0.384321249,0.11,0.057,0.069665255,,Nr5a2,Nr5a2,0,1
Prom1,2.14E-06,0.186957549,0.047,0.014,0.074740183,,Lhx2,Lhx2,-0.110402705,1
Tmsb4x,2.22E-06,-0.277708968,0.416,0.481,0.07723349,,Cdk6,Cdk6,0.011892234,1
Atp2b2,2.25E-06,-0.286659307,0.334,0.403,0.078442697,,Tbx21,Tbx21,-0.005641939,1
Bnc2,2.29E-06,0.475537283,0.062,0.023,0.079872657,,Esr1,Esr1,-0.030342017,1
Gpt2,2.34E-06,0.26695,0.137,0.078,0.081431983,,Morc3,Morc3,-0.039735726,1
Tgfbr3,2.56E-06,0.371494093,0.118,0.063,0.089288697,,Creb1,Creb1,0.024865867,1
Plekhg1,2.70E-06,0.27427406,0.504,0.405,0.094054285,,Hdac3,Hdac3,0.053023507,1
Ate1,2.96E-06,0.253488985,0.337,0.243,0.103137551,,Atf2,Atf2,0.106443801,1
Ivd,3.01E-06,0.267931301,0.358,0.266,0.10487032,,Atf4,Atf4,-0.084932449,1
Kcnt1,3.23E-06,0.25556168,0.101,0.051,0.112553362,,Elf5,Elf5,-0.015467016,1
Svep1,3.31E-06,0.352286644,0.062,0.024,0.115558268,,Klf5,Klf5,-0.042117478,1
Fign,3.45E-06,0.310296932,0.126,0.07,0.120440286,,Nr4a1,Nr4a1,0.01755639,1
Ilk,3.52E-06,0.209825909,0.126,0.07,0.122792388,,E2f4,E2f4,0.051380418,1
Rcan2,3.65E-06,0.277655533,0.415,0.321,0.127408255,,Nr1h3,Nr1h3,-0.016067595,1
Son,3.77E-06,0.169553519,0.881,0.827,0.131503169,,Fli1,Fli1,0.011990394,1
Dclk1,3.97E-06,-0.174223217,0.793,0.86,0.138591017,,Nr1d1,Nr1d1,-0.059116436,1
Unc13c,4.80E-06,0.384003833,0.523,0.456,0.167535832,,Klf1,Klf1,0,1
Cnn3,4.92E-06,0.253040764,0.175,0.108,0.171491046,,Runx1,Runx1,0.041970044,1
Nt5c2,5.00E-06,0.246417129,0.419,0.317,0.174395051,,Hcfc1,Hcfc1,-0.08722522,1
