,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,hit in circadian DEG
Dock3,9.49E-05,0.469255877,0.766,0.414,1,,
Cacna1d,9.71E-05,0.630188739,0.721,0.397,1,,
Top2a,0.000100124,-0.960172145,0.005,0.052,1,,
Plppr4,0.00010122,0.809328384,0.388,0.103,1,,
Frmpd4,0.000101632,-0.006458033,0.693,0.345,1,,
Lin7a,0.000106635,1.083223659,0.27,0.034,1,,
Tiam1,0.000109203,0.591651329,0.435,0.138,1,,
Vps13b,0.00011248,0.60854524,0.42,0.121,1,,
Syt1,0.000119029,0.418163748,0.885,0.69,1,,
Atp1a3,0.000125348,0.502635039,0.555,0.224,1,,
Clk1,0.000126965,0.784400309,0.351,0.086,1,,
Hs6st2,0.000128069,0.984198038,0.337,0.086,1,,
2900079G21Rik,0.000128453,1.021418932,0.207,0,1,,
Lockd,0.000130208,-0.657866767,0.015,0.086,1,,
Sh3bgrl2,0.000131526,1.027496129,0.261,0.034,1,,
Snap91,0.000134285,0.536332728,0.555,0.224,1,,
Cdh18,0.000135217,0.693713194,0.48,0.172,1,,
Gm42583,0.000135735,0.98438536,0.206,0,1,,
Opcml,0.00013794,0.48666666,0.813,0.517,1,,
Ptprr,0.000143416,0.962592707,0.205,0,1,,
Hivep2,0.000144993,0.595835975,0.754,0.414,1,,
Brd4,0.000148394,0.856931182,0.265,0.034,1,,
Rapgef5,0.000148563,0.966353877,0.261,0.034,1,,
Adra1a,0.000150492,0.950128961,0.266,0.034,1,,
Hs3st5,0.000151608,1.524633623,0.277,0.052,1,,
Rnf122,0.000159163,-0.450715744,0.01,0.069,1,,
Gm48678,0.000160388,0.791782489,0.323,0.069,1,,
Cpeb3,0.000165119,0.702188756,0.52,0.207,1,,
Fat3,0.000166922,0.885105426,0.389,0.121,1,,
Gm55122,0.000167818,0.838910281,0.423,0.138,1,,
C1qtnf4,0.000169666,0.582734509,0.45,0.155,1,,
Gm7493,0.000173024,-0.14590992,0,0.017,1,,
Trpa1,0.000173024,-0.066056907,0,0.017,1,,
Mcm3,0.000173024,-0.229481846,0,0.017,1,,
Gm34727,0.000173024,-0.095147607,0,0.017,1,,
Gm15179,0.000173024,-0.160934137,0,0.017,1,,
Gm7967,0.000173024,-0.240838727,0,0.017,1,,
Gm8173,0.000173024,-0.066056907,0,0.017,1,,
Gm17916,0.000173024,-0.103548012,0,0.017,1,,
Sctr,0.000173024,-0.102186187,0,0.017,1,,
Cd55b,0.000173024,-0.142972133,0,0.017,1,,
ENSMUSG00000120043,0.000173024,-0.2731948,0,0.017,1,,
Platr1,0.000173024,-0.194439265,0,0.017,1,,
Gm6185,0.000173024,-0.197610803,0,0.017,1,,
Nuf2,0.000173024,-0.095147607,0,0.017,1,,
Cfap126,0.000173024,-0.147643554,0,0.017,1,,
Exo1,0.000173024,-0.147643554,0,0.017,1,,
Nek2,0.000173024,-0.095147607,0,0.017,1,,
Gm37783,0.000173024,-0.249057384,0,0.017,1,,
Gm19777,0.000173024,-0.170661554,0,0.017,1,,
Gbgt1,0.000173024,-0.381261595,0,0.017,1,,
Gm13522,0.000173024,-0.066056907,0,0.017,1,,
ENSMUSG00000120727,0.000173024,-0.160934137,0,0.017,1,,
Ifih1,0.000173024,-0.14923946,0,0.017,1,,
Gm14461,0.000173024,-0.170661554,0,0.017,1,,
Gm13786,0.000173024,-0.094353302,0,0.017,1,,
Ube2c,0.000173024,-0.095147607,0,0.017,1,,
Ube2v1,0.000173024,-0.155788455,0,0.017,1,,
Gm14392,0.000173024,-0.094353302,0,0.017,1,,
Mecom,0.000173024,-0.155886183,0,0.017,1,,
Gm38509,0.000173024,-0.179282544,0,0.017,1,,
1810062G17Rik,0.000173024,-0.147643554,0,0.017,1,,
Gm42513,0.000173024,-0.235580572,0,0.017,1,,
P2ry1,0.000173024,-0.069998547,0,0.017,1,,
Vmn2r-ps3,0.000173024,-0.095147607,0,0.017,1,,
4933425M03Rik,0.000173024,-0.244396592,0,0.017,1,,
H2ac21,0.000173024,-0.102186187,0,0.017,1,,
Gm15441,0.000173024,-0.095147607,0,0.017,1,,
Cd101,0.000173024,-0.211856738,0,0.017,1,,
Gm28448,0.000173024,-0.102186187,0,0.017,1,,
Musk,0.000173024,-0.066056907,0,0.017,1,,
Catsper4,0.000173024,-0.141025145,0,0.017,1,,
Tmem274,0.000173024,-0.172199265,0,0.017,1,,
Gm42849,0.000173024,-0.211856738,0,0.017,1,,
5033403H07Rik,0.000173024,-0.184406474,0,0.017,1,,
Gm42725,0.000173024,-0.2731948,0,0.017,1,,
A730089K16Rik,0.000173024,-0.152630846,0,0.017,1,,
Gnrhr,0.000173024,-0.254943495,0,0.017,1,,
Gm8013,0.000173024,-0.176606047,0,0.017,1,,
C430019N01Rik,0.000173024,-0.152163562,0,0.017,1,,
Gm43514,0.000173024,-0.281250975,0,0.017,1,,
Gm17660,0.000173024,-0.14923946,0,0.017,1,,
Gm43592,0.000173024,-0.18164219,0,0.017,1,,
ENSMUSG00000120846,0.000173024,-0.152163562,0,0.017,1,,
Ssc4d,0.000173024,-0.101023652,0,0.017,1,,
Gm15406,0.000173024,-0.202196197,0,0.017,1,,
Hyal5,0.000173024,-0.14590992,0,0.017,1,,
4930412F09Rik,0.000173024,-0.103548012,0,0.017,1,,
Gm43168,0.000173024,-0.227588186,0,0.017,1,,
Gm26628,0.000173024,-0.069998547,0,0.017,1,,
Gm44116,0.000173024,-0.303272266,0,0.017,1,,
Gm36355,0.000173024,-0.110546133,0,0.017,1,,
Cd163,0.000173024,-0.102186187,0,0.017,1,,
Gm19345,0.000173024,-0.141025145,0,0.017,1,,
2200002D01Rik,0.000173024,-0.179282544,0,0.017,1,,
4930505M18Rik,0.000173024,-0.086238039,0,0.017,1,,
Ano5,0.000173024,-0.155788455,0,0.017,1,,
Gm45082,0.000173024,-0.265304488,0,0.017,1,,
Isg20,0.000173024,-0.186553127,0,0.017,1,,
Pdzd9,0.000173024,-0.281250975,0,0.017,1,,
Gm17137,0.000173024,-0.134463934,0,0.017,1,,
Gm44735,0.000173024,-0.265304488,0,0.017,1,,
ENSMUSG00000121230,0.000173024,-0.194439265,0,0.017,1,,
Gm10578,0.000173024,-0.142972133,0,0.017,1,,
Gm4974,0.000173024,-0.103548012,0,0.017,1,,
ENSMUSG00000120180,0.000173024,-0.066056907,0,0.017,1,,
Gm9939,0.000173024,-0.110546133,0,0.017,1,,
Cldn23,0.000173024,-0.134463934,0,0.017,1,,
Tlr3,0.000173024,-0.215534955,0,0.017,1,,
ENSMUSG00000121162,0.000173024,-0.152163562,0,0.017,1,,
ENSMUSG00000121023,0.000173024,-0.189977536,0,0.017,1,,
Dynlrb2,0.000173024,-0.179282544,0,0.017,1,,
Gm4342,0.000173024,-0.14590992,0,0.017,1,,
Map3k21,0.000173024,-0.101023652,0,0.017,1,,
Gm3896,0.000173024,-0.194439265,0,0.017,1,,
Gm35940,0.000173024,-0.102186187,0,0.017,1,,
1700042D02Rik,0.000173024,-0.155788455,0,0.017,1,,
Gm8116,0.000173024,-0.276237933,0,0.017,1,,
Gm27227,0.000173024,-0.381261595,0,0.017,1,,
ENSMUSG00000120943,0.000173024,-0.069998547,0,0.017,1,,
Susd5,0.000173024,-0.189977536,0,0.017,1,,
Gm47097,0.000173024,-0.160934137,0,0.017,1,,
Gm26674,0.000173024,-0.147643554,0,0.017,1,,
Popdc3,0.000173024,-0.276237933,0,0.017,1,,
Gm35552,0.000173024,-0.170661554,0,0.017,1,,
Gm47739,0.000173024,-0.21647459,0,0.017,1,,
Gm23058,0.000173024,-0.197218493,0,0.017,1,,
Gm33979,0.000173024,-0.101023652,0,0.017,1,,
Grin3b,0.000173024,-0.155886183,0,0.017,1,,
Gm17151,0.000173024,-0.155788455,0,0.017,1,,
E230014E18Rik,0.000173024,-0.235580572,0,0.017,1,,
Gm48505,0.000173024,-0.086238039,0,0.017,1,,
ENSMUSG00000120240,0.000173024,-0.217232229,0,0.017,1,,
H2bu1-ps,0.000173024,-0.095147607,0,0.017,1,,
Aurkb,0.000173024,-0.095147607,0,0.017,1,,
Bcl6b,0.000173024,-0.247813669,0,0.017,1,,
Gm12326,0.000173024,-0.215534955,0,0.017,1,,
Pimreg,0.000173024,-0.229481846,0,0.017,1,,
Gm11614,0.000173024,-0.155788455,0,0.017,1,,
Grb7,0.000173024,-0.2731948,0,0.017,1,,
Gm5434,0.000173024,-0.102186187,0,0.017,1,,
Gm48415,0.000173024,-0.240838727,0,0.017,1,,
Gm48224,0.000173024,-0.066056907,0,0.017,1,,
Gm54366,0.000173024,-0.102186187,0,0.017,1,,
Gm47408,0.000173024,-0.155788455,0,0.017,1,,
F13a1,0.000173024,-0.170661554,0,0.017,1,,
Gm34466,0.000173024,-0.147643554,0,0.017,1,,
Gm35733,0.000173024,-0.211856738,0,0.017,1,,
A330033J07Rik,0.000173024,-0.206913576,0,0.017,1,,
Fam240b,0.000173024,-0.103548012,0,0.017,1,,
Gm6781,0.000173024,-0.141025145,0,0.017,1,,
Gm17188,0.000173024,-0.069998547,0,0.017,1,,
Gm47906,0.000173024,-0.160934137,0,0.017,1,,
Gm35281,0.000173024,-0.142972133,0,0.017,1,,
Gm49070,0.000173024,-0.194439265,0,0.017,1,,
ENSMUSG00000120284,0.000173024,-0.189977536,0,0.017,1,,
Gm17473,0.000173024,-0.14923946,0,0.017,1,,
Gm34678,0.000173024,-0.102186187,0,0.017,1,,
Dscc1,0.000173024,-0.110546133,0,0.017,1,,
ENSMUSG00000120356,0.000173024,-0.069998547,0,0.017,1,,
Gm41333,0.000173024,-0.066056907,0,0.017,1,,
Gpr20,0.000173024,-0.281250975,0,0.017,1,,
Apol8,0.000173024,-0.142972133,0,0.017,1,,
AU022754,0.000173024,-0.142972133,0,0.017,1,,
4930414F18Rik,0.000173024,-0.204023525,0,0.017,1,,
Cstdc6,0.000173024,-0.217232229,0,0.017,1,,
Tigit,0.000173024,-0.110546133,0,0.017,1,,
Clic6,0.000173024,-0.18164219,0,0.017,1,,
Gm50057,0.000173024,-0.14923946,0,0.017,1,,
Gm4134,0.000173024,-0.152163562,0,0.017,1,,
Olfr90,0.000173024,-0.141025145,0,0.017,1,,
Slc5a7,0.000173024,-0.281250975,0,0.017,1,,
Gm31235,0.000173024,-0.229481846,0,0.017,1,,
Gm49976,0.000173024,-0.110546133,0,0.017,1,,
Gm10143,0.000173024,-0.103548012,0,0.017,1,,
Cd6,0.000173024,-0.2731948,0,0.017,1,,
Gm50377,0.000173024,-0.276237933,0,0.017,1,,
Gm48775,0.000173024,-0.18164219,0,0.017,1,,
Gm47936,0.000173024,-0.21647459,0,0.017,1,,
Abcc2,0.000173024,-0.229481846,0,0.017,1,,
1700039E22Rik,0.000173024,-0.297448737,0,0.017,1,,
Gm14534,0.000173024,-0.176606047,0,0.017,1,,
Gm14741,0.000173024,-0.202196197,0,0.017,1,,
Rpl17-ps8,0.000173024,-0.1645579,0,0.017,1,,
Ercc6l,0.000173024,-0.095147607,0,0.017,1,,
mt-Tc,0.000173024,-0.240838727,0,0.017,1,,
Hmgcll1,0.000178023,0.777601389,0.341,0.086,1,,
Shank2,0.000178213,0.789963812,0.316,0.069,1,,
Npc2,0.00018473,-0.684032751,0.037,0.138,1,,
Chst11,0.000188556,0.946020701,0.199,0,1,,
Pcp4l1,0.000188556,0.934295995,0.199,0,1,,
Btbd1,0.000192164,0.597068778,0.402,0.121,1,,
Slc1a1,0.000196285,0.881636859,0.232,0.017,1,,
Slc8a1,0.000198654,0.839407014,0.774,0.569,1,,
Pnn,0.000207321,0.556299546,0.462,0.155,1,,
Gria3,0.000211374,0.772028419,0.568,0.276,1,,
Mapre3,0.000214007,0.732071216,0.23,0.017,1,,
