,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,hit in circadian DEG
2500004C02Rik,0.646577922,0.019105121,0.004,0,1,,
Bpifb9b,0.646577922,0.012595865,0.004,0,1,,
Myh7b,0.646577922,0.023999546,0.004,0,1,,
Tgif2,0.646577922,0.021003442,0.004,0,1,,
Sla2,0.646577922,0.026398315,0.004,0,1,,
D630003M21Rik,0.646577922,0.015898477,0.004,0,1,,
Gm27206,0.646577922,0.018294135,0.004,0,1,,
Sgk2,0.646577922,0.022332667,0.004,0,1,,
Wfdc3,0.646577922,0.029529052,0.004,0,1,,
Neurl2,0.646577922,0.027982353,0.004,0,1,,
Gm14320,0.646577922,0.014291438,0.004,0,1,,
Gm14322,0.646577922,0.011068969,0.004,0,1,,
Slco4a1,0.646577922,0.020031634,0.004,0,1,,
1110015O18Rik,0.646577922,0.017423931,0.004,0,1,,
2700069I18Rik,0.646577922,0.015970084,0.004,0,1,,
Gm37918,0.646577922,0.025812331,0.004,0,1,,
Fabp12,0.646577922,0.013259019,0.004,0,1,,
Gm33206,0.646577922,0.022966648,0.004,0,1,,
Gm43203,0.646577922,0.020581095,0.004,0,1,,
Ccdc144b,0.646577922,0.022818824,0.004,0,1,,
Gm38000,0.646577922,0.020763414,0.004,0,1,,
Postn,0.646577922,0.026987438,0.004,0,1,,
Mlf1,0.646577922,0.028343761,0.004,0,1,,
Gm42568,0.646577922,0.014674264,0.004,0,1,,
Iqschfp,0.646577922,0.024399632,0.004,0,1,,
Gm37725,0.646577922,0.021578767,0.004,0,1,,
Platr10,0.646577922,0.02058392,0.004,0,1,,
Rxfp1,0.646577922,0.032777861,0.004,0,1,,
Gm6525,0.646577922,0.018681194,0.004,0,1,,
Glt28d2,0.646577922,0.019257359,0.004,0,1,,
Gm37584,0.646577922,0.019726021,0.004,0,1,,
Gm43737,0.646577922,0.017486618,0.004,0,1,,
Dcst2,0.646577922,0.021599452,0.004,0,1,,
Gm15417,0.646577922,0.017676654,0.004,0,1,,
Cks1b,0.646577922,0.019476595,0.004,0,1,,
Gm45354,0.646577922,0.014142325,0.004,0,1,,
Slc27a3,0.646577922,0.021535466,0.004,0,1,,
Gm15264,0.646577922,0.01465684,0.004,0,1,,
Selenbp1,0.646577922,0.011113219,0.004,0,1,,
Gm20628,0.646577922,0.018352629,0.004,0,1,,
Gm42743,0.646577922,0.021750519,0.004,0,1,,
Fcgr1,0.646577922,0.014402807,0.004,0,1,,
Gm16253,0.646577922,0.015470474,0.004,0,1,,
Nudt17,0.646577922,0.024597397,0.004,0,1,,
Gm43075,0.646577922,0.037810671,0.004,0,1,,
Fmo5,0.646577922,0.015465213,0.004,0,1,,
Gm5544,0.646577922,0.015879706,0.004,0,1,,
ENSMUSG00000120205,0.646577922,0.018341465,0.004,0,1,,
Hsd3b9,0.646577922,0.019145942,0.004,0,1,,
Tbx15,0.646577922,0.022275393,0.004,0,1,,
Gm42937,0.646577922,0.014452559,0.004,0,1,,
Gm43149,0.646577922,0.018071393,0.004,0,1,,
Ptpn22,0.646577922,0.02464378,0.004,0,1,,
9530097N15Rik,0.646577922,0.027251889,0.004,0,1,,
Gm42700,0.646577922,0.01516942,0.004,0,1,,
Gm43582,0.646577922,0.019021648,0.004,0,1,,
Kcna3,0.646577922,0.021649641,0.004,0,1,,
Sypl2,0.646577922,0.022530621,0.004,0,1,,
ENSMUSG00000120945,0.646577922,0.014481299,0.004,0,1,,
Scarna2,0.646577922,0.019239548,0.004,0,1,,
C130013H08Rik,0.646577922,0.027984997,0.004,0,1,,
Frrs1,0.646577922,0.016498461,0.004,0,1,,
4633401B06Rik,0.646577922,0.019527723,0.004,0,1,,
Gm42994,0.646577922,0.020019451,0.004,0,1,,
Gm43006,0.646577922,0.019293163,0.004,0,1,,
Gm42969,0.646577922,0.010256102,0.004,0,1,,
Gm43824,0.646577922,0.012523096,0.004,0,1,,
Gm43072,0.646577922,0.014115786,0.004,0,1,,
6330410L21Rik,0.646577922,0.022248811,0.004,0,1,,
ENSMUSG00000120358,0.646577922,0.021756733,0.004,0,1,,
Gbp7,0.646577922,0.012773513,0.004,0,1,,
Gm42967,0.646577922,0.022075211,0.004,0,1,,
Gm43859,0.646577922,0.009530625,0.004,0,1,,
Gm11802,0.646577922,0.017727613,0.004,0,1,,
Gm11842,0.646577922,0.025417267,0.004,0,1,,
Gm30092,0.646577922,0.020268693,0.004,0,1,,
Gm27243,0.646577922,0.023110599,0.004,0,1,,
Cfap206,0.646577922,0.015532594,0.004,0,1,,
Gm12367,0.646577922,0.021106944,0.004,0,1,,
Fam205c,0.646577922,0.020483943,0.004,0,1,,
Gm12472,0.646577922,0.011245917,0.004,0,1,,
Spag8,0.646577922,0.019766777,0.004,0,1,,
Fam221b,0.646577922,0.017097172,0.004,0,1,,
Gm12439,0.646577922,0.016629716,0.004,0,1,,
Tal2,0.646577922,0.011582834,0.004,0,1,,
ENSMUSG00000120306,0.646577922,0.021347759,0.004,0,1,,
Shoc1,0.646577922,0.014386194,0.004,0,1,,
Gm12542,0.646577922,0.015526991,0.004,0,1,,
Slc46a2,0.646577922,0.016560563,0.004,0,1,,
ENSMUSG00000120352,0.646577922,0.038771428,0.004,0,1,,
Plin2,0.646577922,0.024662547,0.004,0,1,,
Acer2,0.646577922,0.01493663,0.004,0,1,,
Gm12604,0.646577922,0.026303297,0.004,0,1,,
Gm49890,0.646577922,0.015901842,0.004,0,1,,
Gm12648,0.646577922,0.016134988,0.004,0,1,,
Mroh7,0.646577922,0.022387091,0.004,0,1,,
Cpt2,0.646577922,0.020004265,0.004,0,1,,
Spata6,0.646577922,0.024036457,0.004,0,1,,
Ccdc17,0.646577922,0.013640798,0.004,0,1,,
Ccdc24,0.646577922,0.038031502,0.004,0,1,,
Gm12959,0.646577922,0.024381715,0.004,0,1,,
Zfp69,0.646577922,0.012469168,0.004,0,1,,
Gm12924,0.646577922,0.016992267,0.004,0,1,,
Rhbdl2,0.646577922,0.015687926,0.004,0,1,,
1700121C08Rik,0.646577922,0.023811801,0.004,0,1,,
ENSMUSG00000120887,0.646577922,0.031841334,0.004,0,1,,
Gm12932,0.646577922,0.019999757,0.004,0,1,,
Sh3d21,0.646577922,0.018079682,0.004,0,1,,
Tmem35b,0.646577922,0.026281012,0.004,0,1,,
1700086P04Rik,0.646577922,0.027394621,0.004,0,1,,
Gm12963,0.646577922,0.018106629,0.004,0,1,,
Gm12992,0.646577922,0.025608359,0.004,0,1,,
Ptafr,0.646577922,0.017704463,0.004,0,1,,
Gm13033,0.646577922,0.016938061,0.004,0,1,,
Sytl1,0.646577922,0.024633893,0.004,0,1,,
1700095J12Rik,0.646577922,0.019805795,0.004,0,1,,
Arhgef19,0.646577922,0.031215721,0.004,0,1,,
Pdpn,0.646577922,0.018374648,0.004,0,1,,
Zfp992,0.646577922,0.021462084,0.004,0,1,,
Agtrap,0.646577922,0.021824058,0.004,0,1,,
ENSMUSG00000120016,0.646577922,0.012939569,0.004,0,1,,
Ttc34,0.646577922,0.027255798,0.004,0,1,,
Gm13171,0.646577922,0.013755714,0.004,0,1,,
Mmp23,0.646577922,0.020219167,0.004,0,1,,
Mxra8,0.646577922,0.015156369,0.004,0,1,,
Tnfrsf4,0.646577922,0.014530003,0.004,0,1,,
Tnfrsf18,0.646577922,0.023696626,0.004,0,1,,
Wdr46-ps,0.646577922,0.018710168,0.004,0,1,,
Gm43577,0.646577922,0.020933232,0.004,0,1,,
Gm42490,0.646577922,0.025837352,0.004,0,1,,
Abcb1a,0.646577922,0.031909254,0.004,0,1,,
Gm42676,0.646577922,0.023095489,0.004,0,1,,
Gm43523,0.646577922,0.01079049,0.004,0,1,,
2310074N15Rik,0.646577922,0.023618406,0.004,0,1,,
Gm16056,0.646577922,0.01757697,0.004,0,1,,
Speer4b,0.646577922,0.018071875,0.004,0,1,,
Gm7420,0.646577922,0.020190189,0.004,0,1,,
C79130,0.646577922,0.030192279,0.004,0,1,,
Garem2,0.646577922,0.017445109,0.004,0,1,,
ENSMUSG00000121100,0.646577922,0.023278652,0.004,0,1,,
Gm43811,0.646577922,0.012714051,0.004,0,1,,
Gm50482,0.646577922,0.016708403,0.004,0,1,,
Gm9903,0.646577922,0.026592216,0.004,0,1,,
4930557J02Rik,0.646577922,0.015760772,0.004,0,1,,
Man2b2,0.646577922,0.023772934,0.004,0,1,,
Gm42462,0.646577922,0.010639544,0.004,0,1,,
Gm42537,0.646577922,0.020339306,0.004,0,1,,
Gm43831,0.646577922,0.017922145,0.004,0,1,,
Gm43648,0.646577922,0.022842018,0.004,0,1,,
Gm43317,0.646577922,0.011061674,0.004,0,1,,
Gm42977,0.646577922,0.020405933,0.004,0,1,,
Gm43343,0.646577922,0.033212346,0.004,0,1,,
Gm42577,0.646577922,0.018047619,0.004,0,1,,
Ccdc158,0.646577922,0.025637511,0.004,0,1,,
Gm2986,0.646577922,0.020659314,0.004,0,1,,
4930467D21Rik,0.646577922,0.025379676,0.004,0,1,,
Gm43251,0.646577922,0.018241479,0.004,0,1,,
Gm29707,0.646577922,0.016695826,0.004,0,1,,
Spp1,0.646577922,0.018022575,0.004,0,1,,
Abcg3,0.646577922,0.016362179,0.004,0,1,,
Gm42902,0.646577922,0.021028405,0.004,0,1,,
Gm43081,0.646577922,0.019971429,0.004,0,1,,
Pde6b,0.646577922,0.0169633,0.004,0,1,,
4930522L14Rik,0.646577922,0.04121338,0.004,0,1,,
ENSMUSG00000120227,0.646577922,0.021941405,0.004,0,1,,
Gm35315,0.646577922,0.014808107,0.004,0,1,,
ENSMUSG00000120465,0.646577922,0.033139888,0.004,0,1,,
Gm26953,0.646577922,0.02006875,0.004,0,1,,
Crybb1,0.646577922,0.02295023,0.004,0,1,,
A930005G22Rik,0.646577922,0.026089868,0.004,0,1,,
1110006O24Rik,0.646577922,0.022949476,0.004,0,1,,
Gm42930,0.646577922,0.020405553,0.004,0,1,,
ENSMUSG00000120376,0.646577922,0.033201014,0.004,0,1,,
Gm43541,0.646577922,0.016943337,0.004,0,1,,
Gm43684,0.646577922,0.030583288,0.004,0,1,,
Gm42651,0.646577922,0.022876307,0.004,0,1,,
Gm40332,0.646577922,0.014999913,0.004,0,1,,
Gm42591,0.646577922,0.013992278,0.004,0,1,,
B230377A18Rik,0.646577922,0.040553086,0.004,0,1,,
Lat2,0.646577922,0.022716176,0.004,0,1,,
Gm42731,0.646577922,0.0215023,0.004,0,1,,
ENSMUSG00000120344,0.646577922,0.01919033,0.004,0,1,,
Alkbh4,0.646577922,0.019109674,0.004,0,1,,
Gm20768,0.646577922,0.018622676,0.004,0,1,,
Gm43378,0.646577922,0.025637917,0.004,0,1,,
Gm43625,0.646577922,0.015023813,0.004,0,1,,
Gm43460,0.646577922,0.01364519,0.004,0,1,,
Flt1,0.646577922,0.022016344,0.004,0,1,,
Gm15997,0.646577922,0.033105063,0.004,0,1,,
Rxfp2,0.646577922,0.01971229,0.004,0,1,,
Gm42529,0.646577922,0.02019063,0.004,0,1,,
Vmn2r-ps25,0.646577922,0.019717097,0.004,0,1,,
Gm44432,0.646577922,0.022118845,0.004,0,1,,
Col28a1,0.646577922,0.025489212,0.004,0,1,,
Irf5,0.646577922,0.013958994,0.004,0,1,,
Gm43029,0.646577922,0.010659325,0.004,0,1,,
4930528J11Rik,0.646577922,0.016762309,0.004,0,1,,
Podxl,0.646577922,0.018446023,0.004,0,1,,
Plxna4os2,0.646577922,0.023392569,0.004,0,1,,
ENSMUSG00000120052,0.646577922,0.019805344,0.004,0,1,,
Gm42962,0.646577922,0.015647845,0.004,0,1,,
Wee2,0.646577922,0.025049107,0.004,0,1,,
Trpv6,0.646577922,0.021922209,0.004,0,1,,
Tcaf2,0.646577922,0.013867974,0.004,0,1,,
ENSMUSG00000121299,0.646577922,0.012312768,0.004,0,1,,
ENSMUSG00000120319,0.646577922,0.016197587,0.004,0,1,,
Gm43869,0.646577922,0.012781631,0.004,0,1,,
Gm43873,0.646577922,0.014176124,0.004,0,1,,
Gm43881,0.646577922,0.030555523,0.004,0,1,,
Gm38804,0.646577922,0.015775534,0.004,0,1,,
Gm7890,0.646577922,0.017046765,0.004,0,1,,
Nod1,0.646577922,0.016891227,0.004,0,1,,
Gm44073,0.646577922,0.020695694,0.004,0,1,,
Gm3279,0.646577922,0.01997087,0.004,0,1,,
Gm3793,0.646577922,0.010718012,0.004,0,1,,
Qrfprl,0.646577922,0.028988956,0.004,0,1,,
Rpl34-ps1,0.646577922,0.019790701,0.004,0,1,,
Atoh8,0.646577922,0.025012366,0.004,0,1,,
Gm15402,0.646577922,0.017475997,0.004,0,1,,
Dysf,0.646577922,0.029371945,0.004,0,1,,
Gm44386,0.646577922,0.013026932,0.004,0,1,,
9930120I10Rik,0.646577922,0.019916912,0.004,0,1,,
Gm26636,0.646577922,0.018262705,0.004,0,1,,
4930471M09Rik,0.646577922,0.019379563,0.004,0,1,,
1810044D09Rik,0.646577922,0.022512486,0.004,0,1,,
Gm44065,0.646577922,0.025999751,0.004,0,1,,
Gm43935,0.646577922,0.013676971,0.004,0,1,,
Il17re,0.646577922,0.018285712,0.004,0,1,,
Gm17733,0.646577922,0.019022165,0.004,0,1,,
Plxnd1,0.646577922,0.023169101,0.004,0,1,,
1700030F04Rik,0.646577922,0.02276025,0.004,0,1,,
ENSMUSG00000121125,0.646577922,0.030475039,0.004,0,1,,
B4galnt3,0.646577922,0.01912859,0.004,0,1,,
ENSMUSG00000121011,0.646577922,0.01978587,0.004,0,1,,
Kcna5,0.646577922,0.023217367,0.004,0,1,,
Rad51ap1,0.646577922,0.022166795,0.004,0,1,,
Gm42741,0.646577922,0.014184574,0.004,0,1,,
Gm44190,0.646577922,0.014210049,0.004,0,1,,
Gm43984,0.646577922,0.018060447,0.004,0,1,,
4930425L21Rik,0.646577922,0.035426053,0.004,0,1,,
Dera,0.646577922,0.012952937,0.004,0,1,,
Casc1,0.646577922,0.014987305,0.004,0,1,,
Sspnos,0.646577922,0.017018662,0.004,0,1,,
4930479D17Rik,0.646577922,0.01997729,0.004,0,1,,
2610017A05Rik,0.646577922,0.011286402,0.004,0,1,,
Oscar,0.646577922,0.015653296,0.004,0,1,,
Pirb,0.646577922,0.028476797,0.004,0,1,,
ENSMUSG00000120885,0.646577922,0.018814122,0.004,0,1,,
Cdc42ep5,0.646577922,0.022940203,0.004,0,1,,
Pla2g4c-ps,0.646577922,0.03997241,0.004,0,1,,
Mrip-ps,0.646577922,0.01802499,0.004,0,1,,
ENSMUSG00000120378,0.646577922,0.017128455,0.004,0,1,,
Nanos2,0.646577922,0.013656658,0.004,0,1,,
Gm10676,0.646577922,0.014941189,0.004,0,1,,
Mypopos,0.646577922,0.018710065,0.004,0,1,,
Gm26852,0.646577922,0.023181546,0.004,0,1,,
A930016O22Rik,0.646577922,0.026288012,0.004,0,1,,
9130221H12Rik,0.646577922,0.017751833,0.004,0,1,,
B3gnt8,0.646577922,0.02755648,0.004,0,1,,
Prx,0.646577922,0.012620285,0.004,0,1,,
Gm52980,0.646577922,0.025041951,0.004,0,1,,
Gm31024,0.646577922,0.023270109,0.004,0,1,,
Zfp36,0.646577922,0.018917996,0.004,0,1,,
Gm44710,0.646577922,0.034812798,0.004,0,1,,
Capn12,0.646577922,0.016147728,0.004,0,1,,
Zfp566,0.646577922,0.040136583,0.004,0,1,,
1700020L13Rik,0.646577922,0.022392693,0.004,0,1,,
U2af1l4,0.646577922,0.015055001,0.004,0,1,,
Gm49396,0.646577922,0.021648539,0.004,0,1,,
Sbsn,0.646577922,0.026887624,0.004,0,1,,
Vsig10l,0.646577922,0.016922098,0.004,0,1,,
Gm28496,0.646577922,0.02296625,0.004,0,1,,
Gm45124,0.646577922,0.041842799,0.004,0,1,,
Gm44646,0.646577922,0.016764629,0.004,0,1,,
Mybpc2,0.646577922,0.034216257,0.004,0,1,,
Napsa,0.646577922,0.015636315,0.004,0,1,,
Il4i1,0.646577922,0.015382281,0.004,0,1,,
D7Bwg0826e,0.646577922,0.031101613,0.004,0,1,,
Fcgrt,0.646577922,0.016146367,0.004,0,1,,
Aldh16a1,0.646577922,0.020493828,0.004,0,1,,
Slc6a16,0.646577922,0.018784528,0.004,0,1,,
Gm45808,0.646577922,0.019178154,0.004,0,1,,
Gm45486,0.646577922,0.013075353,0.004,0,1,,
Gm45629,0.646577922,0.020729752,0.004,0,1,,
Gm45041,0.646577922,0.027375909,0.004,0,1,,
Gm37613,0.646577922,0.015439672,0.004,0,1,,
Gm7336,0.646577922,0.020002311,0.004,0,1,,
Gm17987,0.646577922,0.013947461,0.004,0,1,,
Gm5898,0.646577922,0.020332488,0.004,0,1,,
Gm27252,0.646577922,0.015677441,0.004,0,1,,
Gm20457,0.646577922,0.023925456,0.004,0,1,,
1700112J16Rik,0.646577922,0.020991305,0.004,0,1,,
Gm32983,0.646577922,0.017615082,0.004,0,1,,
Gm44691,0.646577922,0.020187094,0.004,0,1,,
Gm44552,0.646577922,0.02733948,0.004,0,1,,
Gm44951,0.646577922,0.024408817,0.004,0,1,,
Ttll13,0.646577922,0.025329275,0.004,0,1,,
Gm45698,0.646577922,0.013511263,0.004,0,1,,
Gm45088,0.646577922,0.018182122,0.004,0,1,,
Gm44916,0.646577922,0.017160546,0.004,0,1,,
Gm44848,0.646577922,0.025390319,0.004,0,1,,
Gm45120,0.646577922,0.014625664,0.004,0,1,,
9530078K11Rik,0.646577922,0.017890251,0.004,0,1,,
Gm15412,0.646577922,0.020162375,0.004,0,1,,
Kctd14,0.646577922,0.015505403,0.004,0,1,,
B3gnt6,0.646577922,0.025181733,0.004,0,1,,
Lrrc32,0.646577922,0.019729095,0.004,0,1,,
Gm45187,0.646577922,0.021857793,0.004,0,1,,
Serpinh1,0.646577922,0.019582447,0.004,0,1,,
Gm10605,0.646577922,0.027129146,0.004,0,1,,
Gm47324,0.646577922,0.02582966,0.004,0,1,,
Xntrpc,0.646577922,0.023131016,0.004,0,1,,
Trim21,0.646577922,0.017824962,0.004,0,1,,
Olfr78,0.646577922,0.022043424,0.004,0,1,,
Hbb-bt,0.646577922,0.022720209,0.004,0,1,,
Syt9,0.646577922,0.013755983,0.004,0,1,,
Gm17219,0.646577922,0.012996268,0.004,0,1,,
Gm45378,0.646577922,0.014440541,0.004,0,1,,
1700003G18Rik,0.646577922,0.022450766,0.004,0,1,,
Gm44661,0.646577922,0.017404557,0.004,0,1,,
Gm44746,0.646577922,0.015551166,0.004,0,1,,
4930413G21Rik,0.646577922,0.016770675,0.004,0,1,,
Gm45847,0.646577922,0.022010394,0.004,0,1,,
Gm27040,0.646577922,0.021215571,0.004,0,1,,
Mylpf,0.646577922,0.015851636,0.004,0,1,,
Gm45110,0.646577922,0.026841773,0.004,0,1,,
Gm44760,0.646577922,0.019620354,0.004,0,1,,
Tgfb1i1,0.646577922,0.03015035,0.004,0,1,,
Gm15503,0.646577922,0.0267261,0.004,0,1,,
Gm45719,0.646577922,0.027827829,0.004,0,1,,
Gm15483,0.646577922,0.020550382,0.004,0,1,,
Gm45507,0.646577922,0.01655434,0.004,0,1,,
Ifitm3,0.646577922,0.014567904,0.004,0,1,,
Lrrc56,0.646577922,0.011838962,0.004,0,1,,
Kcnq1,0.646577922,0.012519513,0.004,0,1,,
Tnfrsf22,0.646577922,0.019957351,0.004,0,1,,
Tex45,0.646577922,0.016979615,0.004,0,1,,
Gm16553,0.646577922,0.027566953,0.004,0,1,,
Tgfbr3l,0.646577922,0.025707204,0.004,0,1,,
Gm44788,0.646577922,0.018433442,0.004,0,1,,
Gm15350,0.646577922,0.017968673,0.004,0,1,,
Proz,0.646577922,0.020243122,0.004,0,1,,
Gm45493,0.646577922,0.028289889,0.004,0,1,,
Rpl19-ps11,0.646577922,0.022414314,0.004,0,1,,
Gm20946,0.646577922,0.013605435,0.004,0,1,,
ENSMUSG00000120972,0.646577922,0.023188879,0.004,0,1,,
Gm45163,0.646577922,0.026134013,0.004,0,1,,
Proscos,0.646577922,0.022667464,0.004,0,1,,
Gm38572,0.646577922,0.015219145,0.004,0,1,,
Gm3985,0.646577922,0.033896979,0.004,0,1,,
Gm45458,0.646577922,0.019315899,0.004,0,1,,
Gm45634,0.646577922,0.014690104,0.004,0,1,,
Gm16179,0.646577922,0.028171007,0.004,0,1,,
Ddx60,0.646577922,0.013631253,0.004,0,1,,
Sh2d4a,0.646577922,0.022358195,0.004,0,1,,
1700125H03Rik,0.646577922,0.017132856,0.004,0,1,,
Zfp963,0.646577922,0.015931703,0.004,0,1,,
Comp,0.646577922,0.028447945,0.004,0,1,,
Slc5a5,0.646577922,0.019314737,0.004,0,1,,
Gm11033,0.646577922,0.017780299,0.004,0,1,,
Hmox1,0.646577922,0.036848789,0.004,0,1,,
Gm45406,0.646577922,0.020219464,0.004,0,1,,
Gm27006,0.646577922,0.027922959,0.004,0,1,,
Gm38590,0.646577922,0.017652993,0.004,0,1,,
1700067K01Rik,0.646577922,0.019301567,0.004,0,1,,
Mylk3,0.646577922,0.0184936,0.004,0,1,,
Gm17995,0.646577922,0.01342251,0.004,0,1,,
Gm6658,0.646577922,0.035939414,0.004,0,1,,
Gm45293,0.646577922,0.017235684,0.004,0,1,,
Ces5a,0.646577922,0.01697681,0.004,0,1,,
Gm45812,0.646577922,0.013709756,0.004,0,1,,
Gm6013,0.646577922,0.016910035,0.004,0,1,,
Gm20163,0.646577922,0.017058978,0.004,0,1,,
Plekhg4,0.646577922,0.023186329,0.004,0,1,,
Gm10629,0.646577922,0.017407071,0.004,0,1,,
Has3,0.646577922,0.01786415,0.004,0,1,,
4930517G24Rik,0.646577922,0.031883965,0.004,0,1,,
Nudt7,0.646577922,0.017931009,0.004,0,1,,
Pkd1l2,0.646577922,0.01760891,0.004,0,1,,
Gm31718,0.646577922,0.025462264,0.004,0,1,,
Gm5362,0.646577922,0.020081976,0.004,0,1,,
Gm19324,0.646577922,0.017210891,0.004,0,1,,
Gm47564,0.646577922,0.016552051,0.004,0,1,,
Gm48726,0.646577922,0.01218824,0.004,0,1,,
Adamts8,0.646577922,0.017353488,0.004,0,1,,
Barx2,0.646577922,0.019126172,0.004,0,1,,
Gm47496,0.646577922,0.030160088,0.004,0,1,,
Esam,0.646577922,0.021600539,0.004,0,1,,
Olfr889,0.646577922,0.015570172,0.004,0,1,,
Gm35657,0.646577922,0.019939624,0.004,0,1,,
Gm16214,0.646577922,0.011519326,0.004,0,1,,
Oaf,0.646577922,0.020908992,0.004,0,1,,
Gm10686,0.646577922,0.021978015,0.004,0,1,,
Gm47232,0.646577922,0.020218882,0.004,0,1,,
Drd2,0.646577922,0.013386067,0.004,0,1,,
Pou2af2,0.646577922,0.030681408,0.004,0,1,,
4930563M21Rik,0.646577922,0.019017692,0.004,0,1,,
1600029O15Rik,0.646577922,0.016672913,0.004,0,1,,
Plekho2,0.646577922,0.017051556,0.004,0,1,,
M5C1000I18Rik,0.646577922,0.024377015,0.004,0,1,,
Gm46120,0.646577922,0.01874873,0.004,0,1,,
Gm37660,0.646577922,0.021549449,0.004,0,1,,
Gm38057,0.646577922,0.012205199,0.004,0,1,,
Gm18014,0.646577922,0.01438277,0.004,0,1,,
Gm9719,0.646577922,0.02369502,0.004,0,1,,
ENSMUSG00000121476,0.646577922,0.022908757,0.004,0,1,,
Hcrtr2,0.646577922,0.018225227,0.004,0,1,,
Gm10635,0.646577922,0.030341014,0.004,0,1,,
Gm2109,0.646577922,0.014965293,0.004,0,1,,
9430037G07Rik,0.646577922,0.027880237,0.004,0,1,,
Gm37226,0.646577922,0.01827181,0.004,0,1,,
Ankrd34c,0.646577922,0.016281039,0.004,0,1,,
Gm37812,0.646577922,0.02257784,0.004,0,1,,
Gm37457,0.646577922,0.010151274,0.004,0,1,,
Gm37040,0.646577922,0.021694478,0.004,0,1,,
Gm8495,0.646577922,0.021707386,0.004,0,1,,
Gm37113,0.646577922,0.013619795,0.004,0,1,,
Esyt3,0.646577922,0.013911483,0.004,0,1,,
Nme9,0.646577922,0.031457054,0.004,0,1,,
Gm38032,0.646577922,0.018654159,0.004,0,1,,
Gm47102,0.646577922,0.02214395,0.004,0,1,,
Gm37612,0.646577922,0.015525462,0.004,0,1,,
4930524O07Rik,0.646577922,0.036028935,0.004,0,1,,
Slc38a3,0.646577922,0.037844332,0.004,0,1,,
ENSMUSG00000121142,0.646577922,0.021449337,0.004,0,1,,
Inka1,0.646577922,0.017538437,0.004,0,1,,
Gm35025,0.646577922,0.024159657,0.004,0,1,,
Nradd,0.646577922,0.017288365,0.004,0,1,,
Lrrc2,0.646577922,0.011193328,0.004,0,1,,
Acaa1b,0.646577922,0.021761519,0.004,0,1,,
Gm39458,0.646577922,0.022341112,0.004,0,1,,
Gm47108,0.646577922,0.028117658,0.004,0,1,,
Gm47113,0.646577922,0.019581467,0.004,0,1,,
Gm47140,0.646577922,0.027428042,0.004,0,1,,
ENSMUSG00000121452,0.646577922,0.017431035,0.004,0,1,,
Tgm4,0.646577922,0.026924587,0.004,0,1,,
ENSMUSG00000121445,0.646577922,0.025649137,0.004,0,1,,
Gm47181,0.646577922,0.015539778,0.004,0,1,,
Cnksr3,0.646577922,0.011884481,0.004,0,1,,
Gm16254,0.646577922,0.013473519,0.004,0,1,,
Gm46210,0.646577922,0.023898923,0.004,0,1,,
Gm20655,0.646577922,0.017943246,0.004,0,1,,
Hebp2,0.646577922,0.020484095,0.004,0,1,,
4930444F02Rik,0.646577922,0.023828623,0.004,0,1,,
Mtfr2,0.646577922,0.016018136,0.004,0,1,,
Gm26740,0.646577922,0.025579399,0.004,0,1,,
Gm29571,0.646577922,0.018871978,0.004,0,1,,
Gm48335,0.646577922,0.015803344,0.004,0,1,,
Gm47911,0.646577922,0.01913179,0.004,0,1,,
Amd2,0.646577922,0.020993838,0.004,0,1,,
Gpr6,0.646577922,0.014175609,0.004,0,1,,
1700016J18Rik,0.646577922,0.01915324,0.004,0,1,,
Gm29245,0.646577922,0.028096892,0.004,0,1,,
Gm47016,0.646577922,0.014563457,0.004,0,1,,
Gm40645,0.646577922,0.012773513,0.004,0,1,,
Gm47624,0.646577922,0.015771053,0.004,0,1,,
4930466K18Rik,0.646577922,0.026715107,0.004,0,1,,
Gm47594,0.646577922,0.022349371,0.004,0,1,,
1700022H01Rik,0.646577922,0.011169794,0.004,0,1,,
Lrrc75b,0.646577922,0.019734381,0.004,0,1,,
Derl3,0.646577922,0.016930268,0.004,0,1,,
Mmp11,0.646577922,0.016828642,0.004,0,1,,
Gm867,0.646577922,0.027325105,0.004,0,1,,
Col6a2,0.646577922,0.017450808,0.004,0,1,,
Tmprss9,0.646577922,0.021402239,0.004,0,1,,
Gm16099,0.646577922,0.023975355,0.004,0,1,,
Gm8188,0.646577922,0.028868284,0.004,0,1,,
Gm10773,0.646577922,0.016182769,0.004,0,1,,
Gm15990,0.646577922,0.024797754,0.004,0,1,,
Gm15344,0.646577922,0.025874541,0.004,0,1,,
Gm16271,0.646577922,0.01468142,0.004,0,1,,
Galnt4,0.646577922,0.013519738,0.004,0,1,,
Gm20110,0.646577922,0.026011415,0.004,0,1,,
Gm47033,0.646577922,0.023746193,0.004,0,1,,
Gm47340,0.646577922,0.020794988,0.004,0,1,,
Bbs10,0.646577922,0.026011505,0.004,0,1,,
Gm31182,0.646577922,0.017121691,0.004,0,1,,
Gm10752,0.646577922,0.021904865,0.004,0,1,,
Gm48772,0.646577922,0.015273067,0.004,0,1,,
Irak3,0.646577922,0.018753311,0.004,0,1,,
Gm15910,0.646577922,0.028047089,0.004,0,1,,
Gm4129,0.646577922,0.01964787,0.004,0,1,,
Gm26876,0.646577922,0.013603466,0.004,0,1,,
Gm6336,0.646577922,0.016461824,0.004,0,1,,
ENSMUSG00000120252,0.646577922,0.036145594,0.004,0,1,,
Gm47093,0.646577922,0.020289649,0.004,0,1,,
