"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Asph",1.13350129347955e-10,0.279149436246435,0.509,0.358,3.95217895997514e-06,"2","Asph"
"Sox5os41",1.5419580158969e-10,0.291120811244442,0.443,0.297,5.37634501402772e-06,"2","Sox5os4"
"Rarb",1.59739043404716e-10,0.253738243328802,0.324,0.198,5.56962122639223e-06,"2","Rarb"
"1700019D03Rik",2.11365013602627e-10,0.261625083328711,0.279,0.165,7.3696639292828e-06,"2","1700019D03Rik"
"Vwc21",2.43304009352174e-10,0.343342428614912,0.638,0.499,8.48328089408224e-06,"2","Vwc2"
"Epb411",2.46030686972897e-10,0.306124518884161,0.559,0.43,8.578351962684e-06,"2","Epb41"
"Gm15614",3.53962110740851e-10,0.263937710985265,0.482,0.336,1.23415969152012e-05,"2","Gm15614"
"Sycp2",4.87846604485897e-10,0.316120399532355,0.528,0.397,1.70097475586098e-05,"2","Sycp2"
"Bcl2",4.94980878981943e-10,0.283841177121727,0.351,0.226,1.72584983074634e-05,"2","Bcl2"
"Ppp3cc",9.11750007208807e-10,0.291889744842384,0.489,0.355,3.17899875013495e-05,"2","Ppp3cc"
"St8sia4",1.05462016391986e-09,0.268424463542568,0.453,0.318,3.67714412553936e-05,"2","St8sia4"
"Tram1",1.1357896551596e-09,0.289240936970087,0.26,0.156,3.96015779064498e-05,"2","Tram1"
"Pdzrn31",1.6412574521208e-09,0.341910972485642,0.405,0.274,5.72257235830959e-05,"2","Pdzrn3"
"Lancl11",2.63285757185024e-09,0.261136155787003,0.565,0.432,9.17998449577025e-05,"2","Lancl1"
"Arhgef6",2.71410103600077e-09,0.261968888037097,0.337,0.219,9.46325608222388e-05,"2","Arhgef6"
"Sorbs2os",4.83496271257735e-09,0.296890845380701,0.717,0.617,0.000168580644899434,"2","Sorbs2os"
"Plekhh2",7.09955767185989e-09,0.28161512419956,0.509,0.375,0.000247540277344739,"2","Plekhh2"
"Denn2b1",7.16353280247801e-09,0.294131594898463,0.428,0.305,0.000249770898224001,"2","Denn2b"
"Manba1",8.15555870637424e-09,0.289724794283158,0.376,0.257,0.00028435986541515,"2","Manba"
"Prickle11",8.43701450795674e-09,0.255004350625091,0.825,0.742,0.000294173384848928,"2","Prickle1"
"Tmtc2",9.12626444017672e-09,0.416450607812244,0.474,0.363,0.000318205462235642,"2","Tmtc2"
"Vps13d",1.76049504733139e-08,0.292334937882923,0.601,0.493,0.000613831808153034,"2","Vps13d"
"Nos1ap1",2.29325125783813e-08,0.268800723057098,0.759,0.644,0.000799587916070421,"2","Nos1ap"
"Prkca1",3.4696137750242e-08,0.28987290333081,0.73,0.631,0.00120975023493769,"2","Prkca"
"Stmn2",3.48093627262257e-08,0.391295125912161,0.782,0.695,0.00121369805017531,"2","Stmn2"
"Mfn1",3.83900793499655e-08,0.291422162159999,0.53,0.413,0.00133854689669525,"2","Mfn1"
"Gpr22",5.5453684989767e-08,0.281044800910718,0.289,0.187,0.0019335036345382,"2","Gpr22"
"Tbc1d5",3.88538022338114e-07,0.251132886113852,0.678,0.601,0.013547155224863,"2","Tbc1d5"
"Gm156801",4.28445782822445e-07,0.307641523590115,0.366,0.264,0.0149386191096702,"2","Gm15680"
"Kcns3",4.65120958291629e-07,0.254309758176667,0.493,0.386,0.0162173724527542,"2","Kcns3"
"Erbin",5.5800832365514e-07,0.257956769251042,0.503,0.403,0.0194560762208838,"2","Erbin"
"St8sia1",7.3826489425797e-07,0.252215288309419,0.48,0.377,0.0257410820680927,"2","St8sia1"
"Spon1",1.69248065258119e-06,0.361331550840565,0.322,0.224,0.0590117229135483,"2","Spon1"
"Tenm3",1.82284938770571e-06,0.253698028513896,0.553,0.451,0.0635572896011349,"2","Tenm3"
"Nceh1",4.21564431516667e-06,0.252676559743233,0.532,0.442,0.146986870336916,"2","Nceh1"
"A330008L17Rik1",4.24902931966256e-06,0.283873526808035,0.385,0.29,0.148150905288675,"2","A330008L17Rik"
"Evi5",5.14040454092227e-06,0.250563060962594,0.628,0.544,0.179230485128337,"2","Evi5"
"Cdh2",1.88156534932574e-05,0.475934866307061,0.545,0.482,0.656045390349405,"2","Cdh2"
"Gm207541",4.31774925075894e-05,0.308327017391142,0.586,0.465,1,"2","Gm20754"
"Kirrel31",0.00020829821122107,0.264313958000331,0.524,0.665,1,"2","Kirrel3"
"Plcl1",0.00356404596849485,0.421929482241516,0.459,0.411,1,"2","Plcl1"
"Myo1b",0.00467727281481901,0.272916056207435,0.281,0.237,1,"2","Myo1b"
"Robo1",0.00602239315443145,0.269801392321123,0.938,0.947,1,"2","Robo1"
"Plpp4",5.34269933336131e-274,1.6584502877489,0.455,0.02,1.86283897656309e-269,"3","Plpp4"
"Pld5",2.47802790674083e-263,2.15455779753968,0.687,0.089,8.64013990243327e-259,"3","Pld5"
"B130024G19Rik",2.20542610369071e-235,1.09744072100506,0.371,0.013,7.68965919573841e-231,"3","B130024G19Rik"
"Trhde",7.84777409173316e-223,2.4372235595157,0.993,0.448,2.7362833925646e-218,"3","Trhde"
"Mgat4c",1.67559918977323e-218,2.63821922307232,0.993,0.86,5.84231169498232e-214,"3","Mgat4c"
"Nr2f2",7.36195672435263e-200,0.919199979565785,0.333,0.013,2.56689345108003e-195,"3","Nr2f2"
"Reln1",1.3198460340882e-185,1.86321108836377,0.954,0.328,4.60190716705533e-181,"3","Reln"
"Unc13c1",2.88666481589795e-179,1.81739404811686,0.846,0.214,1.00649342135914e-174,"3","Unc13c"
"4930473D10Rik",5.76988463810168e-178,1.65141808161164,0.776,0.195,2.01178567676691e-173,"3","4930473D10Rik"
"Hs6st3",4.50992945680754e-175,2.11051916360836,0.894,0.344,1.57247710370508e-170,"3","Hs6st3"
"Shisa61",4.11266725521811e-158,1.59853371415712,0.87,0.275,1.4339636918769e-153,"3","Shisa6"
"Nckap5",2.96694653082905e-156,1.09424605694414,0.366,0.033,1.03448524690417e-151,"3","Nckap5"
"Grin3a1",7.26127426123226e-146,1.5848516422076,0.969,0.407,2.53178849666385e-141,"3","Grin3a"
"Grm11",1.26189691082269e-135,1.56459940108457,0.947,0.464,4.39985595896547e-131,"3","Grm1"
"Cacna2d31",1.85315967628783e-132,1.51628719530875,0.961,0.434,6.46141184331276e-128,"3","Cacna2d3"
"Gas7",2.6365396788594e-131,1.56151783630576,0.74,0.263,9.19282289827907e-127,"3","Gas7"
"Npas31",3.09411341730055e-131,1.54507265903181,0.973,0.825,1.07882452521018e-126,"3","Npas3"
"Synpr1",5.02704650111627e-127,1.45475073158497,0.949,0.435,1.75278030354421e-122,"3","Synpr"
"Lypd6",5.5619626092787e-127,1.3711698162264,0.706,0.228,1.9392895029772e-122,"3","Lypd6"
"Gm281751",6.92085046399097e-126,1.32540929088525,0.617,0.151,2.41309293127973e-121,"3","Gm28175"
"Ralyl1",4.52931561899202e-116,1.38845894080437,0.976,0.636,1.57923647687395e-111,"3","Ralyl"
"Lypd6b",6.41991388426074e-112,1.27591787166856,0.769,0.312,2.23843137402519e-107,"3","Lypd6b"
"Galnt14",5.16893900727417e-111,1.20509160228837,0.631,0.182,1.80225396366629e-106,"3","Galnt14"
"Gm47033",3.13568369693265e-110,0.770860481550418,0.313,0.036,1.09331883460951e-105,"3","Gm47033"
"Nrxn11",9.05523920141687e-108,0.804850293530384,0.995,0.99,3.15729025235802e-103,"3","Nrxn1"
"Npas1",2.8821736625258e-101,1.00561113901453,0.518,0.123,1.00492749091287e-96,"3","Npas1"
"Fam189a1",1.25077949917781e-98,1.19828664659162,0.925,0.656,4.36109287978328e-94,"3","Fam189a1"
"Kcnd31",1.7112662191929e-98,1.30488329672127,0.757,0.333,5.96667192645987e-94,"3","Kcnd3"
"Lrrc71",2.04273740715917e-98,1.10759012621607,0.961,0.893,7.12241251754189e-94,"3","Lrrc7"
"Edil31",1.06888282144737e-97,1.24502643945187,0.945,0.7,3.72687373354055e-93,"3","Edil3"
"Astn2",1.66624375086776e-96,1.02969835348549,0.978,0.877,5.8096920861506e-92,"3","Astn2"
"Gm122961",4.70653649043281e-95,1.14910072602248,0.612,0.185,1.64102807811921e-90,"3","Gm12296"
"Spon11",6.5282884906136e-95,1.26515295704997,0.624,0.194,2.27621834802224e-90,"3","Spon1"
"Cdh12",1.17656696652479e-94,1.30816266885106,0.901,0.456,4.102336042182e-90,"3","Cdh12"
"Csgalnact1",6.73982220503192e-90,1.15580371066951,0.472,0.12,2.34997380822848e-85,"3","Csgalnact1"
"Il1rapl21",9.83980054162567e-90,1.24061888937493,0.875,0.382,3.43084325484862e-85,"3","Il1rapl2"
"Trpm31",2.62703078470112e-89,0.959197157575126,0.61,0.186,9.15966823701741e-85,"3","Trpm3"
"Ppp1r14c",5.27933276756648e-86,0.957814002715445,0.496,0.138,1.8407449560674e-81,"3","Ppp1r14c"
"Dscam1",8.60211006847259e-86,1.09329357974741,0.894,0.471,2.99929771757434e-81,"3","Dscam"
"Adcy21",1.4569174510551e-85,1.26019776062602,0.8,0.357,5.07983407659381e-81,"3","Adcy2"
"Frmd4b1",1.43495224278073e-84,1.16820601646119,0.814,0.456,5.00324798490358e-80,"3","Frmd4b"
"Rgs61",1.99128417769773e-83,1.62039919164781,0.694,0.295,6.94301054237869e-79,"3","Rgs6"
"Ntm1",3.96735242378091e-81,0.78489699023948,0.995,0.975,1.38329676959969e-76,"3","Ntm"
"Fstl51",2.89540929380933e-80,1.17559218845869,0.834,0.444,1.0095423584725e-75,"3","Fstl5"
"Kcnb2",1.69972050865563e-78,1.23734678727213,0.865,0.575,5.92641549752959e-74,"3","Kcnb2"
"Kcnmb4",2.77114660284509e-78,0.881286631219171,0.477,0.136,9.66215686013997e-74,"3","Kcnmb4"
"Elfn11",8.80091968416713e-78,0.944743837414393,0.634,0.227,3.06861666627855e-73,"3","Elfn1"
"Cntn31",4.78526181812035e-76,1.04783754834445,0.935,0.765,1.66847723812402e-71,"3","Cntn3"
"Sema6d1",1.26240002695513e-75,1.11342428805423,0.814,0.412,4.40161017398445e-71,"3","Sema6d"
"Ptpru1",1.08797759354302e-72,0.837646067908275,0.431,0.114,3.79345147540646e-68,"3","Ptpru"
"Glra3",1.40063309693349e-72,0.920876143253363,0.323,0.065,4.88358741907798e-68,"3","Glra3"
"Nav21",1.04070889170978e-71,0.967012086262601,0.942,0.884,3.62863969272449e-67,"3","Nav2"
"Satb1",3.18760878062599e-71,1.05105695075552,0.841,0.601,1.11142355354086e-66,"3","Satb1"
"Cnr1",1.30831693271355e-70,0.973986898097093,0.573,0.224,4.56170864929234e-66,"3","Cnr1"
"Ildr21",1.07321897021399e-69,1.01099840121433,0.629,0.267,3.74199258344512e-65,"3","Ildr2"
"Vav3",2.69944771930174e-69,0.913596698117532,0.328,0.07,9.41216436288936e-65,"3","Vav3"
"Anks1b1",4.88909648441049e-69,0.598691159512356,0.988,0.984,1.7046812712194e-64,"3","Anks1b"
"Pitpnc11",6.15509984344902e-69,1.0653598074453,0.841,0.571,2.14609866241537e-64,"3","Pitpnc1"
"Grm71",1.05435649633231e-68,0.871187059675989,0.981,0.759,3.67622479576185e-64,"3","Grm7"
"Rtl4",1.19760984529822e-68,1.03367108939654,0.525,0.171,4.17570624760129e-64,"3","Rtl4"
"Rgs9",6.54424836408612e-68,0.774189548469238,0.4,0.106,2.28178307710591e-63,"3","Rgs9"
"Grid21",1.27650133661652e-67,0.916743559953036,0.954,0.629,4.45077721038083e-63,"3","Grid2"
"Slc24a3",3.46763130131245e-67,1.13728113220119,0.846,0.617,1.20905900582861e-62,"3","Slc24a3"
"Asic21",1.70849263932585e-66,0.927042520125275,0.986,0.857,5.95700128553743e-62,"3","Asic2"
"Glp2r",2.14584904080817e-66,1.1125888359162,0.752,0.44,7.48193185058583e-62,"3","Glp2r"
"Ccser1",3.65945658030865e-66,0.691303684044164,0.988,0.976,1.27594272585622e-61,"3","Ccser1"
"Kif26b1",1.05793825716168e-65,1.02364590636887,0.747,0.417,3.68871332124562e-61,"3","Kif26b"
"Sst1",8.95211953045105e-65,0.826795140995994,0.889,0.518,3.12133551668237e-60,"3","Sst"
"Tmtc21",5.02310572228712e-64,0.949335559257499,0.728,0.338,1.75140627218985e-59,"3","Tmtc2"
"Chrm31",1.09308691731578e-63,0.876146346544124,0.935,0.685,3.81126615460494e-59,"3","Chrm3"
"Cadm21",1.79420676813627e-63,0.836402983627847,0.986,0.975,6.25586073846074e-59,"3","Cadm2"
"Lrtm11",2.14378858712489e-62,0.953234955354032,0.573,0.215,7.47474766672837e-58,"3","Lrtm1"
"Lrfn5",3.58106738098838e-62,0.756834624927056,0.973,0.9,1.24861076372922e-57,"3","Lrfn5"
"Nrxn31",9.99186267228819e-61,0.457932053725219,0.998,0.998,3.48386275794672e-56,"3","Nrxn3"
"Trpc5",1.23727175618185e-60,0.894322365009067,0.402,0.113,4.31399543227925e-56,"3","Trpc5"
"Kalrn",1.64761601839248e-58,0.760928627575936,0.947,0.844,5.74474277132905e-54,"3","Kalrn"
"Grik31",7.31363377980961e-58,0.864375389292927,0.771,0.425,2.55004469000622e-53,"3","Grik3"
"Adgrl3",3.46259165181897e-57,0.609600234535555,0.978,0.969,1.20730183123972e-52,"3","Adgrl3"
"Gda1",3.21077213721054e-55,0.870868754991943,0.549,0.23,1.1194999210812e-50,"3","Gda"
"Macrod21",3.68694067464003e-55,0.774459721786235,0.969,0.942,1.28552560502674e-50,"3","Macrod2"
"Gng12",8.26334843840072e-55,0.638736200997846,0.318,0.08,2.88118170001718e-50,"3","Gng12"
"Dpp101",8.66772342541412e-55,1.49131796385532,0.966,0.871,3.02217512673914e-50,"3","Dpp10"
"Trpc61",1.31615215513389e-53,0.840402739079773,0.586,0.241,4.58902771930533e-49,"3","Trpc6"
"Rab3c",1.25985275612711e-50,0.766542664280345,0.901,0.77,4.39272860478839e-46,"3","Rab3c"
"Usp29",4.17468560041156e-49,0.926320991072434,0.841,0.675,1.4555876282955e-44,"3","Usp29"
"Prkcb",1.31485865537209e-47,0.779651297107677,0.887,0.745,4.58451767368588e-43,"3","Prkcb"
"Pcdh7",1.4284023897997e-47,1.13748599262932,0.889,0.762,4.9804106125146e-43,"3","Pcdh7"
"4930567K20Rik1",3.08921397013434e-47,0.838888503888793,0.472,0.188,1.07711623496674e-42,"3","4930567K20Rik"
"Xylt1",2.07295060124411e-46,0.913159516307466,0.651,0.374,7.22775686135785e-42,"3","Xylt1"
"Tmeff21",3.70254075420696e-46,0.817171773972542,0.935,0.786,1.29096488476934e-41,"3","Tmeff2"
"Pdzrn4",3.80665801294122e-45,0.826282366937537,0.561,0.262,1.32726744937221e-40,"3","Pdzrn4"
"Vsnl1",1.84014261048389e-44,0.713202251581579,0.877,0.769,6.41602523997417e-40,"3","Vsnl1"
"Myt1l1",9.62734829702612e-44,0.614119816134925,0.947,0.891,3.3567675307241e-39,"3","Myt1l"
"Epb41l4b",1.87039614594238e-43,0.778740698338888,0.46,0.196,6.52151024205729e-39,"3","Epb41l4b"
"Frmpd41",2.37554567556641e-43,0.649291223346327,0.957,0.826,8.2828151069974e-39,"3","Frmpd4"
"Tmcc31",2.38545230221205e-42,0.765413035291584,0.627,0.314,8.31735654212275e-38,"3","Tmcc3"
"Kif21a",7.40767991437915e-42,0.630178915502867,0.908,0.796,2.58283575574658e-37,"3","Kif21a"
"Cntn41",1.55214425225561e-41,0.726962522213164,0.957,0.847,5.41186136433964e-37,"3","Cntn4"
"Ncam1",3.88674599902947e-41,0.57621027722438,0.92,0.861,1.3551917274816e-36,"3","Ncam1"
"Kctd81",1.53224355570949e-39,0.887248303182234,0.793,0.571,5.34247360569229e-35,"3","Kctd8"
"Rgs171",4.41292350266379e-39,0.757304146518896,0.711,0.453,1.53865403767378e-34,"3","Rgs17"
"Pou3f3",6.46540872987308e-39,0.557079810961354,0.318,0.103,2.25429406184485e-34,"3","Pou3f3"
"Garnl31",6.47200582655707e-39,0.742627214817427,0.822,0.627,2.25659427154565e-34,"3","Garnl3"
"Sox6",7.9612954398895e-39,0.631467716945461,0.966,0.897,2.77586488102627e-34,"3","Sox6"
