,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hit in database
59,Atp1a3,3.81E-12,0.184778483,0.719,0.703,1.33E-07,9.50E-17,-0.088975754,0.642,0.703,3.31E-12,0
60,Atp2b2,3.83E-17,0.149384759,0.905,0.919,1.34E-12,1.27E-19,-0.112282882,0.876,0.919,4.44E-15,1
61,Atp2c1,7.24E-21,-0.13603917,0.646,0.721,2.52E-16,2.65E-23,-0.163616727,0.659,0.721,9.24E-19,0
62,Atp5g1,4.66E-83,0.451739836,0.448,0.296,1.62E-78,2.77E-08,0.205846176,0.347,0.296,0.000964422,0
63,Atp5g3,5.29E-79,0.442388385,0.384,0.237,1.84E-74,3.32E-11,0.207184832,0.294,0.237,1.16E-06,0
64,Atp5h,2.22E-82,0.443958733,0.482,0.33,7.76E-78,1.15E-10,0.24141543,0.386,0.33,4.00E-06,0
65,Atp5j,3.37E-60,0.385824342,0.4,0.276,1.17E-55,1.14E-06,0.207851445,0.316,0.276,0.039860486,0
66,Atp5o.1,2.96E-69,0.405771968,0.352,0.216,1.03E-64,8.04E-07,0.202491442,0.256,0.216,0.028049752,0
67,Atp6v0c,6.01E-255,0.689464831,0.901,0.78,2.10E-250,3.56E-31,0.353531279,0.827,0.78,1.24E-26,0
68,Atp6v1d,2.58E-86,0.497902946,0.516,0.375,9.00E-82,1.63E-09,0.207588957,0.428,0.375,5.69E-05,0
69,Atp6v1f,7.26E-75,0.417555313,0.393,0.251,2.53E-70,1.30E-12,0.238511793,0.31,0.251,4.53E-08,0
70,Atp8a2,2.38E-31,-0.192073924,0.611,0.699,8.30E-27,5.51E-15,-0.1201949,0.65,0.699,1.92E-10,0
71,Atp8b2,5.84E-31,-0.129007913,0.115,0.19,2.04E-26,1.70E-12,-0.092827623,0.141,0.19,5.93E-08,0
72,Atxn7l3b,2.02E-76,0.451596191,0.52,0.385,7.03E-72,3.55E-14,0.246634712,0.456,0.385,1.24E-09,0
