"","Package","Version"
"ModelMetrics","ModelMetrics","1.2.2.2"
"modelr","modelr","0.1.11"
"monocle","monocle","2.26.0"
"msigdbr","msigdbr","7.5.1"
"multcomp","multcomp","1.4-25"
"multcompView","multcompView","0.1-9"
"munsell","munsell","0.5.0"
"mvtnorm","mvtnorm","1.2-3"
"ncbit","ncbit","2013.03.29.1"
"network","network","1.18.1"
"nloptr","nloptr","2.0.3"
"NLP","NLP","0.2-1"
"NMF","NMF","0.26"
"nnls","nnls","1.5"
"numDeriv","numDeriv","2016.8-1.1"
"oompaBase","oompaBase","3.2.9"
"oompaData","oompaData","3.1.3"
"openssl","openssl","2.1.1"
"optimParallel","optimParallel","1.0-2"
"optparse","optparse","1.7.4"
"orca","orca","1.1-1"
"ordinal","ordinal","2022.11-16"
"org.Hs.eg.db","org.Hs.eg.db","3.16.0"
"org.Mm.eg.db","org.Mm.eg.db","3.16.0"
"paletteer","paletteer","1.6.0"
"pan","pan","1.9"
"parallelly","parallelly","1.36.0"
"pastecs","pastecs","1.3.21"
"patchwork","patchwork","1.1.3"
"pathview","pathview","1.38.0"
"pbapply","pbapply","1.7-2"
"pbkrtest","pbkrtest","0.5.2"
"pcaExplorer","pcaExplorer","2.24.0"
"pdist","pdist","1.2.1"
"permute","permute","0.9-7"
"phangorn","phangorn","2.11.1"
"pheatmap","pheatmap","1.0.12"
"phytools","phytools","1.9-16"
"pillar","pillar","1.9.0"
"pixmap","pixmap","0.4-12"
"pkgbuild","pkgbuild","1.4.3"
"pkgconfig","pkgconfig","2.0.3"
"pkgdown","pkgdown","2.0.7"
"pkgload","pkgload","1.3.3"
"plogr","plogr","0.2.0"
"plotly","plotly","4.10.2"
"plotrix","plotrix","3.8-2"
"plyr","plyr","1.8.9"
"png","png","0.1-8"
"Polychrome","Polychrome","1.5.1"
"polyclip","polyclip","1.10-4"
"polylabelr","polylabelr","0.2.0"
"polynom","polynom","1.4-1"
"praise","praise","1.0.0"
"prettyunits","prettyunits","1.2.0"
"princurve","princurve","2.1.6"
"prismatic","prismatic","1.1.2"
"pROC","pROC","1.18.4"
"processx","processx","3.8.2"
"prodlim","prodlim","2023.08.28"
"profvis","profvis","0.3.8"
"progress","progress","1.2.2"
"progressr","progressr","0.14.0"
"promises","promises","1.2.1"
"ProtGenerics","ProtGenerics","1.30.0"
"proxy","proxy","0.4-27"
"proxyC","proxyC","0.3.3"
"ps","ps","1.7.5"
"psych","psych","2.3.9"
"purrr","purrr","1.0.2"
"qap","qap","0.1-2"
"qlcMatrix","qlcMatrix","0.9.8"
"quadprog","quadprog","1.5-8"
"quantreg","quantreg","5.97"
"QuickJSR","QuickJSR","1.1.0"
"qvalue","qvalue","2.30.0"
"qvcalc","qvcalc","1.0.3"
"R.methodsS3","R.methodsS3","1.8.2"
"R.oo","R.oo","1.26.0"
"R.utils","R.utils","2.12.3"
"R6","R6","2.5.1"
"ragg","ragg","1.2.5"
"randomForest","randomForest","4.7-1.1"
"ranger","ranger","0.16.0"
"RANN","RANN","2.6.1"
"rappdirs","rappdirs","0.3.3"
"RBGL","RBGL","1.74.0"
"RcisTarget","RcisTarget","1.18.2"
"rcmdcheck","rcmdcheck","1.4.0"
"RColorBrewer","RColorBrewer","1.1-3"
"Rcpp","Rcpp","1.0.11"
"RcppAnnoy","RcppAnnoy","0.0.21"
"RcppArmadillo","RcppArmadillo","0.12.6.4.0"
"RcppEigen","RcppEigen","0.3.3.9.4"
"RcppHNSW","RcppHNSW","0.5.0"
"RcppML","RcppML","0.3.7"
"RcppNumerical","RcppNumerical","0.6-0"
"RcppParallel","RcppParallel","5.1.7"
"RcppProgress","RcppProgress","0.4.2"
"RcppRoll","RcppRoll","0.3.0"
"RcppTOML","RcppTOML","0.2.2"
"RCurl","RCurl","1.98-1.12"
"readr","readr","2.1.4"
"readxl","readxl","1.4.3"
"recipes","recipes","1.0.8"
"registry","registry","0.5-1"
"reldist","reldist","1.7-2"
"relimp","relimp","1.0-5"
"rematch","rematch","2.0.0"
"rematch2","rematch2","2.1.2"
"remotes","remotes","2.4.2.1"
"reprex","reprex","2.0.2"
"reshape","reshape","0.8.9"
