"","SYMBOL","ENSEMBL","ENTREZID"
"370","Map1lc3a","ENSMUSG00000027602","66734"
"371","Osbp2","ENSMUSG00000020435","74309"
"372","Mt3","ENSMUSG00000031760","17751"
"373","Caly","ENSMUSG00000025468","68566"
"374","Rabac1","ENSMUSG00000003380","14470"
"376","Vdac2","ENSMUSG00000021771","22334"
"377","Col25a1","ENSMUSG00000058897","77018"
"378","Vgf","ENSMUSG00000037428","381677"
"379","Galnt13","ENSMUSG00000060988","271786"
"380","Pgrmc1","ENSMUSG00000006373","53328"
"381","Gng3","ENSMUSG00000071658","14704"
"382","Rpl18","ENSMUSG00000059070","19899"
"383","Rps15","ENSMUSG00000063457","20054"
"384","Fos","ENSMUSG00000021250","14281"
"385","Eef1b2","ENSMUSG00000025967","55949"
"386","Zdhhc14","ENSMUSG00000034265","224454"
"387","Morn1","ENSMUSG00000029049","76866"
"388","Gm16835","ENSMUSG00000087479","102635192"
"389","Vwa3a","ENSMUSG00000030889","233813"
"391","Pdap1","ENSMUSG00000029623","231887"
"392","Rtl8a","ENSMUSG00000067925","66158"
"393","Cntln","ENSMUSG00000038070","338349"
"395","Uqcrh","ENSMUSG00000063882","66576"
"396","Tmem30a","ENSMUSG00000032328","69981"
"397","H3f3b","ENSMUSG00000016559","15081"
"398","Nsg1","ENSMUSG00000029126","18196"
"399","Arnt2","ENSMUSG00000015709","11864"
"400","Rps5","ENSMUSG00000012848","20103"
"401","Slc25a3","ENSMUSG00000061904","18674"
"402","Ubc","ENSMUSG00000008348","22190"
"403","Cct2","ENSMUSG00000034024","12461"
"404","Hras","ENSMUSG00000025499","15461"
"405","Chmp2a","ENSMUSG00000033916","68953"
"406","Selenok","ENSMUSG00000042682","80795"
"407","Sfr1","ENSMUSG00000025066","67788"
"408","Unc5d","ENSMUSG00000063626","210801"
"409","Set","ENSMUSG00000054766","56086"
"410","Rps9","ENSMUSG00000006333","76846"
"411","Rps10","ENSMUSG00000052146","67097"
"412","Bsg","ENSMUSG00000023175","12215"
"413","4930547E14Rik","ENSMUSG00000116894","75145"
"414","Spcs1","ENSMUSG00000021917","69019"
"415","Atp6v1a","ENSMUSG00000052459","11964"
"416","Grm3","ENSMUSG00000003974","108069"
"417","Thra","ENSMUSG00000058756","21833"
"418","Ndufs5","ENSMUSG00000028648","595136"
"419","Hspd1","ENSMUSG00000025980","15510"
"420","Ctxn1","ENSMUSG00000048644","330695"
"421","Dgkb","ENSMUSG00000036095","217480"
"423","Zmat2","ENSMUSG00000001383","66492"
"424","Agbl4","ENSMUSG00000061298","78933"
"425","Kif16b","ENSMUSG00000038844","16558"
"426","Fmn1","ENSMUSG00000044042","14260"
"427","A230051N06Rik","ENSMUSG00000117172","320593"
"428","Adam33","ENSMUSG00000027318","110751"
"429","Atp2a2","ENSMUSG00000029467","11938"
"430","Atp6v0b","ENSMUSG00000033379","114143"
"431","Slco3a1","ENSMUSG00000025790","108116"
"432","Atp5e","ENSMUSG00000016252","67126"
"433","Ier5","ENSMUSG00000056708","15939"
"434","Grb10","ENSMUSG00000020176","14783"
"435","Tnr","ENSMUSG00000015829","21960"
"436","Cpq","ENSMUSG00000039007","54381"
"437","Uqcrq","ENSMUSG00000044894","22272"
"438","Rps15a","ENSMUSG00000008683","267019"
"439","Clta","ENSMUSG00000028478","12757"
"440","Arhgap15","ENSMUSG00000049744","76117"
"441","Gria4","ENSMUSG00000025892","14802"
"442","Nbea","ENSMUSG00000027799","26422"
"443","Atp2b1","ENSMUSG00000019943","67972"
"444","Nptxr","ENSMUSG00000022421","73340"
"445","Kifap3","ENSMUSG00000026585","16579"
"446","Selenow","ENSMUSG00000041571","20364"
"447","Eef2k","ENSMUSG00000035064","13631"
"448","Nt5c2","ENSMUSG00000025041","76952"
"449","Slc22a23","ENSMUSG00000038267","73102"
"450","Cfap20dc","ENSMUSG00000021747","74430"
"451","Fhod3","ENSMUSG00000034295","225288"
"452","Lingo2","ENSMUSG00000045083","242384"
"453","Epha6","ENSMUSG00000055540","13840"
"454","Uqcr10","ENSMUSG00000059534","66152"
"456","Prkar1a","ENSMUSG00000020612","19084"
"457","Cox7c","ENSMUSG00000017778","12867"
"458","Morf4l1","ENSMUSG00000062270","21761"
"460","Nln","ENSMUSG00000021710","75805"
"461","Slc4a4","ENSMUSG00000060961","54403"
"462","Tnik","ENSMUSG00000027692","665113"
"463","Rps25","ENSMUSG00000009927","75617"
"464","Cycs","ENSMUSG00000063694","13063"
"465","Oaz1","ENSMUSG00000035242","18245"
"466","Arf1","ENSMUSG00000048076","11840"
"467","Pfdn2","ENSMUSG00000006412","18637"
"468","Esrrg","ENSMUSG00000026610","26381"
"469","Adcy2","ENSMUSG00000021536","210044"
"470","Lrrtm4","ENSMUSG00000052581","243499"
"471","Sh3bgrl3","ENSMUSG00000028843","73723"
"472","Pamr1","ENSMUSG00000027188","210622"
"473","Ap2m1","ENSMUSG00000022841","11773"
"474","Cnksr2","ENSMUSG00000025658","245684"
"475","Atp5pb","ENSMUSG00000000563","11950"
"476","6030443J06Rik","ENSMUSG00000097207","320719"
"477","Ndn","ENSMUSG00000033585","17984"
"478","1700024B18Rik","ENSMUSG00000099994","69393"
"479","Cys1","ENSMUSG00000062563","12879"
"480","Mpc2","ENSMUSG00000026568","70456"
"481","Rps7","ENSMUSG00000061477","20115"
"482","Wdr17","ENSMUSG00000039375","244484"
"483","Chn1","ENSMUSG00000056486","108699"
"484","Rpl30","ENSMUSG00000058600","19946"
"485","Asap2","ENSMUSG00000052632","211914"
"486","Tnrc6c","ENSMUSG00000025571","217351"
"487","Cpne6","ENSMUSG00000022212","12891"
"488","Rpl29","ENSMUSG00000048758","19944"
"489","Mrpl20","ENSMUSG00000029066","66448"
"490","Pja2","ENSMUSG00000024083","224938"
"491","Irs2","ENSMUSG00000038894","384783"
"492","Gm14133","ENSMUSG00000087029","100503289"
"493","Zbtb18","ENSMUSG00000063659","30928"
"494","Arhgap44","ENSMUSG00000033389","216831"
"495","Tomm20","ENSMUSG00000093904","67952"
"496","Mphosph9","ENSMUSG00000038126","269702"
"497","Arsb","ENSMUSG00000042082","11881"
