"","Cluster","group","othergroup","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"528","Exc-neuron.circadian","Exc-neuron","circadian","GO:1903829","positive regulation of protein localization","78/1745","493/28943",5.09418530193996e-15,5.72946017488777e-13,4.06588535863815e-13,"11554/238276/71770/11789/11820/11840/76709/381290/12215/12289/12298/66259/12461/12462/12464/12465/12466/12468/12469/12488/12520/12540/12569/319675/12631/76499/74256/13383/13385/269109/56455/66573/230500/13726/209630/14677/15387/15444/15461/15516/384783/16452/16500/16568/228357/70456/245049/18148/18189/18245/18479/57320/56330/53328/19016/268373/19122/19242/19353/14694/19384/19878/68585/53881/237611/319613/229521/21454/69981/66169/68667/22249/22318/66914/26950/68151/22433/22627",78
"530","Exc-neuron.circadian","Exc-neuron","circadian","GO:0007611","learning or memory","59/1745","321/28943",1.45730149501079e-14,1.5771851651664e-12,1.11924228027939e-12,"223921/20927/210933/11554/11816/11820/11838/11843/65106/232975/70237/12290/12307/66259/12424/12444/66797/94109/72108/13653/13853/64378/14810/14812/108073/15932/319984/214162/16653/234593/246317/225872/211323/18189/18190/18191/18472/18479/241656/353342/53328/224938/20620/19049/19122/260297/19242/20614/66673/432572/104015/229521/20983/21833/21960/68667/58800/22333/22335",59
"538","Exc-neuron.circadian","Exc-neuron","circadian","GO:0016358","dendrite development","57/1745","315/28943",8.13009965552131e-14,7.64495928263447e-12,5.42521058980171e-12,"210933/238276/11816/11820/11838/11840/11843/216831/108100/70237/227541/232560/12540/12569/53883/12631/66797/239420/12386/19158/210108/13175/13193/13385/13508/13631/14810/74053/329152/15387/331461/66225/228357/17755/17118/17920/17999/18472/18479/20620/327814/19055/109294/19242/19266/19353/19876/19878/15529/330222/235072/217692/29859/52463/665113/22629/108672",57
"554","Exc-neuron.circadian","Exc-neuron","circadian","GO:0001505","regulation of neurotransmitter levels","47/1745","255/28943",6.2050486951666e-12,4.62235835265917e-10,3.28023558499101e-10,"11549/11784/65106/11938/12287/12298/27062/12889/12890/238988/14395/67903/14758/14809/108073/78771/17920/269642/18189/18190/18191/18479/57320/23980/18627/18645/327814/213760/18751/18752/19339/116838/20614/67826/20616/20617/56216/64051/27204/104015/20977/20983/53420/94090/22249/22318/22433",47
"558","Exc-neuron.circadian","Exc-neuron","circadian","GO:0007626","locomotory behavior","47/1745","266/28943",2.87368968629482e-11,2.03499802970211e-09,1.44412709771307e-09,"11496/11784/11816/11820/232975/11941/100568459/12287/12290/12298/12307/12444/57754/12805/66797/72108/13385/13508/13653/14167/14169/64378/14810/15932/16508/26414/17920/78286/211323/18390/170719/18472/241656/57320/18619/19049/109294/19156/75141/233878/94229/20614/20617/20655/20656/21960/22223",47
"561","Exc-neuron.circadian","Exc-neuron","circadian","GO:0097120","receptor localization to synapse","23/1745","75/28943",4.34259120404339e-11,2.96536942218963e-09,2.10436092556839e-09,"11496/216831/81905/65945/12794/12889/13383/13385/74053/15461/50791/26414/246317/504193/18164/73340/18189/18196/20614/67826/56216/665113/22318",23
"565","Exc-neuron.circadian","Exc-neuron","circadian","GO:0043270","positive regulation of ion transport","54/1745","343/28943",9.67793624976849e-11,6.30825481007637e-09,4.47662433945631e-09,"20927/11554/238276/432442/23797/109676/11838/11840/54208/11931/67972/11941/12289/12293/12298/81905/12313/12314/12315/12424/12631/12805/20312/13383/13405/12934/14167/14169/54393/14683/14810/14812/26556/15512/16485/16500/80906/17319/269642/17992/18546/19055/19057/19058/433809/68585/20266/20617/237611/22218/20983/57816/21838/22065",54
"566","Exc-neuron.circadian","Exc-neuron","circadian","GO:0048167","regulation of synaptic plasticity","57/1745","378/28943",1.63664771177617e-10,1.05481025558967e-08,7.4854130117545e-09,"11554/238276/11816/11820/11838/11840/11941/108100/12307/12631/12877/12890/13385/13653/238988/14169/67903/14810/14812/15387/15461/319984/16500/214162/16653/23945/268755/17920/26562/246317/225872/64011/18196/18479/20620/18752/19122/260297/19242/19339/19353/19418/116838/217692/94229/20614/67826/20617/66673/20972/20977/20983/21960/22249/22318/381677/22628",57
"569","Exc-neuron.circadian","Exc-neuron","circadian","GO:0051656","establishment of organelle localization","64/1745","455/28943",2.48229633700664e-10,1.54765780315979e-08,1.0982883221058e-08,"60595/78933/11840/66251/12190/213993/268697/12540/66994/28135/12631/68953/75608/76499/27278/12794/54160/12890/13383/13429/67299/12934/13426/20336/14158/14183/214459/14389/68196/16189/17755/17350/17912/208943/17920/245049/380684/18039/18148/18124/18221/18472/241035/327814/19215/14083/19339/19384/19419/20054/20562/20616/20617/319613/104015/229521/20983/67581/320022/22187/22210/22223/207425/22631",64
"581","Exc-neuron.circadian","Exc-neuron","circadian","GO:0031647","regulation of protein stability","48/1745","312/28943",2.29074139320378e-09,1.26343198379009e-07,8.96588761894638e-08,"109676/11931/12017/70369/12317/12461/12462/12464/12465/12466/12468/12469/12520/12955/13135/14433/67903/15519/15516/15481/15510/16653/66634/17751/18148/57320/18643/18645/19122/56351/67025/65019/100503670/20115/68585/20362/20617/56424/67955/22218/217031/21454/57816/66169/22210/235441/22433/69747",48
