"","SYMBOL","ENSEMBL","ENTREZID"
"185","Kcnt2","ENSMUSG00000052726","240776"
"186","Ppm1h","ENSMUSG00000034613","319468"
"187","Ctxn1","ENSMUSG00000048644","330695"
"188","Ddhd2","ENSMUSG00000061313","72108"
"189","Lgr6","ENSMUSG00000042793","329252"
"190","Lsamp","ENSMUSG00000061080","268890"
"191","Akap7","ENSMUSG00000039166","432442"
"192","Scfd2","ENSMUSG00000062110","212986"
"193","Uri1","ENSMUSG00000030421","19777"
"194","Zkscan16","ENSMUSG00000038630","100041581"
"196","Bc1","ENSMUSG00000115783","100568459"
"197","Egfem1","ENSMUSG00000063600","75740"
"198","Kcnab1","ENSMUSG00000027827","16497"
"199","Xkr6","ENSMUSG00000035067","219149"
"200","Tesc","ENSMUSG00000029359","57816"
"201","Focad","ENSMUSG00000038368","230393"
"202","Erc2","ENSMUSG00000040640","238988"
"203","Npffr2","ENSMUSG00000035528","104443"
"205","Adamts19","ENSMUSG00000053441","240322"
"206","Khdc4","ENSMUSG00000028060","74200"
"207","Chn1","ENSMUSG00000056486","108699"
"208","Cntn6","ENSMUSG00000030092","53870"
"209","Magi2","ENSMUSG00000040003","50791"
"210","Hacd1","ENSMUSG00000063275","30963"
"211","Map1b","ENSMUSG00000052727","17755"
"212","Igfbpl1","ENSMUSG00000035551","75426"
"213","Etv1","ENSMUSG00000004151","14009"
"214","Sh3rf3","ENSMUSG00000037990","237353"
"215","Cd46","ENSMUSG00000016493","17221"
"216","Fchsd2","ENSMUSG00000030691","207278"
"217","Ndufaf7","ENSMUSG00000024082","73694"
"218","Gab2","ENSMUSG00000004508","14389"
"219","Rad51ap2","ENSMUSG00000086022","209550"
"222","Nbea","ENSMUSG00000027799","26422"
"223","Aff2","ENSMUSG00000031189","14266"
"226","Mast4","ENSMUSG00000034751","328329"
"227","Hsph1","ENSMUSG00000029657","15505"
"228","Slc6a1","ENSMUSG00000030310","232333"
"229","Chgb","ENSMUSG00000027350","12653"
"230","Pdia3","ENSMUSG00000027248","14827"
"232","Gm32391","ENSMUSG00000104011","102634922"
"233","Lgr5","ENSMUSG00000020140","14160"
"234","Tenm2","ENSMUSG00000049336","23964"
"235","Gas2","ENSMUSG00000030498","14453"
"237","Alkbh1","ENSMUSG00000079036","211064"
"238","Cntn4","ENSMUSG00000064293","269784"
"240","Arc","ENSMUSG00000022602","11838"
"241","Gk","ENSMUSG00000025059","14933"
"242","Amy1","ENSMUSG00000074264","11722"
"244","Thap3","ENSMUSG00000039759","69876"
"245","Nek1","ENSMUSG00000031644","18004"
"246","Rmdn1","ENSMUSG00000028229","66302"
"247","Nmnat2","ENSMUSG00000042751","226518"
"248","Zc3h15","ENSMUSG00000027091","69082"
"250","Hibch","ENSMUSG00000041426","227095"
"251","Galnt17","ENSMUSG00000034040","212996"
"252","Lekr1","ENSMUSG00000074579","624866"
"253","Rictor","ENSMUSG00000050310","78757"
"254","Nprl3","ENSMUSG00000020289","17168"
"255","Hook1","ENSMUSG00000028572","77963"
"256","Vps13b","ENSMUSG00000037646","666173"
"257","Lrrfip1","ENSMUSG00000026305","16978"
"258","Cntln","ENSMUSG00000038070","338349"
"259","Ccser1","ENSMUSG00000039578","232035"
"260","Anapc1","ENSMUSG00000014355","17222"
"261","Jph1","ENSMUSG00000042686","57339"
"262","Mir99ahg","ENSMUSG00000090386","77994"
"263","Slc17a7","ENSMUSG00000070570","72961"
"264","Fnip2","ENSMUSG00000061175","329679"
"265","Reps2","ENSMUSG00000040855","194590"
