"","X","X.1.x","p_val.x.x","avg_log2FC.x.x","pct.1.x.x","pct.2.x.x","p_val_adj.x.x","p_val.y.x","avg_log2FC.y.x","pct.1.y.x","pct.2.y.x","p_val_adj.y.x","hits.in.circadian.databases.x","X.1.y","p_val.x.y","avg_log2FC.x.y","pct.1.x.y","pct.2.x.y","p_val_adj.x.y","p_val.y.y","avg_log2FC.y.y","pct.1.y.y","pct.2.y.y","p_val_adj.y.y","hits.in.circadian.databases.y","X.1","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","hits.in.circadian.databases"
"25","Nme1",96,8.3e-09,0.473403261,0.238,0.153,0.000289239,1.72e-07,-0.393005044,0.171,0.238,0.005989386,"1",54,8.08e-12,0.692721546,0.265,0.137,2.82e-07,4.93e-11,-0.684165886,0.152,0.265,1.72e-06,"1",67,1.31e-07,0.401926376,0.248,0.153,0.004555942,1.29e-06,-0.446437876,0.163,0.248,0.044960698,"1"
"26","Nrgn",99,4.03e-59,0.882533792,0.806,0.595,1.41e-54,4.35e-46,-0.641008256,0.654,0.806,1.52e-41,"#N/A",55,2.66e-33,0.75006294,0.813,0.614,9.26e-29,6.2e-21,-0.528344321,0.659,0.813,2.16e-16,"#N/A",69,1.2e-36,0.756714804,0.818,0.612,4.2e-32,1.73e-29,-0.693735593,0.653,0.818,6.04e-25,"#N/A"
"27","Olfm1",105,2.32e-31,0.732723099,0.606,0.411,8.1e-27,1.57e-25,-0.563443192,0.454,0.606,5.48e-21,"2",56,6.01e-26,0.773580222,0.637,0.401,2.1e-21,4.44e-26,-0.734895567,0.417,0.637,1.55e-21,"2",70,1.16e-16,0.567044584,0.596,0.429,4.06e-12,1.52e-13,-0.522055404,0.457,0.596,5.3e-09,"2"
"28","Pcp4",106,3.59e-20,0.63603446,0.41,0.248,1.25e-15,4.09e-16,-0.462217721,0.284,0.41,1.43e-11,"#N/A",57,2.64e-08,0.572051881,0.393,0.271,0.00092155,7.11e-09,-0.545286483,0.276,0.393,0.000248051,"#N/A",74,4.01e-12,0.581017728,0.406,0.263,1.4e-07,5.71e-08,-0.423031519,0.289,0.406,0.001991547,"#N/A"
"29","Ppia",112,2.17e-48,0.825083527,0.738,0.521,7.57e-44,1.63e-30,-0.504920333,0.584,0.738,5.68e-26,"2",58,2.98e-21,0.711909649,0.702,0.512,1.04e-16,2.93e-14,-0.529060711,0.56,0.702,1.02e-09,"2",77,1.55e-28,0.695215867,0.721,0.506,5.42e-24,6.68e-16,-0.510449547,0.572,0.721,2.33e-11,"2"
"30","Rtn1",125,7.97e-32,0.634298594,0.786,0.635,2.78e-27,6.99e-34,-0.53833803,0.643,0.786,2.44e-29,"#N/A",66,1.86e-15,0.453134246,0.813,0.667,6.49e-11,4.73e-19,-0.48561771,0.672,0.813,1.65e-14,"#N/A",84,1.68e-21,0.556773945,0.765,0.623,5.86e-17,9.34e-19,-0.501444015,0.607,0.765,3.26e-14,"#N/A"
"31","Snap25",134,1.02e-18,0.555485557,0.583,0.437,3.56e-14,4.9e-21,-0.525450455,0.456,0.583,1.71e-16,"#N/A",67,4.58e-13,0.571163972,0.577,0.439,1.6e-08,4.14e-14,-0.551338061,0.443,0.577,1.44e-09,"#N/A",89,1.5e-07,0.376073642,0.576,0.466,0.005239033,3.28e-10,-0.454478185,0.445,0.576,1.14e-05,"#N/A"
"32","Stmn1",138,2.66e-48,0.873792967,0.636,0.378,9.27e-44,1.31e-35,-0.63728124,0.456,0.636,4.56e-31,"#N/A",70,2.52e-25,0.76612119,0.628,0.393,8.79e-21,9.4e-21,-0.629040725,0.422,0.628,3.28e-16,"#N/A",93,2.18e-22,0.598249015,0.703,0.525,7.61e-18,7.57e-19,-0.552921968,0.567,0.703,2.64e-14,"#N/A"
"33","Stmn2",139,2.14e-22,0.671966357,0.457,0.287,7.45e-18,5.89e-21,-0.533766493,0.304,0.457,2.05e-16,"2",71,3.84e-12,0.64497465,0.423,0.28,1.34e-07,7.1e-10,-0.504578971,0.296,0.423,2.48e-05,"2",94,2.69e-07,0.458035948,0.415,0.315,0.009364647,1.26e-08,-0.528603708,0.308,0.415,0.000440415,"2"
"34","Tmem267",144,2.12e-29,0.897384183,0.122,0.008,7.39e-25,2.45e-38,-0.871645456,0.011,0.122,8.53e-34,"#N/A",78,8.28e-29,1.335535295,0.116,0.001,2.89e-24,4.66e-33,-1.292372756,0.005,0.116,1.62e-28,"#N/A",100,2.22e-43,1.2704256,0.142,0.002,7.75e-39,3.61e-36,-1.225282062,0.007,0.142,1.26e-31,"#N/A"
"35","Tmsb4x",145,7.37e-29,0.680166578,0.654,0.481,2.57e-24,1.71e-19,-0.467099609,0.541,0.654,5.97e-15,"#N/A",79,6.87e-24,0.625620899,0.77,0.598,2.4e-19,1.63e-14,-0.433908024,0.662,0.77,5.67e-10,"#N/A",101,1.85e-28,0.746095595,0.678,0.464,6.45e-24,3.17e-13,-0.481660428,0.556,0.678,1.11e-08,"#N/A"
"36","Ttc9b",148,6.2e-13,0.522444957,0.208,0.104,2.16e-08,5.78e-11,-0.460304652,0.126,0.208,2.02e-06,"#N/A",80,1.33e-08,0.577350347,0.216,0.116,0.000463382,8.7e-08,-0.512339162,0.128,0.216,0.003033011,"#N/A",104,7.36e-10,0.523548307,0.212,0.116,2.57e-05,2.38e-07,-0.444429366,0.128,0.212,0.008306853,"#N/A"
"37","Tuba1a",149,1.85e-13,0.486055761,0.473,0.343,6.44e-09,2.09e-15,-0.463760545,0.349,0.473,7.28e-11,"4",81,1.04e-14,0.628562646,0.505,0.335,3.63e-10,6e-13,-0.526388244,0.357,0.505,2.09e-08,"4",105,6.43e-12,0.459147153,0.558,0.409,2.24e-07,2.35e-07,-0.35747942,0.455,0.558,0.008182887,"4"
"38","Ubb",154,1.22e-24,0.716294595,0.546,0.382,4.25e-20,6.51e-20,-0.552630693,0.426,0.546,2.27e-15,"#N/A",83,2.58e-09,0.498593472,0.526,0.39,8.98e-05,3.66e-07,-0.369858998,0.415,0.526,0.012751238,"#N/A",108,1.2e-19,0.6406356,0.571,0.382,4.2e-15,6.58e-12,-0.508939275,0.438,0.571,2.29e-07,"#N/A"
"39","Uchl1",155,2.99e-22,0.758307368,0.352,0.19,1.04e-17,7.72e-21,-0.602296154,0.213,0.352,2.69e-16,"1",84,7.92e-11,0.668931761,0.329,0.197,2.76e-06,4.5e-07,-0.485027474,0.232,0.329,0.015704042,"1",110,4.15e-09,0.513387519,0.317,0.209,0.00014455,3.35e-09,-0.538081137,0.209,0.317,0.00011685,"1"
"40","Vsnl1",157,9.98e-13,0.566482751,0.327,0.21,3.48e-08,9.75e-10,-0.427286923,0.239,0.327,3.4e-05,"#N/A",85,7.07e-12,0.656123898,0.35,0.206,2.46e-07,4.4e-13,-0.651800572,0.21,0.35,1.53e-08,"#N/A",111,9.75e-13,0.627936583,0.33,0.196,3.4e-08,9.49e-10,-0.55643752,0.215,0.33,3.31e-05,"#N/A"
