"","X","X.1.x","p_val.x.x","avg_log2FC.x.x","pct.1.x.x","pct.2.x.x","p_val_adj.x.x","p_val.y.x","avg_log2FC.y.x","pct.1.y.x","pct.2.y.x","p_val_adj.y.x","hits.in.circadian.databases.x","X.1.y","p_val.x.y","avg_log2FC.x.y","pct.1.x.y","pct.2.x.y","p_val_adj.x.y","p_val.y.y","avg_log2FC.y.y","pct.1.y.y","pct.2.y.y","p_val_adj.y.y","hits.in.circadian.databases.y"
"37","Calm1",277,0,0.863669828,0.984,0.957,0,5.57e-237,-0.571501513,0.959,0.984,1.94e-232,"8",50,3.96e-93,0.724446208,0.967,0.912,1.38e-88,6.2e-55,-0.529628792,0.942,0.967,2.16e-50,"8"
"38","Calm2",278,0,0.743553459,0.968,0.916,0,1.77e-229,-0.52071818,0.924,0.968,6.18e-225,"#N/A",51,2.52e-79,0.684820939,0.934,0.844,8.78e-75,1.14e-49,-0.53144933,0.882,0.934,3.97e-45,"#N/A"
"39","Camk2n1",283,1.64e-129,0.57939216,0.754,0.655,5.72e-125,6.48e-58,-0.34303624,0.692,0.754,2.26e-53,"2",52,6.56e-17,0.457421053,0.567,0.465,2.29e-12,5.15e-15,-0.397183344,0.472,0.567,1.8e-10,"2"
"40","Cck",314,1.56e-144,0.603918115,0.775,0.643,5.44e-140,2.97e-56,-0.315718113,0.693,0.775,1.03e-51,"1",53,3.71e-38,0.592822883,0.667,0.479,1.29e-33,4.9e-15,-0.323307613,0.589,0.667,1.71e-10,"1"
"41","Ccser1",320,4.88e-08,-0.070372886,0.919,0.955,0.001701369,3e-37,0.217778458,0.91,0.919,1.04e-32,"#N/A",54,1.03e-06,-0.143657417,0.904,0.945,0.036076272,1.13e-08,0.151200291,0.942,0.904,0.000394402,"#N/A"
"42","Cd46",330,6.33e-07,-0.056572621,0.3,0.345,0.022078179,2.35e-16,0.141086123,0.378,0.3,8.21e-12,"#N/A",55,7.41e-08,-0.179551202,0.144,0.218,0.002584001,2.91e-09,0.176286044,0.227,0.144,0.000101329,"#N/A"
"43","Cep164",352,2.96e-42,-0.1784324,0.168,0.272,1.03e-37,7.57e-28,0.143779738,0.255,0.168,2.64e-23,"#N/A",56,6.48e-11,-0.206308399,0.178,0.276,2.26e-06,1.82e-07,0.136333803,0.258,0.178,0.006355774,"#N/A"
"44","Cfl1",365,1.72e-65,0.406063322,0.451,0.322,5.99e-61,1.19e-37,-0.264133226,0.353,0.451,4.17e-33,"1",57,1.55e-15,0.457328224,0.409,0.297,5.4e-11,1.27e-06,-0.33569292,0.358,0.409,0.044274404,"1"
"45","Chgb",372,1.38e-59,0.431889305,0.654,0.554,4.81e-55,1.99e-55,-0.349631904,0.549,0.654,6.95e-51,"#N/A",58,2.32e-07,0.276879043,0.547,0.487,0.008073381,4.63e-07,-0.249442944,0.484,0.547,0.016127705,"#N/A"
"46","Chn1",375,1.39e-32,0.230460446,0.862,0.852,4.85e-28,2.06e-19,-0.154601392,0.845,0.862,7.17e-15,"#N/A",59,3.34e-08,0.265986967,0.605,0.555,0.001165759,1.81e-07,-0.274390181,0.578,0.605,0.006327082,"#N/A"
"47","Ckb",381,7.57e-140,0.561005493,0.826,0.728,2.64e-135,3.93e-74,-0.332486414,0.763,0.826,1.37e-69,"2",60,2.63e-30,0.526897758,0.79,0.716,9.17e-26,2.32e-09,-0.262813578,0.783,0.79,8.08e-05,"2"
"48","Cntln",395,1.03e-37,-0.238448435,0.359,0.466,3.6e-33,7.32e-31,0.22079883,0.462,0.359,2.55e-26,"#N/A",61,9.5e-07,-0.155264164,0.186,0.259,0.03312508,2.35e-09,0.164972567,0.279,0.186,8.18e-05,"#N/A"
"49","Cntn4",397,6.56e-09,-0.093455002,0.869,0.897,0.000228662,5.44e-18,0.208998027,0.866,0.869,1.9e-13,"#N/A",62,3.96e-07,-0.267704398,0.649,0.742,0.01381061,7.09e-13,0.39175469,0.763,0.649,2.47e-08,"#N/A"
"50","Cntn5",398,3.54e-08,-0.178927825,0.797,0.833,0.001235527,5.81e-41,0.402936585,0.827,0.797,2.03e-36,"#N/A",63,5.22e-09,-0.281299071,0.686,0.775,0.000182067,2.15e-20,0.462288541,0.826,0.686,7.51e-16,"#N/A"
"51","Cntn6",399,3.48e-11,-0.138915183,0.346,0.405,1.21e-06,1.08e-27,0.25228468,0.447,0.346,3.78e-23,"#N/A",64,3.74e-08,-0.190767406,0.476,0.58,0.00130415,2.57e-18,0.344954641,0.633,0.476,8.95e-14,"#N/A"
"52","Col19a1",404,2.27e-25,-0.233331579,0.282,0.365,7.91e-21,3.53e-14,0.196999686,0.346,0.282,1.23e-09,"#N/A",65,3.44e-13,-0.34382218,0.437,0.558,1.2e-08,2.38e-09,0.243311907,0.546,0.437,8.29e-05,"#N/A"
"53","Copg2",408,6.38e-20,-0.144350409,0.389,0.466,2.22e-15,2.31e-16,0.15361642,0.469,0.389,8.07e-12,"#N/A",66,6.99e-09,-0.170532989,0.292,0.399,0.000243813,1.32e-08,0.168288221,0.399,0.292,0.000460789,"#N/A"
"54","Cox4i1",411,1.15e-138,0.568897268,0.722,0.562,4.01e-134,1.5e-60,-0.278954638,0.62,0.722,5.24e-56,"1",67,1.33e-39,0.619806885,0.725,0.583,4.65e-35,6.41e-18,-0.408240691,0.668,0.725,2.24e-13,"1"
