X.1,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hits in circadian databases
66,A930015D03Rik,3.27E-42,0.27181765,0.65,0.586,1.14E-37,5.13E-23,-0.187942823,0.604,0.65,1.79E-18,#N/A
67,A930016O22Rik,1.49E-07,-0.046011347,0.049,0.071,0.005186821,5.70E-09,0.054707531,0.075,0.049,0.000198819,#N/A
68,A930017M01Rik,2.35E-31,-0.184721709,0.298,0.401,8.20E-27,2.32E-29,0.208668219,0.403,0.298,8.10E-25,#N/A
69,A930037H05Rik,5.47E-13,-0.052958114,0.034,0.062,1.91E-08,3.87E-12,0.047831463,0.062,0.034,1.35E-07,#N/A
70,Aaas,5.77E-09,-0.043561807,0.035,0.057,0.000201337,3.54E-08,0.041116061,0.056,0.035,0.001235529,#N/A
71,Aamp,1.08E-20,0.168512249,0.167,0.111,3.77E-16,3.22E-11,-0.129430964,0.126,0.167,1.12E-06,1
72,Abca8b,7.79E-18,-0.130518555,0.231,0.298,2.72E-13,9.37E-14,0.113620213,0.295,0.231,3.27E-09,2
73,Abcc4,3.58E-15,-0.099280402,0.094,0.14,1.25E-10,4.06E-11,0.071283059,0.135,0.094,1.41E-06,1
74,Abcc8,4.02E-28,-0.141076178,0.126,0.199,1.40E-23,8.86E-09,0.063618776,0.166,0.126,0.000308981,#N/A
75,Abcf1,3.28E-12,0.15103522,0.295,0.244,1.14E-07,1.25E-17,-0.147096674,0.234,0.295,4.35E-13,#N/A
76,Abhd14b,1.94E-16,-0.10062933,0.083,0.128,6.78E-12,5.75E-13,0.091554632,0.124,0.083,2.00E-08,#N/A
77,Abhd18,4.08E-13,-0.098492187,0.408,0.475,1.42E-08,6.14E-14,0.135018457,0.482,0.408,2.14E-09,#N/A
78,Abhd2,4.48E-43,-0.223488776,0.263,0.378,1.56E-38,2.05E-18,0.154286826,0.343,0.263,7.16E-14,1
79,Ablim3,1.28E-28,-0.164160427,0.171,0.254,4.46E-24,3.27E-22,0.136936079,0.25,0.171,1.14E-17,1
81,Acad10,2.44E-11,-0.076378977,0.105,0.145,8.51E-07,1.86E-07,0.050544215,0.139,0.105,0.006495491,#N/A
82,Acadsb,2.23E-15,-0.111708161,0.242,0.308,7.78E-11,3.18E-09,0.08695771,0.298,0.242,0.000111027,#N/A
83,Ackr1,1.22E-13,0.10103885,0.108,0.071,4.25E-09,2.62E-08,-0.078193411,0.079,0.108,0.000912776,#N/A
