"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"15","Atp5h",2.58257187099748e-15,0.596259433218197,0.349,0.215,9.00465334260692e-11,4.7823811444178e-10,-0.413817555362504,0.258,0.349,1.66747283362416e-05
"16","Atp5k",1.30962953148757e-14,0.578349827290621,0.207,0.099,4.56628528743771e-10,2.69851539686183e-09,-0.371220115649818,0.131,0.207,9.40891363423815e-05
"17","Atp5md",2.49142665669974e-12,0.499665920519506,0.284,0.174,8.68685732391497e-08,1.33298896491187e-09,-0.372727016247682,0.199,0.284,4.64773262395823e-05
"18","Atp5o.1",1.42688510245403e-11,0.489142546285429,0.264,0.156,4.97512028672646e-07,6.8567944150527e-08,-0.366239307663549,0.189,0.264,0.00239075850869643
"19","Atp6v0c",2.81940163515978e-28,0.596886805445447,0.744,0.592,9.83040768131162e-24,2.14626122844237e-16,-0.368473331115609,0.657,0.744,7.48336902521003e-12
"20","Atp6v1e1",2.18288503299632e-12,0.573952541468932,0.324,0.21,7.61106524454827e-08,6.31578256243096e-09,-0.425347013245266,0.244,0.324,0.00022021239060428
"21","Atp6v1f",9.90425935068585e-09,0.431238554212038,0.234,0.147,0.000345331810780363,9.49930268284244e-07,-0.321881991504338,0.171,0.234,0.0331212186642667
"22","B3galt1",2.43289329971509e-12,-0.282160123662695,0.858,0.899,8.48276906811661e-08,3.95810550510096e-13,0.281381034616105,0.881,0.858,1.38007264646355e-08
"23","Basp1",6.23479375044917e-15,0.536267165886883,0.47,0.347,2.17388553696911e-10,1.91630407371333e-20,-0.533883775438406,0.333,0.47,6.68157741381628e-16
"24","Bc1",1.18386115062459e-06,0.349634756990615,0.201,0.131,0.0412776867388275,9.31674692537034e-16,-0.522127304784735,0.103,0.201,3.24847015046888e-11
"25","Bex2",3.3852966601323e-18,0.584683108994613,0.406,0.249,1.18035138648833e-13,2.22938590231974e-19,-0.562712937577257,0.272,0.406,7.77319982561823e-15
"26","C1ql3",5.10114588487958e-10,0.515040979701875,0.298,0.2,1.77861653568096e-05,3.90160169304866e-17,-0.598613963493798,0.18,0.298,1.36037146231528e-12
"27","Calm1",7.2545368843464e-55,0.706328790615023,0.91,0.774,2.52943937546506e-50,1.01561261312322e-68,-0.688944643474022,0.775,0.91,3.54113649817674e-64
"28","Calm2",1.65890120521936e-52,0.802806748716621,0.809,0.626,5.78409083223834e-48,1.78634123560122e-46,-0.631818450210585,0.657,0.809,6.22843598617076e-42
"29","Camk2n1",3.98992243317614e-12,0.400640338653053,0.507,0.377,1.39116625477552e-07,6.04483202081382e-08,-0.244293240509631,0.426,0.507,0.00210765158069715
"30","Carmil1",7.77062916556213e-12,-0.402408281993484,0.219,0.339,2.70938527115655e-07,1.08278980235654e-06,0.260459637619642,0.298,0.219,0.0377536320387655
"31","Cck",6.53617324896574e-27,0.704249651461735,0.605,0.431,2.27896752671688e-22,1.24512363550266e-14,-0.404258607779356,0.496,0.605,4.34137257990713e-10
"32","Cfl1",1.66650389644717e-09,0.464494931728558,0.268,0.175,5.81059913574235e-05,4.6137580935297e-07,-0.328445463009183,0.199,0.268,0.01608679034471
"33","Chchd10",9.15482766911566e-15,0.567070329630454,0.342,0.21,3.19201376339056e-10,5.33181899792377e-09,-0.372669681194705,0.255,0.342,0.000185904533000608
"34","Chchd2",5.01811528966277e-23,0.723479052231153,0.415,0.243,1.74966625804672e-18,1.680099624479e-14,-0.473509175697605,0.295,0.415,5.85800336067095e-10
"35","Chn1",2.52251628913091e-10,0.427144011150326,0.429,0.319,8.79525754531275e-06,1.79170757410787e-12,-0.385100186413176,0.32,0.429,6.24714679864191e-08
"36","Cox4i1",3.19025598258145e-23,0.637111530921802,0.597,0.437,1.11234655344667e-18,1.91418051325667e-12,-0.379662199375631,0.5,0.597,6.67417319557203e-08
"37","Cox5b",1.33988560787976e-09,0.468005067634364,0.262,0.166,4.67177914899436e-05,1.39169563830003e-07,-0.375464219464912,0.19,0.262,0.00485242518206073
"38","Cox6b1",9.11967292977377e-13,0.546696571042636,0.268,0.157,3.17975636042422e-08,3.88331913471082e-07,-0.32777609691871,0.2,0.268,0.0135399688269962
"39","Cox7a2",1.343380193532e-13,0.613412623286927,0.296,0.177,4.68396372078802e-09,2.23749563115757e-11,-0.471183557761345,0.2,0.296,7.80147601715711e-07
"40","Cox8a",2.94679745234903e-20,0.593879259953922,0.538,0.379,1.02745986771054e-15,3.88243256620286e-15,-0.434437982165545,0.42,0.538,1.35368776285795e-10
"41","Cryab",2.09978088294556e-10,0.4646951417467,0.15,0.07,7.32130600456627e-06,4.88308855933214e-09,-0.407787929912934,0.085,0.15,0.000170258648798234
"42","Cst3",2.48552076802402e-08,0.300735501877605,0.802,0.747,0.000866626526186935,4.73576032631182e-07,0.177379931726199,0.866,0.802,0.0165121755297514
"43","Ctnna2",1.51519342350232e-07,-0.262721420060319,0.514,0.619,0.00528302490972553,2.41933734421453e-08,0.333969266926345,0.595,0.514,0.00084355035180728
"44","Ctso",7.49036101028883e-11,-0.405861661988135,0.111,0.203,2.6116641734574e-06,6.60761443777862e-13,0.394785862791699,0.207,0.111,2.30387692602027e-08
"45","Ctxn1",2.22033737032733e-09,0.410761662234537,0.191,0.107,7.74165030912029e-05,2.5198638709263e-07,-0.294394774198067,0.126,0.191,0.00878600935875874
"46","Cycs",5.26385131588311e-13,0.545182625209887,0.196,0.096,1.83534703830897e-08,1.01186755998377e-09,-0.392899558902726,0.119,0.196,3.5280786213954e-05
"47","D030055H07Rik",2.05338127763327e-12,-0.425123879741638,0.055,0.136,7.15952450072393e-08,7.18244932823712e-07,0.274837388261812,0.104,0.055,0.0250430460727644
"48","D7Ertd443e",1.38726269649385e-06,0.220124253831636,0.04,0.01,0.0483696884386511,5.7550975245418e-08,-0.206934143453302,0.011,0.04,0.00200662985388199
"49","Dbp",5.39539289563327e-07,-0.298153602860531,0.098,0.165,0.0188121164092045,2.74473324891734e-12,0.404147469329494,0.188,0.098,9.5700614190001e-08
"50","Ddo",7.32973521737052e-16,-0.508160617670948,0.127,0.251,2.55565877824058e-11,8.56494133581478e-11,0.327685821124491,0.22,0.127,2.98633809555854e-06
"51","Ddx5",1.82322234275334e-09,0.307293926582128,0.794,0.741,6.35702934247806e-05,6.58495421205901e-10,-0.273835514793825,0.749,0.794,2.29597598511862e-05
"52","Dnaaf9",5.6733447041895e-07,-0.259919675709162,0.606,0.689,0.0197812509800975,1.34678122602634e-10,0.296763180400692,0.682,0.606,4.69582210078603e-06
"53","Dnaja1",5.10893778145973e-09,0.465962366805763,0.255,0.165,0.000178133333626156,7.44171894675846e-15,-0.531797597593874,0.151,0.255,2.59470414516627e-10
"54","Dock10",3.07690827216396e-07,0.456356135001819,0.094,0.043,0.0107282560725541,4.14521774513008e-10,-0.465176484891596,0.04,0.094,1.44531307119451e-05
"55","Dstn",4.46368054453183e-08,0.388308782007237,0.184,0.108,0.00155635149546191,5.68721066013652e-08,-0.347101936617539,0.118,0.184,0.0019829597408698
"56","Dynll1",3.52383740114302e-32,0.859188207573629,0.461,0.255,1.22865638665654e-27,9.44993255865934e-29,-0.7107848713613,0.291,0.461,3.29490798522775e-24
"57","Eef1a1",1.89249886008151e-12,0.469933587200837,0.428,0.303,6.59857577544622e-08,1.83343481991564e-07,-0.304150652357283,0.355,0.428,0.00639263718659985
