"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"74","Pcp4",4.00891301222389e-12,0.581017727749958,0.406,0.263,1.3977876999721e-07,5.71183832909786e-08,-0.423031519347281,0.289,0.406,0.00199154667020655
"75","Pgam1",7.40667960171104e-10,0.51144973168255,0.266,0.157,2.58248697672859e-05,1.1836600333818e-06,-0.430805108306748,0.18,0.266,0.0412706743839233
"76","Plcl1",1.977360484794e-08,-0.247551333210628,0.888,0.926,0.000689446280233124,1.99486016290686e-13,0.326293922928421,0.936,0.888,6.95547893000733e-09
"77","Ppia",1.55342604641514e-28,0.695215867183329,0.721,0.506,5.41633059603566e-24,6.67643288032149e-16,-0.510449546915148,0.572,0.721,2.32787185238169e-11
"78","Prickle2",3.72734049104265e-12,-0.425376539146885,0.608,0.721,1.29961180901184e-07,1.26921270859285e-10,0.42461310167168,0.723,0.608,4.4253639510507e-06
"79","Ptges3",2.59672993935275e-07,0.385060971535176,0.16,0.086,0.00905401827954124,6.88657675592353e-07,-0.401279377455555,0.088,0.16,0.0240114271748786
"80","Pvt1",2.9044997422029e-08,-0.552492405771497,0.106,0.191,0.00101271192511388,8.23476834668836e-07,0.478089372723072,0.183,0.106,0.0287121667943983
"81","Rab3a",1.04440763863613e-11,0.571009970035345,0.326,0.198,3.64153611363259e-07,3.3016161923257e-07,-0.427428534890757,0.227,0.326,0.011511745177782
"82","Rpl38",5.12946999848186e-13,0.561203793184118,0.305,0.171,1.78849230437067e-08,5.38408951835307e-08,-0.438671108109915,0.202,0.305,0.00187727049236416
"83","Rps8",5.37247450976115e-17,0.585635111684481,0.458,0.279,1.87322068731842e-12,1.56262972303325e-07,-0.344238683435404,0.342,0.458,0.00544842105530003
"84","Rtn1",1.67929010160273e-21,0.5567739452775,0.765,0.623,5.85518079725825e-17,9.34088297870061e-19,-0.501444014592026,0.607,0.765,3.25688566818354e-14
"85","Slc13a1",7.29219612959282e-07,0.390298490822782,0.242,0.155,0.0254257002450513,6.40500944970365e-09,-0.542994257234009,0.143,0.242,0.000223323464482817
"86","Slc24a2",3.36719346525642e-14,-0.282186007746343,0.95,0.969,1.17403934553095e-09,1.60641777993049e-14,0.299793930226365,0.968,0.95,5.60109687328362e-10
"87","Slc25a3",7.41346075250535e-11,0.464461245494211,0.364,0.229,2.58485136057604e-06,2.73911375155469e-07,-0.399419495601739,0.259,0.364,0.00955046791754572
"88","Smad7",2.61664471450996e-12,-0.686327464821454,0.212,0.334,9.12345512608188e-08,1.1579470276119e-06,0.456944322765882,0.297,0.212,0.0403741390117441
"89","Snap25",1.50257638760066e-07,0.376073642186469,0.576,0.466,0.00523903309064723,3.28349693839843e-10,-0.454478185095017,0.445,0.576,1.14485687751138e-05
"90","St13",5.16350025338479e-09,0.478557125264818,0.204,0.112,0.000180035763334767,2.58101134356305e-09,-0.549043946184914,0.112,0.204,8.99921225160128e-05
"91","St18",4.64265073882851e-10,-0.26126505595973,0.886,0.93,1.61875303310734e-05,5.5738364873134e-23,0.414658009478805,0.944,0.886,1.94342956803156e-18
"92","St6galnac3",1.54213692371307e-21,-0.572443392393981,0.604,0.752,5.37696881191036e-17,1.56532492757635e-18,0.532615030097343,0.755,0.604,5.45781842498046e-14
"93","Stmn1",2.18180296608862e-22,0.59824901549892,0.703,0.525,7.60729240186119e-18,7.57004120883164e-19,-0.552921967743291,0.567,0.703,2.63944626828333e-14
"94","Stmn2",2.68581951889825e-07,0.458035947787737,0.415,0.315,0.00936464691654252,1.26312912090309e-08,-0.528603707618876,0.308,0.415,0.00044041523058528
"95","Syn2",1.7652369190835e-11,0.540552057942887,0.241,0.127,6.15485156576845e-07,2.71414376701285e-10,-0.537404925997297,0.135,0.241,9.46340507244369e-06
"96","Syt4",5.54593269827605e-09,0.515947789038501,0.182,0.096,0.000193370035390791,2.64580339977309e-07,-0.4811827968655,0.105,0.182,0.00922512271398882
"97","Sytl2",1.00168331572894e-21,-0.758198469640418,0.341,0.52,3.49256921695208e-17,3.03467627456062e-14,0.663925552424823,0.485,0.341,1.05810057665105e-09
"98","Tenm2",1.29799523028672e-11,-0.690013235561928,0.183,0.305,4.52571996944071e-07,3.3489932647049e-09,0.71021724517472,0.288,0.183,0.000116769348160466
"99","Tmeff2",2.97001451474497e-08,-0.202498677393794,0.957,0.967,0.00103555496085613,1.8252221336533e-26,0.426063200111617,0.977,0.957,6.36400201340898e-22
"100","Tmem267",2.22135171687839e-43,1.2704256002015,0.142,0.002,7.74518703123988e-39,3.60750357720604e-36,-1.22528206233574,0.007,0.142,1.25782827226443e-31
"101","Tmsb4x",1.84999218502084e-28,0.746095594918763,0.678,0.464,6.45036775151216e-24,3.17234561435781e-13,-0.481660427504504,0.556,0.678,1.10610174535814e-08
"102","Tpt1",6.12158678360119e-16,0.623750213445042,0.438,0.282,2.13441366383823e-11,1.33403759541459e-08,-0.454089007007528,0.329,0.438,0.000465138888393206
"103","Tspyl4",4.93588434004054e-10,0.527472616284422,0.276,0.166,1.72099479284193e-05,1.89162851114718e-08,-0.515866601422157,0.179,0.276,0.000659554112981686
"104","Ttc9b",7.3606566890191e-10,0.523548307167175,0.212,0.116,2.56644016776029e-05,2.38243984176127e-07,-0.444429366386104,0.128,0.212,0.00830685299626903
"105","Tuba1a",6.4332279807588e-12,0.459147153164303,0.558,0.409,2.24307360005117e-07,2.34688596277569e-07,-0.357479419560904,0.455,0.558,0.00818288728641
"106","Tuba1b",5.21723548352431e-11,0.542979486894735,0.256,0.144,1.81909349604042e-06,5.51164923213531e-08,-0.478626180808591,0.161,0.256,0.00192174673776862
"107","Tubb5",6.1895369433352e-11,0.564528569118379,0.235,0.128,2.15810584603268e-06,1.16643401654401e-07,-0.494171932577948,0.147,0.235,0.00406700548548402
"108","Ubb",1.20315045252149e-19,0.640635600031668,0.571,0.382,4.19502468280669e-15,6.57741909295666e-12,-0.508939275301423,0.438,0.571,2.2933487151412e-07
"109","Ubc",5.41201573790069e-08,0.427812847126187,0.328,0.223,0.00188700752733384,1.64957040132928e-08,-0.454396351507392,0.22,0.328,0.000575155711831479
"110","Uchl1",4.14575829670793e-09,0.513387518850196,0.317,0.209,0.000144550154531315,3.35129895701027e-09,-0.538081137209395,0.209,0.317,0.000116849740734077
"111","Vsnl1",9.75377404809116e-13,0.627936583382787,0.33,0.196,3.40084839734794e-08,9.49287772694256e-10,-0.55643751977722,0.215,0.33,3.30988167705306e-05
"112","Xkr4",9.54446005447124e-14,-0.636605206262742,0.242,0.386,3.32786688719249e-09,1.71278038254172e-09,0.494110154001756,0.365,0.242,5.97195135980822e-05
"113","Ypel3",3.44472997592316e-08,0.446339711762864,0.266,0.166,0.00120107400070513,6.80444429011757e-07,-0.423906230467422,0.178,0.266,0.0237250559063529
"114","Ywhab",4.17015403776031e-13,0.561339392887121,0.315,0.179,1.45400760834589e-08,1.05946748467029e-08,-0.490575865223126,0.208,0.315,0.000369404527879989
"115","Ywhah",3.04440505400877e-13,0.564871557913372,0.408,0.262,1.06149271018124e-08,5.10953152637137e-09,-0.481567622607417,0.29,0.408,0.000178154035729991
"116","Zfp536",1.31011992742132e-06,-0.233235305983416,0.709,0.764,0.0456799515093992,3.13020485886162e-07,0.268700007842696,0.787,0.709,0.0109140852813928
"117","Zwint",3.30299974319662e-10,0.44956506837767,0.317,0.195,1.15165692046036e-05,3.19125579883049e-07,-0.401806959963141,0.221,0.317,0.0111269515937823
