"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"18","Cox4i1",1.4595404964596e-21,0.72198603468882,0.577,0.374,5.08897984900568e-17,1.13265518571676e-07,-0.342997578381261,0.475,0.577,0.00394922883603862
"19","Cox6b1",9.03893918835373e-12,0.640968446460039,0.279,0.148,3.1516069268033e-07,1.1702385651514e-10,-0.51717315829097,0.159,0.279,4.08027080511338e-06
"20","Cox6c",9.40087895499992e-16,0.822066475093227,0.344,0.182,3.27780446523982e-11,2.45303278694259e-07,-0.465640360035974,0.239,0.344,0.00855298941823272
"21","Cox8a",6.51420024446619e-13,0.577992611681486,0.493,0.332,2.27130619923803e-08,1.97980830902686e-08,-0.410540420542403,0.374,0.493,0.000690299763108395
"22","Cplx2",1.6545555757651e-07,0.572135522357734,0.176,0.093,0.00576893892602018,2.17542406395312e-09,-0.602566428825205,0.089,0.176,7.58505108378533e-05
"23","Ctxn1",1.85225924745521e-07,0.548795810349603,0.196,0.11,0.00645827231810207,1.3512121556635e-08,-0.537927170835838,0.108,0.196,0.000471127142315194
"24","Ddx5",2.28141526648399e-11,0.452568938490087,0.736,0.63,7.95461060964973e-07,3.08639243664499e-07,-0.305069377464508,0.657,0.736,0.0107613245088501
"25","Dnaja1",1.39786078397229e-06,0.549989670925797,0.226,0.14,0.0487392119547618,2.14878335959151e-09,-0.649120797406829,0.13,0.226,7.49216293988773e-05
"26","Dynll1",4.29409916521233e-21,0.880637233908389,0.434,0.233,1.49722355593458e-16,1.83171534333625e-19,-0.768739613063832,0.254,0.434,6.38664188761049e-15
"27","Dynll2",7.92087851494425e-07,0.506593784904261,0.222,0.133,0.0276177271180561,2.38439670396159e-08,-0.529843825966847,0.129,0.222,0.000831367598770287
"28","Egr1",1.61832977503655e-12,0.794867897270262,0.127,0.039,5.64263042661993e-08,2.15353823162202e-21,-0.931253480082715,0.025,0.127,7.50874175219649e-17
"29","Eif1",3.75190896295447e-11,0.565345170191041,0.491,0.345,1.30817809811334e-06,7.79242732524839e-10,-0.490520236162273,0.372,0.491,2.71698563549436e-05
"30","Fhit",2.91916808354564e-09,-0.643152307437532,0.264,0.39,0.000101782633568986,1.95191257765724e-09,0.605918051618826,0.386,0.264,6.80573358451748e-05
"31","Fkbp1a",1.02765182735054e-08,0.577716530787687,0.25,0.142,0.000358311362642312,1.2027662450302e-10,-0.601869363756016,0.139,0.25,4.19368506654681e-06
"32","Fth1",1.20041163624767e-39,0.883750697774722,0.784,0.55,4.18547525210474e-35,2.44698277422439e-27,-0.669287331035364,0.614,0.784,8.5318948388882e-23
"33","Gabarapl1",1.22234301232182e-06,0.568782652977817,0.204,0.123,0.0426194338106248,1.00191304943189e-08,-0.594427802984534,0.115,0.204,0.000349337022945416
