"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","X.1","Targets.of.Pbx3","X.2","X.3","X.4","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"60","Magi2",1.62e-08,0.222094896,0.886,0.869,0.000564643,NA,"Tead1","Tead1",0.069580437,1,0.222094896,0.32597876773448,-0.0381001270973425,0.89,0.886,1,-0.0381001270973425,"non-sig","#00AFBB"
"61","Mat2a",6.17e-07,0.292417565,0.41,0.304,0.021517606,NA,"Men1","Men1",-0.020314166,1,0.292417565,8.40315500155039e-06,-0.248213802278886,0.334,0.41,0.292992805439058,-0.248213802278886,"non-sig","#00AFBB"
"62","Mdga2",7.73e-20,0.475154973,0.833,0.829,2.7e-15,NA,"Rcor2","Rcor2",0.04801283,1,0.475154973,0.937637823467046,-0.064429359591581,0.872,0.833,1,-0.064429359591581,"non-sig","#00AFBB"
"63","Mertk",2.97e-07,0.263629064,0.776,0.764,0.010345589,NA,"Tfap2c","Tfap2c",-0.004494555,1,0.263629064,0.0202714271339586,0.0863223207107224,0.822,0.776,1,0.0863223207107224,"non-sig","#00AFBB"
"64","Mgat5",9.67e-07,-0.34570736,0.367,0.432,0.033727635,NA,"Fbxl19","Fbxl19",-0.008803994,1,-0.34570736,0.0450901019338584,0.0902226227757126,0.401,0.367,1,0.0902226227757126,"non-sig","#00AFBB"
"65","Mir6236",1.55e-07,-0.385004254,0.263,0.339,0.005416933,NA,"Six2","Six2",0.0024873,1,-0.385004254,0.0393969482627269,-0.151853390619926,0.231,0.263,1,-0.151853390619926,"non-sig","#00AFBB"
"66","Msmo1",9.46e-07,-0.348373741,0.284,0.355,0.032982648,NA,"Vdr","Vdr",0.002805958,1,-0.348373741,0.000346042232879859,0.220673559587424,0.341,0.284,1,0.220673559587424,"non-sig","#00AFBB"
"67","Mt1",2.26e-08,0.361102047,0.455,0.343,0.000787716,NA,"Rbpj","Rbpj",-0.056172108,1,0.361102047,0.011104365014369,-0.219926305169952,0.423,0.455,1,-0.219926305169952,"non-sig","#00AFBB"
"68","Mybpc1",3.72e-08,0.443489625,0.028,0.001,0.001296794,NA,"Jun","Jun",-0.089127568,1,0.443489625,0.0115710274041719,-0.250532446547478,0.015,0.028,1,-0.250532446547478,"non-sig","#00AFBB"
"69","Naaladl2",1.45e-07,0.360638032,0.403,0.299,0.005046525,NA,"Dnmt3b","Dnmt3b",0.051015641,1,0.360638032,0.000967542004912633,-0.257063293303873,0.347,0.403,1,-0.257063293303873,"non-sig","#00AFBB"
"70","Nalcn",9.84e-09,0.362395723,0.159,0.083,0.00034305,NA,"Hes1","Hes1",0.070926631,1,0.362395723,6.27394015783957e-09,-0.361360417884485,0.088,0.159,0.000218753471483392,-0.361360417884485,"sig","#E7B800"
"71","Npas3",3.6e-15,-0.298336286,0.823,0.891,1.26e-10,NA,"Nfya","Nfya",0.040807984,1,-0.298336286,2.48123539223948e-18,0.290560356873674,0.896,0.823,8.6513234421214e-14,0.290560356873674,"sig","#E7B800"
"72","Nr2f2",5.56e-07,0.388027856,0.073,0.029,0.019392054,NA,"Myt1l","Myt1l",-0.02586043,1,0.388027856,7.89619409809086e-05,-0.256620645148242,0.039,0.073,1,-0.256620645148242,"non-sig","#00AFBB"
