"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","X.1","Targets.of.Pbx3","X.2","X.3","X.4","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"63","Atp10a",1.27e-07,0.197718827,0.043,0.013,0.004435096,NA,"","",NA,NA,0.197718827,1.08610930222503e-08,-0.202576566567552,0.011,0.043,0.000378693730406801,-0.202576566567552,"sig","#E7B800"
"64","Atp13a3",4.64e-07,-0.178575589,0.304,0.37,0.016186131,NA,"","",NA,NA,-0.178575589,0.00014593991608157,0.101389681579636,0.362,0.304,1,0.101389681579636,"non-sig","#00AFBB"
"65","Atp6v0a1",1.15e-07,-0.169605042,0.579,0.666,0.004000925,NA,"","",NA,NA,-0.169605042,0.215663681577185,-0.00233152268093373,0.633,0.579,1,-0.00233152268093373,"non-sig","#00AFBB"
"66","Atp8a2",9.71e-15,-0.266461472,0.511,0.634,3.38e-10,NA,"Erg","Erg",-0.008819774,1,-0.266461472,1.04940067919023e-10,0.205157633737826,0.631,0.511,3.65894534813258e-06,0.205157633737826,"sig","#E7B800"
"67","Atp9a",5.88e-07,-0.152569031,0.351,0.428,0.020513375,NA,"","",NA,NA,-0.152569031,0.00012784630974251,0.120116783961457,0.416,0.351,1,0.120116783961457,"non-sig","#00AFBB"
"68","Atrnl1",1.42e-15,-0.307478308,0.609,0.729,4.95e-11,NA,"Zic2","Zic2",0.001590437,1,-0.307478308,6.8828270061745e-19,0.35084351316232,0.748,0.609,2.39983529224286e-14,0.35084351316232,"sig","#E7B800"
"69","Atxn1",8.32e-15,-0.268797298,0.734,0.839,2.9e-10,NA,"Utf1","Utf1",0,1,-0.268797298,3.67649959116563e-14,0.239058906464065,0.849,0.734,1.28188511245172e-09,0.239058906464065,"sig","#E7B800"
"70","Atxn2",1.65e-07,-0.161615261,0.44,0.516,0.005766216,NA,"","",NA,NA,-0.161615261,0.00676178353890783,0.0359880432046966,0.493,0.44,1,0.0359880432046966,"non-sig","#00AFBB"
"71","Auts2",1.02e-58,0.906432428,0.976,0.956,3.56e-54,NA,"Rara","Rara",0.00944197,1,0.906432428,1.49082473923467e-45,-0.780506599554326,0.965,0.976,5.19805861828954e-41,-0.780506599554326,"sig","#E7B800"
"72","B3galt1",9.11e-07,0.309883795,0.733,0.707,0.031754276,NA,"","",NA,NA,0.309883795,0.000132844627540626,-0.265330704206403,0.728,0.733,1,-0.265330704206403,"non-sig","#00AFBB"
"73","B830012L14Rik",1.32e-06,-0.201271207,0.421,0.489,0.046119086,NA,"","",NA,NA,-0.201271207,5.88678962144022e-09,0.219451490350976,0.521,0.421,0.000205254693730756,0.219451490350976,"sig","#E7B800"
"74","Bach2",1.08e-07,-0.181360785,0.518,0.607,0.003755415,NA,"","",NA,NA,-0.181360785,3.49158077951311e-07,0.170404855002549,0.618,0.518,0.0121740947039283,0.170404855002549,"sig","#E7B800"
"75","Baiap2",2.79e-16,0.438575661,0.166,0.077,9.73e-12,NA,"Kdm1a","Kdm1a",0.031939731,1,0.438575661,6.9645133753273e-09,-0.37692085396874,0.104,0.166,0.000242831687857537,-0.37692085396874,"sig","#E7B800"
"76","Bc1",7.47e-11,-0.2492471,0.283,0.378,2.6e-06,NA,"Ino80","Ino80",0.01796728,1,-0.2492471,0.168314014724415,0.0179896157744158,0.304,0.283,1,0.0179896157744158,"non-sig","#00AFBB"
"77","Bckdhb",3.46e-08,-0.195530289,0.321,0.402,0.001207795,NA,"","",NA,NA,-0.195530289,8.68757199860506e-14,0.228941049513047,0.442,0.321,3.02909572875363e-09,0.228941049513047,"sig","#E7B800"
"78","Bcl9",2.13e-09,-0.223495335,0.263,0.346,7.41e-05,NA,"","",NA,NA,-0.223495335,3.15835919777748e-06,0.125289429102345,0.335,0.263,0.110122510148908,0.125289429102345,"non-sig","#00AFBB"
"79","Bend6",4.15e-08,-0.21155919,0.35,0.433,0.001448133,NA,"","",NA,NA,-0.21155919,8.45893706640138e-07,0.157603660897941,0.434,0.35,0.0294937758694217,0.157603660897941,"sig","#E7B800"
"80","Bmp1",2.77e-07,0.185983262,0.048,0.017,0.009670562,NA,"","",NA,NA,0.185983262,0.000306910186801111,-0.152319012641249,0.025,0.048,1,-0.152319012641249,"non-sig","#00AFBB"
"81","Btbd11",8.19e-28,-0.45686838,0.422,0.601,2.86e-23,NA,"Bach2","Bach2",-0.181360785,0.003755415,-0.45686838,1.63940814424259e-27,0.457715751245029,0.597,0.422,5.71612437653063e-23,0.457715751245029,"sig","#E7B800"
"82","C130073E24Rik",3.33e-19,0.709308679,0.263,0.146,1.16e-14,NA,"Klf1","Klf1",-0.001376039,1,0.709308679,1.04516996168852e-15,-0.668834923295781,0.159,0.263,3.64419410541937e-11,-0.668834923295781,"sig","#E7B800"
"83","C79798",8.88e-41,0.755513005,0.16,0.023,3.09e-36,NA,"Setdb1","Setdb1",0.062232808,1,0.755513005,1.95795600481816e-30,-0.623475054810008,0.039,0.16,6.8268052019995e-26,-0.623475054810008,"sig","#E7B800"
"84","Cabp1",4.32e-09,-0.22952426,0.21,0.288,0.000150555,NA,"","",NA,NA,-0.22952426,9.39335208438821e-10,0.193257740571498,0.295,0.21,3.27518007126364e-05,0.193257740571498,"sig","#E7B800"
"85","Cacna1a",2.34e-36,-0.434289968,0.731,0.882,8.17e-32,NA,"Twist2","Twist2",0.006982203,1,-0.434289968,1.08801002272433e-12,0.24076265539343,0.847,0.731,3.79356454623292e-08,0.24076265539343,"sig","#E7B800"
"86","Cacna1b",3.49e-08,-0.189673989,0.518,0.601,0.001217056,NA,"","",NA,NA,-0.189673989,2.64257906063247e-14,0.247212191462053,0.655,0.518,9.21388041070724e-10,0.247212191462053,"sig","#E7B800"
"87","Cacna1c",8.47e-24,0.808230655,0.826,0.793,2.95e-19,NA,"Med23","Med23",0.068464958,1,0.808230655,3.80595737223455e-24,-0.801380871605097,0.817,0.826,1.32702315697702e-19,-0.801380871605097,"sig","#E7B800"
"88","Cacna1d",3e-08,0.278671964,0.814,0.806,0.001047018,NA,"","",NA,NA,0.278671964,0.389811509285003,-0.119063214010314,0.838,0.814,1,-0.119063214010314,"non-sig","#00AFBB"
"89","Cacna1e",4.24e-11,0.517729059,0.476,0.382,1.48e-06,NA,"Lhx6","Lhx6",-0.124546429,1,0.517729059,6.53970477712217e-08,-0.478712694052555,0.417,0.476,0.00228019886463919,-0.478712694052555,"sig","#E7B800"
"90","Cacna2d1",5.63e-31,0.823919602,0.558,0.411,1.96e-26,NA,"Rela","Rela",0.025277715,1,0.823919602,5.33542923665802e-37,-0.866715998543192,0.38,0.558,1.86030411194555e-32,-0.866715998543192,"sig","#E7B800"
"91","Cacna2d2",7.83e-11,-0.27082431,0.29,0.393,2.73e-06,NA,"Tcf3","Tcf3",0.009084053,1,-0.27082431,8.10966220225989e-08,0.18274372901051,0.382,0.29,0.00282759592006196,0.18274372901051,"sig","#E7B800"
"92","Cacna2d3",1.88e-15,-0.381740688,0.409,0.541,6.54e-11,NA,"Tbr1","Tbr1",-0.003375252,1,-0.381740688,2.83478228846116e-18,0.40256112781725,0.55,0.409,9.88403540517754e-14,0.40256112781725,"sig","#E7B800"
"93","Cacng2",1.39e-07,-0.18711926,0.402,0.485,0.004859228,NA,"","",NA,NA,-0.18711926,0.0692624915188413,0.0395727359161799,0.442,0.402,1,0.0395727359161799,"non-sig","#00AFBB"
"94","Cacng5",3.37e-15,0.328938862,0.114,0.041,1.18e-10,NA,"Hoxd13","#N/A",NA,NA,0.328938862,1.99503553823366e-09,-0.2764882803335,0.057,0.114,6.95609041115929e-05,-0.2764882803335,"sig","#E7B800"
"95","Cadm1",5.82e-07,-0.179959749,0.679,0.76,0.020300269,NA,"","",NA,NA,-0.179959749,9.83754217026144e-08,0.185679503971777,0.785,0.679,0.00343005582850506,0.185679503971777,"sig","#E7B800"
"96","Cadm2",2.15e-12,0.324133746,0.973,0.972,7.48e-08,NA,"Rag2","Rag2",0.00277328,1,0.324133746,1.17332132915832e-08,-0.261543192008744,0.968,0.973,0.000409101947837632,-0.261543192008744,"sig","#E7B800"
"97","Calb2",2.63e-10,0.462787244,0.133,0.069,9.18e-06,NA,"Batf3","Batf3",0.011574005,1,0.462787244,6.82061006164779e-09,-0.404765499610628,0.074,0.133,0.000237814211019473,-0.404765499610628,"sig","#E7B800"
"98","Caln1",1.5e-18,-0.423579814,0.254,0.389,5.24e-14,NA,"Kat5","Kat5",-0.046386385,1,-0.423579814,3.05781282572308e-10,0.2718517501488,0.352,0.254,1.06616759794487e-05,0.2718517501488,"sig","#E7B800"
"99","Ccdc136",1e-08,-0.228814143,0.338,0.413,0.0003502,NA,"","",NA,NA,-0.228814143,6.88245905261511e-07,0.168344883794291,0.412,0.338,0.0239970699787531,0.168344883794291,"sig","#E7B800"
"100","Ccn4",9.15e-07,0.106391869,0.043,0.014,0.031913304,NA,"","",NA,NA,0.106391869,0.00025287679563235,-0.0933520704347728,0.021,0.043,1,-0.0933520704347728,"non-sig","#00AFBB"
"101","Ccser1",3.66e-07,-0.163372607,0.863,0.945,0.012770942,NA,"","",NA,NA,-0.163372607,3.41838683452298e-12,0.208692842472707,0.944,0.863,1.19188893759313e-07,0.208692842472707,"sig","#E7B800"
"102","Cdh11",5.27e-10,-0.246571538,0.355,0.445,1.84e-05,NA,"Hnf4a","Hnf4a",0,1,-0.246571538,2.72099681689546e-13,0.258445839199266,0.476,0.355,9.48729960146939e-09,0.258445839199266,"sig","#E7B800"
"103","Cdh13",3e-07,-0.398546767,0.411,0.489,0.01044615,NA,"","",NA,NA,-0.398546767,4.86117311240997e-07,0.267503182215362,0.5,0.411,0.0169494522910398,0.267503182215362,"sig","#E7B800"
"104","Cdh9",6.38e-12,-0.338345643,0.291,0.396,2.22e-07,NA,"Mllt3","Mllt3",0.021335329,1,-0.338345643,1.47400562938173e-17,0.564716711475869,0.419,0.291,5.13941542796528e-13,0.564716711475869,"sig","#E7B800"
"105","Cdk14",4e-34,0.705930968,0.657,0.511,1.39e-29,NA,"Onecut1","Onecut1",0,1,0.705930968,7.70435000025928e-21,-0.537331354973754,0.559,0.657,2.6862757145904e-16,-0.537331354973754,"sig","#E7B800"
