"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","X.1","Targets.of.Pbx3","X.2","X.3","X.4","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"755","Nell1os",2.72e-20,-0.191438777,0.134,0.198,9.49e-16,NA,"Morc3","Morc3",0.019624629,1,-0.191438777,0.0142205675473903,-0.0460214789103975,0.118,0.134,1,-0.0460214789103975,"non-sig","#00AFBB"
"756","Nexn",1.06e-09,0.049003787,0.082,0.052,3.71e-05,NA,"","",NA,NA,0.049003787,0.0884634642500975,0.0336050859041239,0.091,0.082,1,0.0336050859041239,"non-sig","#00AFBB"
"757","Nfix",6.68e-08,-0.114436568,0.402,0.431,0.002328585,NA,"","",NA,NA,-0.114436568,0.697252575670713,-0.0215551070339932,0.397,0.402,1,-0.0215551070339932,"non-sig","#00AFBB"
"758","Nhs",8.93e-08,0.067529325,0.106,0.075,0.00311401,NA,"","",NA,NA,0.067529325,0.0205479817297297,-0.002163351205483,0.091,0.106,1,-0.002163351205483,"non-sig","#00AFBB"
"759","Nicn1",6.58e-08,0.069080551,0.138,0.103,0.002295278,NA,"","",NA,NA,0.069080551,3.98703933434792e-07,-0.0852257476545064,0.105,0.138,0.0139016100470709,-0.0852257476545064,"sig","#E7B800"
"760","Nin",1.03e-08,-0.109323726,0.616,0.635,0.000358201,NA,"","",NA,NA,-0.109323726,0.993530229236848,-0.00252886001936892,0.607,0.616,1,-0.00252886001936892,"non-sig","#00AFBB"
"761","Nkain3",1.41e-19,0.196912086,0.307,0.225,4.92e-15,NA,"Nr1d1","Nr1d1",0.016609449,1,0.196912086,1.04882397408246e-08,-0.111948723904882,0.254,0.307,0.00036569345504333,-0.111948723904882,"sig","#E7B800"
"762","Nlk",6.17e-20,-0.151370684,0.808,0.834,2.15e-15,NA,"Nr4a1","Nr4a1",-0.21386748,1.95411e-17,-0.151370684,0.0131019782193835,0.0382292640095656,0.82,0.808,1,0.0382292640095656,"non-sig","#00AFBB"
"763","Nme7",1.39e-06,0.131509156,0.576,0.515,0.048324718,NA,"","",NA,NA,0.131509156,3.37006902574991e-05,-0.114246537499046,0.541,0.576,1,-0.114246537499046,"non-sig","#00AFBB"
"764","Nmt1",1.41e-09,0.096809751,0.386,0.317,4.93e-05,NA,"","",NA,NA,0.096809751,0.0627901200173935,-0.0218838696430863,0.368,0.386,1,-0.0218838696430863,"non-sig","#00AFBB"
"765","Nnat",7.45e-10,0.090505495,0.264,0.207,2.6e-05,NA,"","",NA,NA,0.090505495,1.00347560775713e-15,-0.187867346550031,0.195,0.264,3.49881840156679e-11,-0.187867346550031,"sig","#E7B800"
