"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"185","Gm13110",2.53801174442925e-09,0.121475523866047,0.049,0.024,8.84928554930146e-05,0.121475523866047,0.000760939655144976,-0.0633582861805501,0.035,0.049,1,-0.0633582861805501,"non-sig","#00AFBB"
"186","Gm13187",6.99051178210335e-10,0.212109382677154,0.088,0.054,2.43738174306597e-05,0.212109382677154,0.000315624998085039,-0.122672217686331,0.068,0.088,1,-0.122672217686331,"non-sig","#00AFBB"
"187","Gm13266",4.07873643313766e-07,0.0881187944579585,0.034,0.016,0.0142213303214211,0.0881187944579585,0.852046560512093,0.0174247534282529,0.034,0.034,1,0.0174247534282529,"non-sig","#00AFBB"
"188","Gm14858",4.18796931726372e-09,0.153139819800311,0.142,0.099,0.000146021926185034,0.153139819800311,0.0356036113201114,-0.0292047658866457,0.126,0.142,1,-0.0292047658866457,"non-sig","#00AFBB"
"189","Gm14964",2.93459515858046e-07,0.163009947387979,0.1,0.068,0.0102320529394225,0.163009947387979,1.84174495833806e-05,-0.116770368729518,0.074,0.1,0.64216121462373,-0.116770368729518,"non-sig","#00AFBB"
"190","Gm15261",1.169978787004e-06,0.191888908399081,0.035,0.018,0.0407936503664684,0.191888908399081,8.48542051835377e-06,-0.164040180269196,0.02,0.035,0.295861157213441,-0.164040180269196,"non-sig","#00AFBB"
"191","Gm15563",1.50655163514453e-07,0.13448647499495,0.101,0.068,0.00525289358625845,0.13448647499495,0.0754848705889327,-0.05339548339071,0.09,0.101,1,-0.05339548339071,"non-sig","#00AFBB"
"192","Gm15577",2.07275608153498e-08,0.146393436528447,0.066,0.039,0.000722707862948801,0.146393436528447,4.39857369012241e-05,-0.106007513407795,0.047,0.066,1,-0.106007513407795,"non-sig","#00AFBB"
"193","Gm15738",3.10582003344009e-09,0.159887693602715,0.094,0.058,0.000108290627105956,0.159887693602715,0.020478987128047,-0.0553122310649056,0.079,0.094,1,-0.0553122310649056,"non-sig","#00AFBB"
"194","Gm16066",2.23389103360921e-07,0.107710348844848,0.049,0.027,0.00778890786688523,0.107710348844848,1.90397349039554e-05,-0.0963719337030517,0.032,0.049,0.663858436896214,-0.0963719337030517,"non-sig","#00AFBB"
"195","Gm19439",1.18667864965576e-07,0.139390003081484,0.049,0.026,0.00413759244775475,0.139390003081484,0.000123848368794449,-0.10067995566309,0.033,0.049,1,-0.10067995566309,"non-sig","#00AFBB"
"196","Gm19522",4.48434989257164e-07,0.144224039496218,0.167,0.125,0.0156355827704295,0.144224039496218,0.0140143716684529,-0.0468953850636495,0.146,0.167,1,-0.0468953850636495,"non-sig","#00AFBB"
"197","Gm21860",6.98419741869848e-07,0.0435468541369554,0.009,0.001,0.024351801139776,0.0435468541369554,3.70912124496608e-10,-0.0572566817044488,0.001,0.009,1.29325930448232e-05,-0.0572566817044488,"sig","#E7B800"
"198","Gm26532",5.05738209208391e-08,0.15460552771436,0.059,0.034,0.0017633574140469,0.15460552771436,0.164715073117489,-0.0399993621642779,0.053,0.059,1,-0.0399993621642779,"non-sig","#00AFBB"
"199","Gm29683",1.82017956464877e-13,0.364375447697402,0.051,0.021,6.34642008806087e-09,0.364375447697402,9.77738000780403e-17,-0.344681670789389,0.02,0.051,3.40907908732103e-12,-0.344681670789389,"sig","#E7B800"
