"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Prex23",7.30175936989555e-25,1.1380983567934,0.367,0.172,2.54590443950148e-20,"16","Prex2"
"Rbms35",9.27425431237356e-25,1.45165948373086,0.491,0.333,3.23365425109529e-20,"16","Rbms3"
"Pip5k1b2",1.78199575208994e-24,1.86391934432381,0.337,0.179,6.213284588812e-20,"16","Pip5k1b"
"Calm14",3.17374698866554e-23,0.846594951923624,0.763,0.879,1.10659036253801e-18,"16","Calm1"
"Maml26",2.70110004874492e-22,1.14297401106196,0.438,0.256,9.41792553995891e-18,"16","Maml2"
"Gucy1b13",3.42401326148683e-22,1.87946753271104,0.402,0.267,1.19385070388261e-17,"16","Gucy1b1"
"Gatm3",3.7773420329981e-22,1.31146555654123,0.278,0.123,1.31704584664545e-17,"16","Gatm"
"Rapgef53",1.74156241050377e-21,1.62018670312097,0.521,0.443,6.07230565670351e-17,"16","Rapgef5"
"Rgs4",1.30817478171387e-20,1.71606974744285,0.293,0.15,4.56121301140175e-16,"16","Rgs4"
"Sox55",5.98969658441206e-20,1.34186739503836,0.562,0.529,2.08842750808695e-15,"16","Sox5"
"Lhfp4",6.55261645393826e-20,1.82274784144106,0.355,0.221,2.28470077899465e-15,"16","Lhfp"
"Sptbn12",1.03473583123347e-19,1.4038829034187,0.577,0.626,3.60781342276173e-15,"16","Sptbn1"
"Diaph23",1.21926853702437e-19,1.38908221191513,0.553,0.528,4.25122360804286e-15,"16","Diaph2"
"Wls6",6.09970971044095e-19,1.54034236614887,0.382,0.249,2.12678578473945e-14,"16","Wls"
"Gucy1a25",9.52581041139469e-19,1.76658201980572,0.503,0.467,3.32136431614099e-14,"16","Gucy1a2"
"Grm34",1.0045866202884e-18,1.20854289827286,0.615,0.602,3.50269216895955e-14,"16","Grm3"
"Cacna1c4",6.75872312298771e-18,1.30486729595169,0.568,0.576,2.35656399129212e-13,"16","Cacna1c"
