"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","group2"
"32982","H2ac18",1.3310658656229,0.0349423363448801,0.021831126356034,0.982582664857981,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"32983","Gm22206",1.32252628798855,0.0341473983377716,0.0217677589855677,0.982633212692537,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"32984","Gstp2",1.32252628798855,0.0341473983377716,0.0217677589855677,0.982633212692537,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"32985","1810008B01Rik",1.9984129642637,0.027080483066134,0.021753813057868,0.982644337298695,NA,0.000519255733448723,0.000512032770097286,"SD3D R7","ZT6"
"32986","Gm10463",2.33471305015645,0.0260284011673962,0.0217197944295269,0.982671473825419,NA,0.000605798355690177,0.000597371565113501,"SD3D R7","ZT6"
"32987","Gm42524",1.323457695504,0.0329277509847454,0.0216481918683942,0.982728590973756,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"32988","Piwil4",1.323457695504,0.0329277509847454,0.0216481918683942,0.982728590973756,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"32989","Gm11527",1.3225737639498,0.0342420838572534,0.0215936560223547,0.982772094114043,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"32990","ENSMUSG00000121209",38.1968685425172,0.00628472082483909,0.0215563832124854,0.98280182659281,0.993270863424075,0.00951968844655993,0.00955794504181601,"SD3D R7","ZT6"
"32991","Gm28042",0.658904819409582,0.0482535485455923,0.0215408703006437,0.982814201232287,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"32992","Gm4861",0.658904819409582,0.0482535485455923,0.0215408703006437,0.982814201232287,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"32993","Lep",0.658904819409582,0.0482535485455923,0.0215408703006437,0.982814201232287,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"32994","Fbxw25",0.658904819409582,0.0482535485455923,0.0215408703006437,0.982814201232287,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"32995","Gm30619",0.658904819409582,0.0482535485455923,0.0215408703006437,0.982814201232287,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"32996","Rps12-ps26",0.658904819409582,0.0482535485455923,0.0215408703006437,0.982814201232287,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"32997","ENSMUSG00000120500",0.658904819409582,0.0482535485455923,0.0215408703006437,0.982814201232287,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"32998","Myot",0.658904819409582,0.0482535485455923,0.0215408703006437,0.982814201232287,NA,0.000173085244482908,8.53387950162144e-05,"SD3D R7","ZT6"
"32999","Gm11376",1.33047569785657,0.0318103711681777,0.0214985709564134,0.982847943412099,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33000","Gm41290",1.33047569785657,0.0318103711681777,0.0214985709564134,0.982847943412099,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33001","Gm18867",1.66407357922492,0.0294867542688563,0.021494494390778,0.982851195289446,NA,0.00043271311120727,0.000426693975081072,"SD3D R7","ZT6"
"33002","Vmn1r32",0.658857343448325,0.0481343604652075,0.0214871886309689,0.982857023096443,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33003","Gm16130",0.658857343448325,0.0481343604652075,0.0214871886309689,0.982857023096443,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33004","Gm11537",0.658857343448325,0.0481343604652075,0.0214871886309689,0.982857023096443,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33005","8030423J24Rik",0.658857343448325,0.0481343604652075,0.0214871886309689,0.982857023096443,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33006","Gm50223",0.658857343448325,0.0481343604652075,0.0214871886309689,0.982857023096443,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33007","Gm3621",0.658857343448325,0.0481343604652075,0.0214871886309689,0.982857023096443,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33008","1700018G05Rik",0.658857343448325,0.0481343604652075,0.0214871886309689,0.982857023096443,NA,0.000173085244482908,0.000170677590032429,"SD3D R7","ZT6"
"33009","Gm31941",1.32350517146526,0.0330010897503713,0.0214798068261705,0.982862911565481,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33010","Cyp2e1",1.32350517146526,0.0330010897503713,0.0214798068261705,0.982862911565481,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33011","Gm7046",1.32350517146526,0.0330010897503713,0.0214798068261705,0.982862911565481,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33012","Map3k7cl",1.32350517146526,0.0330010897503713,0.0214798068261705,0.982862911565481,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33013","Gm50061",1.32350517146526,0.0330010897503713,0.0214798068261705,0.982862911565481,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
