"","Gene_without_dots","X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","NS_1_FC_clean_L001","NS_2_FC_clean_L002","NS_3_FC_clean_L003","NS_4_FC_clean_L004","SD1D_1_FC_clean_L005","SD1D_2_FC_clean_L006","SD1D_3_FC_clean_L007","SD1D_4_FC_clean_L008","SD3D_1_FC_clean_L009","SD3D_2_FC_clean_L010","SD3D_3_FC_clean_L011","SD3D_4_FC_clean_L012","R7_1_FC_clean_L013","R7_2_FC_clean_L014","R7_3_FC_clean_L015","R7_4_FC_clean_L016","SYMBOL"
"19668","ENSMUSG00000073856",8269,"ENSMUSG00000073856.12",69.0872435832353,-0.192233925524901,0.22225787806036,-0.864913888328831,0.387086054178396,0.730829805279829,103.37707662221,70.9176488083805,66.786790939571,57.5691380576207,65.8550872636861,78.3477689836846,70.8584378852116,53.39219502277,67.7366969350133,73.1473235588901,61.6284134400761,58.5671015476836,51.7691359833489,75.8430253196812,90.2209047227161,59.3791522412206,"Iqck"
"19669","ENSMUSG00000073860",22612,"ENSMUSG00000073860.13",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gm829"
"19670","ENSMUSG00000073876",22614,"ENSMUSG00000073876.4",7.09774693663531,-0.489776603661553,0.562221206874123,-0.871145729960361,0.383674587636562,NA,12.6349760316034,8.07922581361296,14.3848472792922,4.51522651432319,5.67716269514535,2.97523173355764,5.28794312576206,7.18741086844981,11.2894494891689,6.91934141773284,4.59913533134896,5.57781919501748,1.84889771369103,8.53234034846414,7.66026549532496,6.39467793366991,"Gm13305"
"19671","ENSMUSG00000073877",11308,"ENSMUSG00000073877.11",69.8594124819499,-0.110685972963573,0.227925680670535,-0.485623088359088,0.627234423545315,0.865901964879882,110.268881730357,74.5084158366529,55.4844109344128,74.5012374863327,61.3133571075698,63.4716103158964,56.0521971330778,47.2315571355273,101.60504540252,56.3432086872532,66.227548771425,66.9338303402098,73.9559085476412,58.778344622753,82.5606392273912,68.5144064321776,"Gm13306"
"19672","ENSMUSG00000073878",11270,"ENSMUSG00000073878.4",271.583404070264,0.257390558117407,0.525620208076643,0.489689235996565,0.624353819872426,0.864296475986686,475.534552462166,238.786007380117,332.906465606477,129.812762286792,45.4173015611628,218.183660460894,272.857865289322,380.93277602784,504.946286242827,254.038677765334,270.429157483319,377.432432196183,222.792174499769,160.218390987827,303.006057370632,158.039897503556,"Gm13304"
"19673","ENSMUSG00000073879",5662,"ENSMUSG00000073879.5",368.907146858216,0.249324164965913,0.201307011839939,1.23852697770981,0.215520725311405,0.594997049568767,430.737819259208,351.895168770698,346.263823794391,207.700419658867,375.828170418622,331.242466336084,315.161410295419,376.825684103011,569.604042408067,322.243614597272,360.572209977759,337.458061298558,363.308400740288,317.592668526165,400.036086978081,496.044302568966,"Gm54215"
"19674","ENSMUSG00000073888",2080,"ENSMUSG00000073888.14",902.919026957779,-0.205369603224893,0.100863779978134,-2.03610853439574,0.0417394579458619,0.313597705235237,1007.3521799742,953.34864600633,972.004680443603,1009.15312595123,874.283055052384,827.114421929025,865.107495374673,678.696940577903,944.208502730489,801.65512711162,735.861653015834,937.073624762937,891.168697999077,1030.51710653117,999.239076834611,919.920097029371,"Ccl27a"
"19675","ENSMUSG00000073888",2080,"ENSMUSG00000073888.14",902.919026957779,-0.205369603224893,0.100863779978134,-2.03610853439574,0.0417394579458619,0.313597705235237,1007.3521799742,953.34864600633,972.004680443603,1009.15312595123,874.283055052384,827.114421929025,865.107495374673,678.696940577903,944.208502730489,801.65512711162,735.861653015834,937.073624762937,891.168697999077,1030.51710653117,999.239076834611,919.920097029371,"Gm13306"
"19676","ENSMUSG00000073888",2080,"ENSMUSG00000073888.14",902.919026957779,-0.205369603224893,0.100863779978134,-2.03610853439574,0.0417394579458619,0.313597705235237,1007.3521799742,953.34864600633,972.004680443603,1009.15312595123,874.283055052384,827.114421929025,865.107495374673,678.696940577903,944.208502730489,801.65512711162,735.861653015834,937.073624762937,891.168697999077,1030.51710653117,999.239076834611,919.920097029371,"Ccl27b"
"19677","ENSMUSG00000073889",7247,"ENSMUSG00000073889.11",698.006224908301,-0.11964492639414,0.11917491822848,-1.00394385137952,0.315405678305634,0.679033999299642,818.976173684841,693.915728213647,653.483062116418,749.52760137765,735.760285290838,676.369347428771,634.553175091447,514.413263584765,674.28802858036,683.037845664771,671.473758376948,653.534482349548,631.398569225487,729.041080885436,755.812862205396,892.5143344565,"Il11ra1"
"19678","ENSMUSG00000073893",22615,"ENSMUSG00000073893.7",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Or5p52"
"19679","ENSMUSG00000073894",22616,"ENSMUSG00000073894.2",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Rbmxl2"
"19680","ENSMUSG00000073896",22617,"ENSMUSG00000073896.6",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Or2d36"
"19681","ENSMUSG00000073897",22618,"ENSMUSG00000073897.6",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Or10a4"
"19682","ENSMUSG00000073898",22619,"ENSMUSG00000073898.4",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Or10a5"
"19683","ENSMUSG00000073899",22620,"ENSMUSG00000073899.4",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Or2d3b"
"19684","ENSMUSG00000073900",22621,"ENSMUSG00000073900.6",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Or2ag20"
"19685","ENSMUSG00000073901",22622,"ENSMUSG00000073901.5",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Or2ag19"
"19686","ENSMUSG00000073906",22624,"ENSMUSG00000073906.4",1.28147924242964,-1.72789698018432,1.54241309059946,-1.12025565052276,0.262604835204317,NA,2.29726836938244,0.897691757068107,1.02748909137802,2.2576132571616,1.13543253902907,0,0,0,0,0.988477345390406,0.919827066269792,0,0.924448856845516,1.89607563299203,0.851140610591662,7.30820335276561,"Or52w1"
