"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","NS_1_FC_clean_L001","NS_2_FC_clean_L002","NS_3_FC_clean_L003","NS_4_FC_clean_L004","SD1D_1_FC_clean_L005","SD1D_2_FC_clean_L006","SD1D_3_FC_clean_L007","SD1D_4_FC_clean_L008","SD3D_1_FC_clean_L009","SD3D_2_FC_clean_L010","SD3D_3_FC_clean_L011","SD3D_4_FC_clean_L012","R7_1_FC_clean_L013","R7_2_FC_clean_L014","R7_3_FC_clean_L015","R7_4_FC_clean_L016"
"8508","ENSMUSG00000068923.15",14654.9964843309,0.0962766260938951,0.116105098485096,0.829219623858756,0.406980142590813,0.746233891726627,11705.7309761882,13712.2415892153,14719.8087230815,16461.3870645938,11750.5913464119,16487.7425234653,14637.0265721094,14648.9701228819,15310.5461344929,16119.1000712814,15112.7586988127,13963.1407181938,15400.3935061894,14512.562894921,12926.2724530556,17011.6703544001
"8509","ENSMUSG00000084957.4",291.00152701289,-0.0994621346350519,0.119940835212782,-0.82925998021108,0.406957311159897,0.746233891726627,306.685327312556,289.954437532999,302.081792865137,322.838695774108,371.286440262506,299.506661178136,322.564530671486,347.049267648005,250.420515941564,272.819747327752,299.863623603952,315.146784518488,288.428043335801,237.009454124004,222.998839975015,207.370270134724
"8510","ENSMUSG00000021819.12",1262.02323913101,-0.0986046614032005,0.118962632276704,-0.828870877485705,0.407177476164686,0.746420277654968,1543.764344225,1330.37918397493,1167.22760780543,1106.23049600918,1194.47503105858,1113.72841226174,1241.60904592893,1050.38875977488,1337.28660767155,1137.73742454436,1197.61484028327,1135.08620618606,1186.0678833328,1318.72060274596,1675.89586225498,1456.15951803855
"8511","ENSMUSG00000052364.5",290.000505478476,0.10539911748534,0.12715449739471,0.828905934472473,0.407157637047914,0.746420277654968,250.402252262686,342.918251200017,304.136771047893,263.011944459326,257.743186359599,233.059819128682,305.643112669047,303.924802437306,342.788739034764,312.358841143368,305.382586001571,291.905871205915,309.690367043248,299.579950012741,256.19332378809,261.26826986137
"8512","ENSMUSG00000078886.13",46.9553605116821,0.643776625035637,0.776801977869483,0.828752556476888,0.407244439521772,0.746455327234338,44.7967332029577,27.8284444691113,48.2919872947667,25.9625524573584,70.3968174198024,85.2899763619858,15.8638293772862,96.5166602334689,23.6052125682622,38.5506164702259,108.539593819835,58.5671015476836,80.4270505455599,6.63626471547211,13.6182497694666,6.39467793366991
"8513","ENSMUSG00000015668.14",273.103669431757,0.0922330523765914,0.111340823292843,0.828384860546655,0.407452577645,0.746749103302866,228.578202753553,251.35369197907,286.669456494466,290.103303545265,244.11799589125,243.969002151727,302.47034679359,261.827110207814,298.657254668013,260.958019183067,272.268811615858,294.694780803424,293.974736476874,286.307420581797,285.132104548207,268.576473214136
"8514","ENSMUSG00000021518.5",1553.32831363939,0.0844156296657305,0.101945431581052,0.828047204828549,0.407643767040909,0.74699559943097,1317.48340984083,1498.24754254667,1556.64597343769,1662.73216389952,1393.17572538867,1702.82429550616,1473.22095483731,1503.19564448722,1561.02297027508,1791.12094984742,1548.98877959833,1498.5740903947,1605.76766434066,1529.18499800807,1383.10349221145,1827.9643636105
"8515","ENSMUSG00000024260.15",386.495071113673,0.0887562293220002,0.107196332576379,0.827978226389046,0.407682830993123,0.74699559943097,344.590255407367,378.825921482741,364.758627439195,377.021413945987,354.25495217707,368.928734961148,386.01984818063,368.611500253354,420.788571869022,345.967070886642,414.842006887676,377.432432196183,341.121628175995,445.577773753127,462.169351551272,433.011048651362
"8516","ENSMUSG00000008333.13",206.288271965289,-0.152121062649081,0.183775738455425,-0.82775378255916,0.407809953731153,0.747060964398276,233.172739492318,197.492186554984,256.872272844504,256.239104687841,182.80463878368,222.150636105637,224.208788532311,213.56878009108,168.315428747609,245.142381656821,204.201608711894,230.549860060723,219.094379072387,200.035979280659,110.648279376916,136.115287445259
"8517","ENSMUSG00000024937.16",421.367068193992,0.0792632960615641,0.09577753521342,0.827577112784774,0.407910034335913,0.747060964398276,406.616501380693,397.677448381171,417.160571099474,472.969977375355,345.171491864838,376.862686250635,361.695309802125,370.665046215769,458.762174696227,502.146491458326,402.884255026169,425.773531886335,417.850883294173,449.369925019111,474.936460710147,461.330336643329
