"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","group2"
"26440","Gm54771",1.16414604758983,0.450258049254992,0.285441417848809,0.775305979900414,NA,0.00033217073575818,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26441","Grxcr2",1.16414604758983,0.450258049254992,0.285441417848809,0.775305979900414,NA,0.00033217073575818,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26442","Olfr1418",1.16414604758983,0.450258049254992,0.285441417848809,0.775305979900414,NA,0.00033217073575818,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26443","Rnf123",481.022637729361,0.0232292717935877,0.285357460484696,0.77537029480018,0.904377757721053,0.109367214748381,0.112305854241338,"SD6h ZT0-ZT6","ZT6"
"26444","Gm36840",5.32072576038197,0.215894962611072,0.285335442113461,0.775387162060937,NA,0.00132868294303272,0.00128008192524322,"SD6h ZT0-ZT6","ZT6"
"26445","Tcp11l2",229.584309388075,0.033019621250929,0.285296490092978,0.775417001670526,0.904377757721053,0.054559043348281,0.0559822495306366,"SD6h ZT0-ZT6","ZT6"
"26446","B930018H19Rik",17.4335038301377,0.11762773496112,0.285286253734163,0.775424843397095,0.904377757721053,0.00440126224879588,0.0041816009557945,"SD6h ZT0-ZT6","ZT6"
"26447","Mb",15.1236304306828,0.130844615174627,0.285142535859712,0.775534943193406,NA,0.00381996346121907,0.00375490698071343,"SD6h ZT0-ZT6","ZT6"
"26448","Gm9930",69.3900344421881,-0.0617193422091112,-0.284968659421201,0.77566815297926,0.904606202015872,0.0160272380003322,0.0176651305683564,"SD6h ZT0-ZT6","ZT6"
"26449","Dio3os",2.98139020109093,-0.288343611722424,-0.284810264007558,0.775789508226087,NA,0.000664341471516359,0.000768049155145929,"SD6h ZT0-ZT6","ZT6"
"26450","9930024M15Rik",49.1569078627252,0.0731938903354954,0.284702199902752,0.77587230509165,0.904733508711561,0.0122072745391131,0.0122034476873187,"SD6h ZT0-ZT6","ZT6"
"26451","Txndc9",539.498036696099,0.0229076156269718,0.284688938622235,0.775882465833069,0.904733508711561,0.121823617339312,0.128861580474484,"SD6h ZT0-ZT6","ZT6"
"26452","Gm8325",13.7795284597656,-0.139876978937149,-0.284677805792424,0.775890995793476,NA,0.00323866467364225,0.00366956818569722,"SD6h ZT0-ZT6","ZT6"
"26453","B930036N10Rik",4.97542285793293,0.228424514636896,0.284672841828989,0.775894799184823,NA,0.00132868294303272,0.00102406554019457,"SD6h ZT0-ZT6","ZT6"
"26454","Ifnlr1",5.79924080381873,-0.212737954171062,-0.284669790584903,0.775897137052285,NA,0.00132868294303272,0.00162143710530807,"SD6h ZT0-ZT6","ZT6"
"26455","L3mbtl2",186.88390438957,-0.0365623715058117,-0.284622947547296,0.775933028507717,0.904733508711561,0.0432652383325029,0.0469363372589179,"SD6h ZT0-ZT6","ZT6"
"26456","Gm17387",1.16307774626051,0.448992655842898,0.284584758310229,0.775962289716146,NA,0.00033217073575818,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26457","Gm30228",1.16307774626051,0.448992655842898,0.284584758310229,0.775962289716146,NA,0.00033217073575818,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26458","Olfr118",1.16307774626051,0.448992655842898,0.284584758310229,0.775962289716146,NA,0.00033217073575818,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26459","Gm37334",106.077105738302,0.0482585060797648,0.284578486873765,0.77596709502216,0.904733508711561,0.0259923600730776,0.0263696876600102,"SD6h ZT0-ZT6","ZT6"
"26460","Wdr93",15.1196374476727,0.131629229865376,0.284453599586903,0.77606278806352,NA,0.00381996346121907,0.00366956818569722,"SD6h ZT0-ZT6","ZT6"
"26461","F830212C03Rik",2.98660086862097,-0.289057064549444,-0.284389554769817,0.776111862778665,NA,0.000664341471516359,0.000853387950162144,"SD6h ZT0-ZT6","ZT6"
"26462","Oxnad1",129.480453713086,-0.045928968685121,-0.28433441889515,0.776154111680638,0.904896231085723,0.030476665005813,0.0329407748762587,"SD6h ZT0-ZT6","ZT6"
"26463","Rnf217",1025.38873379002,0.0163227649978171,0.284227576139755,0.776235983838643,0.904936356044452,0.185517355920943,0.200972862263185,"SD6h ZT0-ZT6","ZT6"
"26464","Gm44901",25.3827224432607,-0.0971214942491058,-0.284116965556389,0.776320745851608,0.904947414942561,0.00589603055970769,0.00657108721624851,"SD6h ZT0-ZT6","ZT6"
"26465","Gm16212",24.3830310421617,-0.102150967388093,-0.283995849058345,0.776413561708946,0.904947414942561,0.0057299451918286,0.00648574842123229,"SD6h ZT0-ZT6","ZT6"
"26466","Gm45620",9.61808122899247,-0.162551203698954,-0.283972728458084,0.776431280205828,NA,0.00224215246636771,0.00256016385048643,"SD6h ZT0-ZT6","ZT6"
"26467","Ppp2r5e",1874.99901891364,-0.0127684155143604,-0.283955964860414,0.776444127079689,0.904947414942561,0.326025577146653,0.352022529441884,"SD6h ZT0-ZT6","ZT6"
"26468","Rabggtb",397.975000035718,-0.0251976222336741,-0.283937713496132,0.776458114181084,0.904947414942561,0.0907656535459226,0.0970302099334357,"SD6h ZT0-ZT6","ZT6"
"26469","Pfdn4",297.462277842285,0.0288661994074071,0.28390556417881,0.776482752283297,0.904947414942561,0.0697558545092177,0.0730500085338795,"SD6h ZT0-ZT6","ZT6"
"26470","4933417O13Rik",14.7784788428117,0.1310287706088,0.283840378492973,0.776532708982672,NA,0.00373692077727952,0.00366956818569722,"SD6h ZT0-ZT6","ZT6"
"26471","Gm29112",2.65816291793751,-0.324381897975598,-0.283835559172695,0.77653640242738,NA,0.000581298787576814,0.000768049155145929,"SD6h ZT0-ZT6","ZT6"
"26472","Mtx3",364.367365520917,0.0259255017553771,0.283650719443534,0.77667806424941,0.905119721760802,0.0838731107789404,0.0873015873015873,"SD6h ZT0-ZT6","ZT6"
"26473","Gm48203",16.439265014668,0.122643451720714,0.283567532361479,0.776741821547094,NA,0.00423517688091679,0.00392558457074586,"SD6h ZT0-ZT6","ZT6"
"26474","Mfap4",15.7704392636217,0.126228574577789,0.283519491647013,0.776778642205414,NA,0.00381996346121907,0.00392558457074586,"SD6h ZT0-ZT6","ZT6"
"26475","Tamm41",137.810097322126,0.042094266575167,0.283460340916132,0.776823978790651,0.905192989150628,0.0329679455239993,0.034220856801502,"SD6h ZT0-ZT6","ZT6"
"26476","Gm36201",0.828872021823409,-0.554771789435821,-0.283456319017199,0.776827061437201,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26477","Mageb18",57.4498854888672,0.0684246805245166,0.283444822325641,0.776835873273377,0.905192989150628,0.0107125062282013,0.0105820105820106,"SD6h ZT0-ZT6","ZT6"
"26478","Gm44011",2.98198011591882,-0.289824288539058,-0.283414184693006,0.776859356151934,NA,0.000664341471516359,0.000853387950162144,"SD6h ZT0-ZT6","ZT6"
"26479","Trf",1037.17421954395,0.0164454547013211,0.283382664276515,0.776883515872144,0.905193191015881,0.171067928915463,0.18236900494965,"SD6h ZT0-ZT6","ZT6"
"26480","Gm15638",16.1022838275422,0.124322640874501,0.283361084449428,0.776900056469171,NA,0.00390300614515861,0.00375490698071343,"SD6h ZT0-ZT6","ZT6"
"26481","Gm37391",6.13292640495412,-0.201089132186619,-0.283213806414665,0.777012945459733,NA,0.00141172562697226,0.00170677590032429,"SD6h ZT0-ZT6","ZT6"
"26482","Ap5m1",427.993180415216,-0.0241954244565399,-0.283193988772143,0.777028136092931,0.905255354555722,0.095249958478658,0.103259941969619,"SD6h ZT0-ZT6","ZT6"
"26483","Dop1a",1482.28779272517,-0.0140898470991991,-0.28318919182287,0.777031813066656,0.905255354555722,0.274289985052317,0.29373613244581,"SD6h ZT0-ZT6","ZT6"
"26484","Mrps36-ps2",2.98404852155748,-0.285052290972747,-0.28303720939741,0.777148313733443,NA,0.000664341471516359,0.000853387950162144,"SD6h ZT0-ZT6","ZT6"
"26485","Fuca2",202.541304125711,0.0351017602977971,0.282943299926842,0.777220301640261,0.905406775843146,0.0470021591097824,0.049752517494453,"SD6h ZT0-ZT6","ZT6"
"26486","Fam205c",139.092834577232,0.0420407720904727,0.282885260021671,0.777264794076229,0.905406775843146,0.0331340308918784,0.0335381464413722,"SD6h ZT0-ZT6","ZT6"
"26487","A830073O21Rik",85.9341758461444,-0.0538661595403111,-0.282833819441939,0.777304228188586,0.905406775843146,0.0200963295133699,0.0215907151391022,"SD6h ZT0-ZT6","ZT6"
"26488","Crisp4",0.826071037413432,-0.554026302095938,-0.282812872852962,0.777320285911953,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26489","Gm25080",0.826071037413432,-0.554026302095938,-0.282812872852962,0.777320285911953,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26490","Olfr872",0.826071037413432,-0.554026302095938,-0.282812872852962,0.777320285911953,NA,8.30426839395449e-05,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
