"","Gene_without_dots","X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","NS_1_FC_clean_L001","NS_2_FC_clean_L002","NS_3_FC_clean_L003","NS_4_FC_clean_L004","SD1D_1_FC_clean_L005","SD1D_2_FC_clean_L006","SD1D_3_FC_clean_L007","SD1D_4_FC_clean_L008","SYMBOL"
"50","ENSMUSG00000000282",9042,"ENSMUSG00000000282.13",470.263601973886,-0.0692086587732822,0.111709207263754,-0.619543012330893,0.535558695575937,0.840050613036336,532.279008250846,474.321601069438,435.485893234411,484.638465015319,437.499036426998,407.56595129966,497.615524461714,492.703336032703,"Mnt"
"51","ENSMUSG00000000290",8619,"ENSMUSG00000000290.14",123.290214636985,0.107242031689253,0.159740493004965,0.671351575745542,0.50199658567495,0.826468447700143,104.710624573937,121.773768317647,138.695952633676,109.123892784906,130.387643861248,124.246433190658,119.387595586581,137.995806147226,"Itgb2"
"52","ENSMUSG00000000295",11999,"ENSMUSG00000000295.14",83.5997932121223,-0.0613247309700612,0.231809207466965,-0.264548296593442,0.791357454600629,0.93459348108582,118.890188318324,74.0861387666805,70.8028289668418,78.0984722872368,88.3618743522508,60.2406948803192,77.2507971442581,101.067350981067,"Hddc2"
"53","ENSMUSG00000000296",3772,"ENSMUSG00000000296.9",171.895382293615,-0.21819816473729,0.150247997046063,-1.45225340122434,0.146431159218537,0.550386074382355,178.880650313809,187.344258950227,195.920156867151,177.593786297004,132.542811528376,185.428388928482,175.569993509677,141.88301195419,"Tpd52l1"
"54","ENSMUSG00000000301",13953,"ENSMUSG00000000301.17",23.3096540055268,-0.0111213292946799,0.371974652448489,-0.0298980837040234,0.97614833415033,0.992728793921966,13.0888280717421,22.1406851486632,26.1873477000648,32.0952625837959,22.6292605048447,20.7077388651097,33.1074844903963,16.5206246795975,"Pemt"
"55","ENSMUSG00000000303",8610,"ENSMUSG00000000303.13",86.8128601178519,-0.181150830707221,0.269386400981616,-0.672457221474901,0.501292664999625,0.826172231863494,138.523430425937,78.3439628337312,80.5018466335325,71.6794197704776,115.301470191352,56.4756514502992,66.2149689807926,87.4621306566928,"Cdh1"
"56","ENSMUSG00000000305",67,"ENSMUSG00000000305.13",429.421521728316,0.456555846631867,0.119356635815243,3.82514003945779,0.000130697771855636,0.0271560853573958,301.043045650069,408.751110436858,384.08109960095,353.047888421755,461.205880765407,536.518688777843,479.556896557862,511.167563615782,"Cdh4"
"57","ENSMUSG00000000308",12643,"ENSMUSG00000000308.15",1277.42406343964,-0.0224954119684395,0.11739539606133,-0.191620904423606,0.84803916658939,0.951730130805397,1043.83403872143,1374.42560884394,1353.98286627002,1376.88676484485,1137.92852824362,1426.01019912006,1334.33195067355,1171.99255079968,"Ckmt1"
"58","ENSMUSG00000000317",5377,"ENSMUSG00000000317.12",28.8036977581376,-0.375548879254235,0.325352052026064,-1.15428464924558,0.248383487881614,0.654914729766352,37.085012869936,23.8438147754834,32.9766600667482,36.3746309283021,31.249931173357,28.2378257251496,26.0846847500092,14.5770217761155,"Bcl6b"
"59","ENSMUSG00000000318",14211,"ENSMUSG00000000318.17",12.5079403282401,-0.954735060601993,0.506713256662327,-1.8841722572856,0.059541678865493,NA,29.4498631614197,14.4766018279721,13.5786247333669,8.55873668901225,9.69825450207631,6.58882600253491,7.0227997403871,10.6898159691513,"Clec10a"
